Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2327.9345890424192
2100-Jan-01 01:00:00, 2327.8697373902537
2100-Jan-01 02:00:00, 2327.8962032506124
2100-Jan-01 03:00:00, 2328.0237431628284
2100-Jan-01 04:00:00, 2328.254564260005
2100-Jan-01 05:00:00, 2328.582031296239
2100-Jan-01 06:00:00, 2328.9945345047327
2100-Jan-01 07:00:00, 2329.47426252376
2100-Jan-01 08:00:00, 2329.997059363888
2100-Jan-01 09:00:00, 2330.5366693165183
2100-Jan-01 10:00:00, 2331.065511770303
2100-Jan-01 11:00:00, 2331.557506135633
2100-Jan-01 12:00:00, 2331.9894761631067
2100-Jan-01 13:00:00, 2332.3417870154126
2100-Jan-01 14:00:00, 2332.600471116979
2100-Jan-01 15:00:00, 2332.7580922465763
2100-Jan-01 16:00:00, 2332.813840699322
2100-Jan-01 17:00:00, 2332.773009886713
2100-Jan-01 18:00:00, 2332.648269133784
2100-Jan-01 19:00:00, 2332.457833724535
2100-Jan-01 20:00:00, 2332.223985483865
2100-Jan-01 21:00:00, 2331.9717253997346
2100-Jan-01 22:00:00, 2331.7278079682624
2100-Jan-01 23:00:00, 2331.518006641137
2100-Jan-02 00:00:00, 2331.3655257448067
2100-Jan-02 01:00:00, 2331.290181388836
2100-Jan-02 02:00:00, 2331.3082739549322
2100-Jan-02 03:00:00, 2331.4286636095944
2100-Jan-02 04:00:00, 2331.652943705338
2100-Jan-02 05:00:00, 2331.9759818456077
2100-Jan-02 06:00:00, 2332.384911255987
2100-Jan-02 07:00:00, 2332.8611678934353
2100-Jan-02 08:00:00, 2333.3820877933135
2100-Jan-02 09:00:00, 2333.9223062918218
2100-Jan-02 10:00:00, 2334.4547394814545
2100-Jan-02 11:00:00, 2334.953318353104
2100-Jan-02 12:00:00, 2335.392472088444
2100-Jan-02 13:00:00, 2335.75307491787
2100-Jan-02 14:00:00, 2336.019261543505
2100-Jan-02 15:00:00, 2336.182632924765
2100-Jan-02 16:00:00, 2336.2418453283385
2100-Jan-02 17:00:00, 2336.204212647222
2100-Jan-02 18:00:00, 2336.081667677236
2100-Jan-02 19:00:00, 2335.892097587307
2100-Jan-02 20:00:00, 2335.6574989263377
2100-Jan-02 21:00:00, 2335.4049283047448
2100-Jan-02 22:00:00, 2335.160348440218
2100-Jan-02 23:00:00, 2334.9512161001885
2100-Jan-03 00:00:00, 2334.8015364014414
2100-Jan-03 01:00:00, 2334.7315393363606
2100-Jan-03 02:00:00, 2334.755422791845
2100-Jan-03 03:00:00, 2334.880609315725
2100-Jan-03 04:00:00, 2335.1077855049575
2100-Jan-03 05:00:00, 2335.431511983009
2100-Jan-03 06:00:00, 2335.8389977649276
