Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2859.9753801027337
2100-Jan-01 01:00:00, 2859.7953022087736
2100-Jan-01 02:00:00, 2859.9345094927912
2100-Jan-01 03:00:00, 2860.4015870019794
2100-Jan-01 04:00:00, 2861.1789985620071
2100-Jan-01 05:00:00, 2862.2206222243558
2100-Jan-01 06:00:00, 2863.4698461082658
2100-Jan-01 07:00:00, 2864.8537512920038
2100-Jan-01 08:00:00, 2866.2831549134512
2100-Jan-01 09:00:00, 2867.6703119983927
2100-Jan-01 10:00:00, 2868.92973132611
2100-Jan-01 11:00:00, 2869.9879082684188
2100-Jan-01 12:00:00, 2870.7863107708808
2100-Jan-01 13:00:00, 2871.2815195113026
2100-Jan-01 14:00:00, 2871.4518752164277
2100-Jan-01 15:00:00, 2871.2983402172581
2100-Jan-01 16:00:00, 2870.842718407258
2100-Jan-01 17:00:00, 2870.1240846346618
2100-Jan-01 18:00:00, 2869.2031614988259
2100-Jan-01 19:00:00, 2868.1535622302204
2100-Jan-01 20:00:00, 2867.0560586220354
2100-Jan-01 21:00:00, 2865.9940555418561
2100-Jan-01 22:00:00, 2865.0508928428389
2100-Jan-01 23:00:00, 2864.3000563166452
2100-Jan-02 00:00:00, 2863.8011834964059
2100-Jan-02 01:00:00, 2863.5991191976227
2100-Jan-02 02:00:00, 2863.7252988752216
2100-Jan-02 03:00:00, 2864.1832671681886
2100-Jan-02 04:00:00, 2864.952808791531
2100-Jan-02 05:00:00, 2865.9940724829294
2100-Jan-02 06:00:00, 2867.2444698665618
2100-Jan-02 07:00:00, 2868.6283375170319
2100-Jan-02 08:00:00, 2870.0630860816414
2100-Jan-02 09:00:00, 2871.4638505961002
2100-Jan-02 10:00:00, 2872.7461800097935
2100-Jan-02 11:00:00, 2873.8357710395285
2100-Jan-02 12:00:00, 2874.6639680712974
2100-Jan-02 13:00:00, 2875.1905609821283
2100-Jan-02 14:00:00, 2875.3865104204797
2100-Jan-02 15:00:00, 2875.2502397548401
2100-Jan-02 16:00:00, 2874.8027675850722
2100-Jan-02 17:00:00, 2874.0923643802612
2100-Jan-02 18:00:00, 2873.1762115786164
2100-Jan-02 19:00:00, 2872.1268606748545
2100-Jan-02 20:00:00, 2871.0243586661022
2100-Jan-02 21:00:00, 2869.9607760675103
2100-Jan-02 22:00:00, 2869.0152397643083
2100-Jan-02 23:00:00, 2868.2679831103706
2100-Jan-03 00:00:00, 2867.7807916653292
2100-Jan-03 01:00:00, 2867.5990531296989
2100-Jan-03 02:00:00, 2867.7448568520308
2100-Jan-03 03:00:00, 2868.2167653559595
2100-Jan-03 04:00:00, 2868.9921866824498
2100-Jan-03 05:00:00, 2870.031259516712
2100-Jan-03 06:00:00, 2871.2725982604088
2100-Jan-03 07:00:00, 2872.6420753054526
2100-Jan-03 08:00:00, 2874.0585391910708
2100-Jan-03 09:00:00, 2875.4383148930879
2100-Jan-03 10:00:00, 2876.6978768237018
2100-Jan-03 11:00:00, 2877.7636166282491
2100-Jan-03 12:00:00, 2878.5758206147366
2100-Jan-03 13:00:00, 2879.0896014561758
2100-Jan-03 14:00:00, 2879.2819368724222
2100-Jan-03 15:00:00, 2879.144234991506
2100-Jan-03 16:00:00, 2878.6940446978606
2100-Jan-03 17:00:00, 2877.9775143484771
2100-Jan-03 18:00:00, 2877.0512916683019
2100-Jan-03 19:00:00, 2875.9883377680403
2100-Jan-03 20:00:00, 2874.8778817738544
2100-Jan-03 21:00:00, 2873.8077173486331
2100-Jan-03 22:00:00, 2872.8633856134852
2100-Jan-03 23:00:00, 2872.1184414263357
2100-Jan-04 00:00:00, 2871.6314667599436
2100-Jan-04 01:00:00, 2871.4459300784583
2100-Jan-04 02:00:00, 2871.5835386950821
2100-Jan-04 03:00:00, 2872.0433769951069
2100-Jan-04 04:00:00, 2872.8036863221305
2100-Jan-04 05:00:00, 2873.8254355017775
2100-Jan-04 06:00:00, 2875.0479439983524
2100-Jan-04 07:00:00, 2876.3976390154376
2100-Jan-04 08:00:00, 2877.7937875851312
2100-Jan-04 09:00:00, 2879.153022078192
2100-Jan-04 10:00:00, 2880.3920383360933
2100-Jan-04 11:00:00, 2881.4373847693441
2100-Jan-04 12:00:00, 2882.2294566102419
2100-Jan-04 13:00:00, 2882.7234404320948
2100-Jan-04 14:00:00, 2882.8963623879849
2100-Jan-04 15:00:00, 2882.748092143142
2100-Jan-04 16:00:00, 2882.2995807929501
2100-Jan-04 17:00:00, 2881.5892605282156
2100-Jan-04 18:00:00, 2880.6773799310167
2100-Jan-04 19:00:00, 2879.6372077463911
2100-Jan-04 20:00:00, 2878.5492683989514
2100-Jan-04 21:00:00, 2877.4967911926824
2100-Jan-04 22:00:00, 2876.5629930555442
2100-Jan-04 23:00:00, 2875.82127525547
2100-Jan-05 00:00:00, 2875.331218736384
2100-Jan-05 01:00:00, 2875.137632011691
2100-Jan-05 02:00:00, 2875.2634974166517
2100-Jan-05 03:00:00, 2875.7089631765339
2100-Jan-05 04:00:00, 2876.4531025887936
2100-Jan-05 05:00:00, 2877.4575122435594
2100-Jan-05 06:00:00, 2878.6619751808266
2100-Jan-05 07:00:00, 2879.9932559942777
2100-Jan-05 08:00:00, 2881.3708644881654
2100-Jan-05 09:00:00, 2882.71160586819
2100-Jan-05 10:00:00, 2883.9322975582827
2100-Jan-05 11:00:00, 2884.9595721665683
2100-Jan-05 12:00:00, 2885.7338819201805
2100-Jan-05 13:00:00, 2886.2104506148339
2100-Jan-05 14:00:00, 2886.3663272564854
2100-Jan-05 15:00:00, 2886.2013939277099
2100-Jan-05 16:00:00, 2885.7366065707856
2100-Jan-05 17:00:00, 2885.0103967551991
2100-Jan-05 18:00:00, 2884.0830085227781
2100-Jan-05 19:00:00, 2883.0277033013685
2100-Jan-05 20:00:00, 2881.9249962752774
2100-Jan-05 21:00:00, 2880.8581062230251
2100-Jan-05 22:00:00, 2879.9102387399771
2100-Jan-05 23:00:00, 2879.1547833094328
2100-Jan-06 00:00:00, 2878.6513089094001
2100-Jan-06 01:00:00, 2878.4446120994858
2100-Jan-06 02:00:00, 2878.5576634239137
2100-Jan-06 03:00:00, 2878.9990311156544
2100-Jan-06 04:00:00, 2879.7511627713466
2100-Jan-06 05:00:00, 2880.7679208284035
2100-Jan-06 06:00:00, 2881.9926784301406
2100-Jan-06 07:00:00, 2883.3525023184748
2100-Jan-06 08:00:00, 2884.7581959274253
2100-Jan-06 09:00:00, 2886.1220012005251
2100-Jan-06 10:00:00, 2887.3584144406823
2100-Jan-06 11:00:00, 2888.3939191226268
2100-Jan-06 12:00:00, 2889.169971852476
2100-Jan-06 13:00:00, 2889.643142503965
2100-Jan-06 14:00:00, 2889.7917615073511
2100-Jan-06 15:00:00, 2889.6167813766897
2100-Jan-06 16:00:00, 2889.1399966489184
2100-Jan-06 17:00:00, 2888.4004732462681
2100-Jan-06 18:00:00, 2887.4589252524843
2100-Jan-06 19:00:00, 2886.3889577712525
2100-Jan-06 20:00:00, 2885.2713348323432
2100-Jan-06 21:00:00, 2884.1894538861634
2100-Jan-06 22:00:00, 2883.22664769725
2100-Jan-06 23:00:00, 2882.4563952750414
2100-Jan-07 00:00:00, 2881.9383276642898
2100-Jan-07 01:00:00, 2881.717283468347
2100-Jan-07 02:00:00, 2881.8246921907939
2100-Jan-07 03:00:00, 2882.264092767025
2100-Jan-07 04:00:00, 2883.0152644428913
2100-Jan-07 05:00:00, 2884.0299191759327
2100-Jan-07 06:00:00, 2885.2505096029008
2100-Jan-07 07:00:00, 2886.6040447654882
2100-Jan-07 08:00:00, 2888.0100844129802
2100-Jan-07 09:00:00, 2889.3762472277999
2100-Jan-07 10:00:00, 2890.6231777809376
2100-Jan-07 11:00:00, 2891.6704837060206
2100-Jan-07 12:00:00, 2892.4562750241575
2100-Jan-07 13:00:00, 2892.9351007878809
2100-Jan-07 14:00:00, 2893.0848386907737
2100-Jan-07 15:00:00, 2892.9069151096696
2100-Jan-07 16:00:00, 2892.423926425814
2100-Jan-07 17:00:00, 2891.6757492060751
2100-Jan-07 18:00:00, 2890.7237917078637
2100-Jan-07 19:00:00, 2889.642209115716
2100-Jan-07 20:00:00, 2888.5121835990958
2100-Jan-07 21:00:00, 2887.4174227349508
2100-Jan-07 22:00:00, 2886.4414855932719
2100-Jan-07 23:00:00, 2885.6580142839821
2100-Jan-08 00:00:00, 2885.1351876074841
2100-Jan-08 01:00:00, 2884.9128799061041
2100-Jan-08 02:00:00, 2885.0199000277416
2100-Jan-08 03:00:00, 2885.4576715099975
2100-Jan-08 04:00:00, 2886.2050790056865
2100-Jan-08 05:00:00, 2887.2222275398253
2100-Jan-08 06:00:00, 2888.446862819203
2100-Jan-08 07:00:00, 2889.8037500970895
2100-Jan-08 08:00:00, 2891.2106974564981
2100-Jan-08 09:00:00, 2892.583165456284
2100-Jan-08 10:00:00, 2893.8369536266719
2100-Jan-08 11:00:00, 2894.897944702705
2100-Jan-08 12:00:00, 2895.6976177552283
2100-Jan-08 13:00:00, 2896.1958581655022
2100-Jan-08 14:00:00, 2896.363692879846
2100-Jan-08 15:00:00, 2896.1995901072646
2100-Jan-08 16:00:00, 2895.7245976787913
2100-Jan-08 17:00:00, 2894.9870040190549
2100-Jan-08 18:00:00, 2894.0440004213206
2100-Jan-08 19:00:00, 2892.9681424403157
2100-Jan-08 20:00:00, 2891.8394770137929
2100-Jan-08 21:00:00, 2890.7500716874965
2100-Jan-08 22:00:00, 2889.7790483466747
2100-Jan-08 23:00:00, 2889.0066339529744
2100-Jan-09 00:00:00, 2888.4946067417222
2100-Jan-09 01:00:00, 2888.2883465059117
2100-Jan-09 02:00:00, 2888.4099343453913
2100-Jan-09 03:00:00, 2888.8579243784689
2100-Jan-09 04:00:00, 2889.6097162181231
2100-Jan-09 05:00:00, 2890.6254401993001
2100-Jan-09 06:00:00, 2891.8437025173066
2100-Jan-09 07:00:00, 2893.1903675531366
2100-Jan-09 08:00:00, 2894.5842760629316
2100-Jan-09 09:00:00, 2895.9417454925074
2100-Jan-09 10:00:00, 2897.1792429848633
2100-Jan-09 11:00:00, 2898.2231531898578
2100-Jan-09 12:00:00, 2899.0137556878353
2100-Jan-09 13:00:00, 2899.5061566956924
2100-Jan-09 14:00:00, 2899.6773277401899
2100-Jan-09 15:00:00, 2899.5186710094208
2100-Jan-09 16:00:00, 2899.0477296990625
2100-Jan-09 17:00:00, 2898.3106467128514
2100-Jan-09 18:00:00, 2897.3640645514324
2100-Jan-09 19:00:00, 2896.2809393155194
2100-Jan-09 20:00:00, 2895.1504953333733
2100-Jan-09 21:00:00, 2894.0605216634694
2100-Jan-09 22:00:00, 2893.0965550109277
2100-Jan-09 23:00:00, 2892.3321459969607
2100-Jan-10 00:00:00, 2891.8258725248716
2100-Jan-10 01:00:00, 2891.6211991505547
2100-Jan-10 02:00:00, 2891.739829430579
2100-Jan-10 03:00:00, 2892.1808441361404
2100-Jan-10 04:00:00, 2892.9224811379081
2100-Jan-10 05:00:00, 2893.9257059154397
2100-Jan-10 06:00:00, 2895.1298347106153
2100-Jan-10 07:00:00, 2896.4612916245787
2100-Jan-10 08:00:00, 2897.8393406962923
2100-Jan-10 09:00:00, 2899.180611409698
2100-Jan-10 10:00:00, 2900.4017968222784
2100-Jan-10 11:00:00, 2901.4294426568872
2100-Jan-10 12:00:00, 2902.203941548556
2100-Jan-10 13:00:00, 2902.6804775622722
2100-Jan-10 14:00:00, 2902.8360744258844
2100-Jan-10 15:00:00, 2902.6621679260929
2100-Jan-10 16:00:00, 2902.1763214023172
2100-Jan-10 17:00:00, 2901.4246881991035
2100-Jan-10 18:00:00, 2900.4639142866517
2100-Jan-10 19:00:00, 2899.3669542566731
2100-Jan-10 20:00:00, 2898.2230273972527
2100-Jan-10 21:00:00, 2897.1199152710456
2100-Jan-10 22:00:00, 2896.1431454131534
2100-Jan-10 23:00:00, 2895.3662581817757
2100-Jan-11 00:00:00, 2894.8478205579236
2100-Jan-11 01:00:00, 2894.6312858302349
2100-Jan-11 02:00:00, 2894.7383461805498
2100-Jan-11 03:00:00, 2895.1680710711848
2100-Jan-11 04:00:00, 2895.8986872519381
2100-Jan-11 05:00:00, 2896.8911493632168
2100-Jan-11 06:00:00, 2898.0847631446786
2100-Jan-11 07:00:00, 2899.4059425762807
2100-Jan-11 08:00:00, 2900.7739419808922
2100-Jan-11 09:00:00, 2902.1053815425489
2100-Jan-11 10:00:00, 2903.3169454353756
2100-Jan-11 11:00:00, 2904.3351709161161
2100-Jan-11 12:00:00, 2905.1004425599263
2100-Jan-11 13:00:00, 2905.5679367648645
2100-Jan-11 14:00:00, 2905.7146699714131
2100-Jan-11 15:00:00, 2905.5405025758732
2100-Jan-11 16:00:00, 2905.0663768277723
2100-Jan-11 17:00:00, 2904.3307164723401
2100-Jan-11 18:00:00, 2903.3937620287879
2100-Jan-11 19:00:00, 2902.3287745420125
2100-Jan-11 20:00:00, 2901.2162710774401
2100-Jan-11 21:00:00, 2900.1394739045531
2100-Jan-11 22:00:00, 2899.1815932254585
2100-Jan-11 23:00:00, 2898.4160238697086
2100-Jan-12 00:00:00, 2897.9023406187721
2100-Jan-12 01:00:00, 2897.6853460828229
2100-Jan-12 02:00:00, 2897.7880169402274
2100-Jan-12 03:00:00, 2898.2104959921958
2100-Jan-12 04:00:00, 2898.9318513317339
2100-Jan-12 05:00:00, 2899.9136745535288
2100-Jan-12 06:00:00, 2901.0957439012714
2100-Jan-12 07:00:00, 2902.4048193597296
2100-Jan-12 08:00:00, 2903.7604063022727
2100-Jan-12 09:00:00, 2905.0793056748598
2100-Jan-12 10:00:00, 2906.2783308016465
2100-Jan-12 11:00:00, 2907.2841103447695
2100-Jan-12 12:00:00, 2908.037092729925
2100-Jan-12 13:00:00, 2908.4924980928499
2100-Jan-12 14:00:00, 2908.6273719099859
2100-Jan-12 15:00:00, 2908.4415928613294
2100-Jan-12 16:00:00, 2907.9561136069879
2100-Jan-12 17:00:00, 2907.2093625484367
2100-Jan-12 18:00:00, 2906.261580669156
2100-Jan-12 19:00:00, 2905.1860264436909
2100-Jan-12 20:00:00, 2904.0632122022566
2100-Jan-12 21:00:00, 2902.9763539662367
2100-Jan-12 22:00:00, 2902.0086546628577
2100-Jan-12 23:00:00, 2901.2335011964979
2100-Jan-13 00:00:00, 2900.7104600475868
2100-Jan-13 01:00:00, 2900.4843253608469
2100-Jan-13 02:00:00, 2900.5780653400197
2100-Jan-13 03:00:00, 2900.991814416212
2100-Jan-13 04:00:00, 2901.7046325019101
2100-Jan-13 05:00:00, 2902.6781032552831
2100-Jan-13 06:00:00, 2903.8519972685881
2100-Jan-13 07:00:00, 2905.1530671828496
2100-Jan-13 08:00:00, 2906.5008113479439
2100-Jan-13 09:00:00, 2907.8120240124476
2100-Jan-13 10:00:00, 2909.0035121261794
2100-Jan-13 11:00:00, 2910.0018982933839
2100-Jan-13 12:00:00, 2910.7476251903336
2100-Jan-13 13:00:00, 2911.1959074958809
2100-Jan-13 14:00:00, 2911.3237855147863
2100-Jan-13 15:00:00, 2911.1311330211456
2100-Jan-13 16:00:00, 2910.6388980254669
2100-Jan-13 17:00:00, 2909.8855045176347
2100-Jan-13 18:00:00, 2908.9311892963451
2100-Jan-13 19:00:00, 2907.8492068654423
2100-Jan-13 20:00:00, 2906.7200657827302
2100-Jan-13 21:00:00, 2905.6269784850101
2100-Jan-13 22:00:00, 2904.6531444934903
2100-Jan-13 23:00:00, 2903.8719474707063
2100-Jan-14 00:00:00, 2903.3429508118707
2100-Jan-14 01:00:00, 2903.1109457214993
2100-Jan-14 02:00:00, 2903.1988976027219
2100-Jan-14 03:00:00, 2903.6069382161659
2100-Jan-14 04:00:00, 2904.3141249240075
2100-Jan-14 05:00:00, 2905.282038950174
2100-Jan-14 06:00:00, 2906.4504485624389
2100-Jan-14 07:00:00, 2907.7461041784209
2100-Jan-14 08:00:00, 2909.0885020235232
2100-Jan-14 09:00:00, 2910.3944343118364
2100-Jan-14 10:00:00, 2911.5807060467278
2100-Jan-14 11:00:00, 2912.5739379683487
2100-Jan-14 12:00:00, 2913.3145709661208
2100-Jan-14 13:00:00, 2913.7578180077985
2100-Jan-14 14:00:00, 2913.8807177554891
2100-Jan-14 15:00:00, 2913.6831424100328
2100-Jan-14 16:00:00, 2913.1860384689953
