Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 1174.9023699651952
2100-Jan-01 01:00:00, 1174.8716701269907
2100-Jan-01 02:00:00, 1174.8517273405221
2100-Jan-01 03:00:00, 1174.8483828197468
2100-Jan-01 04:00:00, 1174.8663989378122
2100-Jan-01 05:00:00, 1174.908990175338
2100-Jan-01 06:00:00, 1174.9777443188327
2100-Jan-01 07:00:00, 1175.0724576879918
2100-Jan-01 08:00:00, 1175.1910207221463
2100-Jan-01 09:00:00, 1175.3296589857257
2100-Jan-01 10:00:00, 1175.4831736257795
2100-Jan-01 11:00:00, 1175.6453715988332
2100-Jan-01 12:00:00, 1175.8095206175653
2100-Jan-01 13:00:00, 1175.9687595805426
2100-Jan-01 14:00:00, 1176.1165855668885
2100-Jan-01 15:00:00, 1176.2472979939978
2100-Jan-01 16:00:00, 1176.356359761982
2100-Jan-01 17:00:00, 1176.4406418679837
2100-Jan-01 18:00:00, 1176.4987092786394
2100-Jan-01 19:00:00, 1176.5308987146441
2100-Jan-01 20:00:00, 1176.5392714416043
2100-Jan-01 21:00:00, 1176.5274645366628
2100-Jan-01 22:00:00, 1176.5004889225584
2100-Jan-01 23:00:00, 1176.4643551930387
2100-Jan-02 00:00:00, 1176.4256563090757
2100-Jan-02 01:00:00, 1176.3911665490373
2100-Jan-02 02:00:00, 1176.3675122303696
2100-Jan-02 03:00:00, 1176.3606112913208
2100-Jan-02 04:00:00, 1176.3752500293415
2100-Jan-02 05:00:00, 1176.4147743575891
2100-Jan-02 06:00:00, 1176.4807687749783
2100-Jan-02 07:00:00, 1176.5729755217662
2100-Jan-02 08:00:00, 1176.6893549466918
2100-Jan-02 09:00:00, 1176.8262513528102
2100-Jan-02 10:00:00, 1176.9786103012736
2100-Jan-02 11:00:00, 1177.1403645232547
2100-Jan-02 12:00:00, 1177.3046950000453
2100-Jan-02 13:00:00, 1177.4647060127836
2100-Jan-02 14:00:00, 1177.6137035785091
2100-Jan-02 15:00:00, 1177.7457617185732
2100-Jan-02 16:00:00, 1177.8561199968631
2100-Jan-02 17:00:00, 1177.941626848642
2100-Jan-02 18:00:00, 1178.0007770406587
2100-Jan-02 19:00:00, 1178.0338432200251
2100-Jan-02 20:00:00, 1178.0428133616915
2100-Jan-02 21:00:00, 1178.0314192517317
2100-Jan-02 22:00:00, 1178.0046836577055
2100-Jan-02 23:00:00, 1177.9687698362879
2100-Jan-03 00:00:00, 1177.9304519724249
2100-Jan-03 01:00:00, 1177.8966833102884
2100-Jan-03 02:00:00, 1177.8740710131021
2100-Jan-03 03:00:00, 1177.8684010372044
2100-Jan-03 04:00:00, 1177.8842659105815
2100-Jan-03 05:00:00, 1177.9248218193338
2100-Jan-03 06:00:00, 1177.9915092768929
2100-Jan-03 07:00:00, 1178.0839824491411
2100-Jan-03 08:00:00, 1178.2001623275414
2100-Jan-03 09:00:00, 1178.3363898479608
2100-Jan-03 10:00:00, 1178.4876307964496
2100-Jan-03 11:00:00, 1178.6478517989331
