Timestamp, Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Wall Average Temperature [K], Wall Average Effective Temperature [C], Wall Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Foundation Average Temperature [K], Foundation Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 1.5368672180191578, 295.07447515039343, 614.74688720766312, 14.791110152426469, 293.02573944298877, 17.598804910433444, 2887.2247017536465, 5.883688825539835, 294.40257795602946, 3501.9715889613099
2015-Jan-01 01:00:00, 1.5370145417899206, 295.07444717758221, 614.80581671596826, 14.77419032985742, 293.02830343015137, 17.603973524827893, 2883.9219523881684, 5.8782388593819501, 294.40340003460756, 3498.7277691041368
2015-Jan-01 02:00:00, 1.5371618305919168, 295.07441921155987, 614.86473223676671, 14.764283278198661, 293.02980807586192, 17.607003256066548, 2881.9880959043785, 5.8750887569575694, 294.40387469931483, 3496.8528281411454
2015-Jan-01 03:00:00, 1.5373090854946947, 295.07439125212187, 614.92363419787785, 14.761952860051014, 293.03016834387358, 17.607722267235431, 2881.533198281958, 5.8744234416663899, 294.40397406178232, 3496.4568324798356
2015-Jan-01 04:00:00, 1.5374563075793, 295.07436329906153, 614.98252303172001, 14.767167929886652, 293.02938907154021, 17.606140190212216, 2882.5511799138744, 5.8762326998413883, 294.40369970831529, 3497.5337029455945
2015-Jan-01 05:00:00, 1.537603497935691, 295.07433535217058, 615.04139917427642, 14.779397178482439, 293.02755065695914, 17.602419212513951, 2884.938329239772, 5.8803422856418823, 294.40307800589153, 3499.9797284140486
2015-Jan-01 06:00:00, 1.5377506576616793, 295.07430741123915, 615.10026306467171, 14.797826814624967, 293.02477618651386, 17.596807695050416, 2888.5357942147934, 5.8864853112894231, 294.40214932140987, 3503.6360572794651
2015-Jan-01 07:00:00, 1.5378977878611542, 295.07427947605623, 615.15911514446168, 14.821536422814289, 293.02120487064138, 17.589586536462718, 2893.1639097333491, 5.8943599208296549, 294.40095930976423, 3508.3230248778109
2015-Jan-01 08:00:00, 1.5380448896413723, 295.07425154641027, 615.21795585654888, 14.849561481111756, 293.01698259395971, 17.581050099291645, 2898.6344011130145, 5.9036497932956369, 294.39955581469258, 3513.8523569695635
2015-Jan-01 09:00:00, 1.5381919641108501, 295.07422362208945, 615.27678564434007, 14.880799188552364, 293.01227613804843, 17.571534929628911, 2904.7320016054214, 5.9139932581481203, 294.3979935332373, 3520.0087872497616
2015-Jan-01 10:00:00, 1.5383390123783349, 295.07419570288187, 615.33560495133395, 14.913754109382305, 293.00731159207118, 17.56149732311178, 2911.1648021514256, 5.9248998775247976, 294.39634661277728, 3526.5004071027597
2015-Jan-01 11:00:00, 1.5384860355508794, 295.07416778857601, 615.39441422035179, 14.946534580997291, 293.00237483933319, 17.551514364440322, 2917.5635502106711, 5.9357492681972825, 294.3947088105985, 3532.9579644310229
2015-Jan-01 12:00:00, 1.5386330347298074, 295.07413987896143, 615.45321389192293, 14.977000767260993, 292.99778912181415, 17.542238700672158, 2923.5105497693457, 5.9458396566889595, 294.39318613602603, 3538.9637636612688
2015-Jan-01 13:00:00, 1.5387800110111969, 295.07411197382879, 615.51200440447872, 15.00316362297948, 292.99385471338888, 17.534276798093856, 2928.6175392055943, 5.9545187224631597, 294.39187706583505, 3544.1295436100731
2015-Jan-01 14:00:00, 1.5389269654818114, 295.07408407297049, 615.57078619272454, 15.023483035625649, 292.99080390090467, 17.528098027541716, 2932.5838885541266, 5.9612813755827467, 294.39085777998116, 3548.154674746851
2015-Jan-01 15:00:00, 1.5390738992193527, 295.07405617618059, 615.62955968774111, 15.037052890251211, 292.98877309426149, 17.523978285701617, 2935.2327241770363, 5.9658304500416284, 294.39017301490605, 3550.8622838647775
2015-Jan-01 16:00:00, 1.5392208132885328, 295.07402828325581, 615.68832531541307, 15.043677382873481, 292.98779137598984, 17.52197679705057, 2936.5258251369032, 5.9681017312706919, 294.38983230829223, 3552.2141504523161
2015-Jan-01 17:00:00, 1.5393677087410422, 295.07400039399522, 615.74708349641685, 15.043795585150367, 292.98779197833898, 17.521959203412848, 2936.5488982213515, 5.9682392165957125, 294.38981376305418, 3552.2959817177684
2015-Jan-01 18:00:00, 1.5395145866126037, 295.07397250820105, 615.8058346450415, 15.038331198094783, 292.98863503871638, 17.523643448221833, 2935.4822498681015, 5.9665458409158987, 294.3900715101442, 3551.2880845131431
2015-Jan-01 19:00:00, 1.5396614479224513, 295.07394462567862, 615.86457916898053, 15.028496103638453, 292.99013729772844, 17.526659715713777, 2933.5624394302258, 5.9634190500658706, 294.39054544823261, 3549.4270185992063
2015-Jan-01 20:00:00, 1.5398082936716577, 295.07391674623682, 615.92331746866307, 15.01544446310626, 292.9921243501866, 17.530655929805391, 2931.0147591983418, 5.9592373599916071, 294.39117837979023, 3546.9380766670047
2015-Jan-01 21:00:00, 1.5399551248412719, 295.07388886968823, 615.98204993650882, 15.000218135966248, 292.99443885356533, 17.535314364756005, 2928.0425801406113, 5.9543424564467742, 294.39191870311026, 3544.02463007712
2015-Jan-01 22:00:00, 1.540101942392115, 295.07386099584949, 616.040776956846, 14.983622684981247, 292.99695922345393, 17.540389428311414, 2924.8031481083394, 5.948998530015432, 294.39272654361224, 3540.8439250651854
2015-Jan-01 23:00:00, 1.5402487472631248, 295.0738331245413, 616.0994989052499, 14.966330410164005, 292.9995840314956, 17.545676198658271, 2921.4276960640136, 5.9434260668166381, 294.39356863703705, 3537.5271949692633
2015-Jan-02 00:00:00, 1.5403955403705252, 295.07380525558875, 616.15821614821004, 14.948890764956197, 293.00223041252843, 17.551007228104879, 2918.0234773194493, 5.9378052645625994, 294.39441780705818, 3534.1816934676594
2015-Jan-02 01:00:00, 1.5405423226074257, 295.07377738882127, 616.21692904297026, 14.931969499375704, 293.00479792492627, 17.556179589870851, 2914.7204462781374, 5.9323544612249783, 294.39524111302768, 3530.9373753211075
2015-Jan-02 02:00:00, 1.5406890948420802, 295.07374952407326, 616.27563793683203, 14.916113503118993, 293.00720408284894, 17.561026610247609, 2911.6253558088274, 5.9272530136855837, 294.39601150302656, 3527.9009937456594
2015-Jan-02 03:00:00, 1.5408358579184529, 295.07372166118353, 616.33434316738112, 14.901742611223717, 293.00938559238853, 17.565420366175886, 2908.8201577108694, 5.9226386103465227, 294.39670821926688, 3525.1545008782505
