Timestamp, Slab Core Average Heat Flux [W/m2], Slab Core Average Temperature [K], Slab Core Average Effective Temperature [C], Slab Core Total Heat Transfer Rate [W], Slab Perimeter Average Heat Flux [W/m2], Slab Perimeter Average Temperature [K], Slab Perimeter Average Effective Temperature [C], Slab Perimeter Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 3.7519916022742645, 294.62462305484314, 21.13165737761301, 1381.2906816101386, 6.363855146867296, 294.20183526487307, 20.400720806963307, 176.90021436087966, 3.9353590573685646, 294.5949409831085, 1558.190895971018
2015-Jan-01 01:00:00, 3.728678467107361, 294.6304298449651, 21.13832515883439, 1372.7079821324419, 6.7544405963932075, 294.1334382485992, 20.29207375178993, 187.7575717571094, 3.9411039219196673, 294.59553825025773, 1560.4655538895513
2015-Jan-01 02:00:00, 3.714107404189591, 294.63391306682826, 21.14248777025341, 1367.3436648409877, 7.069810987941689, 294.0782375029671, 20.20449052496093, 196.52412734023952, 3.9496965977664416, 294.5949015287966, 1563.8677921812273
2015-Jan-01 03:00:00, 3.704181209485255, 294.63618344726336, 21.145319885439164, 1363.689349559302, 7.343628349206584, 294.0302455171057, 20.12854021145847, 204.13560635502114, 3.9596907905054666, 294.5936432094978, 1567.824955914323
2015-Jan-01 04:00:00, 3.6970889394203574, 294.6377235193212, 21.147340500162215, 1361.0783398368476, 7.586730896225338, 293.9876080706534, 20.061180209589224, 210.89328573125005, 3.9701635984406765, 294.59208177222973, 1571.9716255680976
2015-Jan-01 05:00:00, 3.69185671090905, 294.63879002467513, 21.14882865715117, 1359.1521019203385, 7.804756760816426, 293.94937022882317, 20.000824766374762, 216.95389228062535, 3.9806053389796054, 294.5903888921892, 1576.1059942009638
2015-Jan-01 06:00:00, 3.6879112934269354, 294.6395329629817, 21.149948577066482, 1357.6996017602094, 8.001460970612282, 293.91488952363017, 19.946417067981088, 222.4218069448527, 3.9907466495716846, 294.5886589333642, 1580.121408705062
2015-Jan-01 07:00:00, 3.684894105472178, 294.6400455899244, 21.15080297351551, 1356.5888280569723, 8.179739482332906, 293.8836627888037, 19.897142724974174, 227.37753051358317, 4.000457435533419, 294.58694327927503, 1583.9663585705555
2015-Jan-01 08:00:00, 3.6825695867238024, 294.6403888107856, 21.151459311957865, 1355.7330595940543, 8.341687006339718, 293.8553240292387, 19.85241234871563, 231.8792910110894, 4.009665734602237, 294.58527286440534, 1587.6123506051438
2015-Jan-01 09:00:00, 3.680776103904701, 294.6406041733957, 21.151963877899448, 1355.0727912970383, 8.488549637755922, 293.8296566757297, 19.811873490603034, 235.96172695275573, 4.018308743922232, 294.58367111532306, 1591.034518249794
2015-Jan-01 10:00:00, 3.679397980694839, 294.64072124493777, 21.152349791648987, 1354.5654370836814, 8.62093456775503, 293.8065562917431, 19.7753517097064, 239.64171682595713, 4.026321536521639, 294.5821581913997, 1594.2071539096387
2015-Jan-01 11:00:00, 3.6783489146350252, 294.640761974848, 21.15264175998317, 1354.1792248192573, 8.739150857502851, 293.78596898084817, 19.742755840433233, 242.92785180463147, 4.033645566682963, 294.58075071726654, 1597.1070766238888
2015-Jan-01 12:00:00, 3.6775621215524423, 294.6407432794127, 21.152858899953515, 1353.8895680000182, 8.843701074881587, 293.76780260297943, 19.713942013980102, 245.8341020945802, 4.040254021937729, 294.579457952843, 1599.7236700945984
2015-Jan-01 13:00:00, 3.6769846371195127, 294.64067852567956, 21.15301637125316, 1353.6769678797255, 8.935499322501519, 293.7518891622136, 19.68865360613927, 248.38587759970198, 4.046161831475869, 294.57828053248005, 1602.0628454794273
2015-Jan-01 14:00:00, 3.676574229368005, 294.6405783225986, 21.153126260072327, 1353.5258768158558, 9.016046259700223, 293.73795479777954, 19.666473112749372, 250.62489312216832, 4.051435082943636, 294.57720909375934, 1604.150769938024
2015-Jan-01 15:00:00, 3.676297819323169, 294.64045091332423, 21.15319803086345, 1353.4241168281724, 9.08734322865808, 293.725637316786, 19.64684600618085, 252.60678127028785, 4.056183525130224, 294.5762258731493, 1606.0308980984603
2015-Jan-01 16:00:00, 3.676130559165289, 294.64030239599316, 21.153238789643183, 1353.3625402251373, 9.15163557502551, 293.71453374541665, 19.629151544804017, 254.39395737528784, 4.060541690517409, 294.57530824964357, 1607.756497600425
2015-Jan-01 17:00:00, 3.676054972894594, 294.6401369346929, 21.153253529736446, 1353.3347132408483, 9.211082283937587, 293.704260018546, 19.612793725715903, 256.0464361490657, 4.064644902871792, 294.57443313146376, 1609.3811493899138
2015-Jan-01 18:00:00, 3.6760597441649, 294.6399570738458, 21.15324547903532, 1353.3364697776192, 9.267317387076382, 293.6945294780727, 19.59732189998391, 257.6096398314682, 4.0685973584976525, 294.5735827593944, 1610.9461096090874
2015-Jan-01 19:00:00, 3.6761380890152746, 294.63976417175815, 21.15321656659387, 1353.3653123293213, 9.32126855258713, 293.68518362625787, 19.582480546776196, 259.10935541637883, 4.072457877207643, 294.572747268952, 1612.4746677457001
2015-Jan-01 20:00:00, 3.676286068651506, 294.63955885569794, 21.153167906586702, 1353.4197908341428, 9.373380244803469, 293.67614964483056, 19.568147333743923, 260.55793796752573, 4.076254000619529, 294.571922131116, 1613.9777288016685
2015-Jan-01 21:00:00, 3.6765011338858415, 294.63934141549095, 21.153100215986342, 1353.4989668120277, 9.423730399627118, 293.66741896284327, 19.554300857799777, 261.9575539197825, 4.079988830049796, 294.5711070136364, 1615.45652073181
2015-Jan-01 22:00:00, 3.676781070299419, 294.63911208845406, 21.153014117043426, 1353.6020250276385, 9.472220034091473, 293.6590128303548, 19.540968332471664, 263.30545177934454, 4.083653357385336, 294.5703036290422, 1616.9074768069831
2015-Jan-01 23:00:00, 3.677123440433456, 294.6388712085759, 21.152910297352662, 1353.7280681337907, 9.518784945907914, 293.650944335725, 19.528167273497274, 264.59984687350044, 4.087240808930245, 294.56951320675034, 1618.327915007291
2015-Jan-02 00:00:00, 3.6775253977054305, 294.6386192535884, 21.15278956312835, 1353.876048164942, 9.563375511641535, 293.64322308799774, 19.515911132185067, 265.8393597874035, 4.090745054104873, 294.56873686556213, 1619.7154079523455
2015-Jan-02 01:00:00, 3.677983706514537, 294.6383568350836, 21.152652833178934, 1354.0447739389908, 9.605962287295826, 293.6358545822278, 19.504207780442812, 267.0231720471611, 4.094161017332189, 294.56797555991585, 1621.067945986152
2015-Jan-02 02:00:00, 3.6784948615629958, 294.6380846628463, 21.152501104660928, 1354.232954985256, 9.646558316176574, 293.62883635158073, 19.49305337886824, 268.15164622601475, 4.097486355119106, 294.5672297765801, 1622.3846012112706
2015-Jan-02 03:00:00, 3.6790551905833766, 294.63780351309185, 21.152335423347722, 1354.439239363403, 9.685141069272595, 293.62217241239887, 19.482453865766445, 269.2241560704098, 4.100716071349129, 294.5665005192451, 1623.6633954338126
2015-Jan-02 04:00:00, 3.6796609358152708, 294.63751420443333, 21.152156860337698, 1354.6622436589716, 9.721694512519267, 293.6158654763062, 19.47241347719711, 270.2402558710389, 4.103845546396508, 294.5657887394239, 1624.9024995300106
2015-Jan-02 05:00:00, 3.680308346935654, 294.63721756959944, 21.151966485094704, 1354.9005871955655, 9.756252714431081, 293.6099090552902, 19.46292261847816, 271.2008926525244, 4.106873685032513, 294.5650947558883, 1626.1014798480899
2015-Jan-02 06:00:00, 3.6809938013197105, 294.63691442059525, 21.151765330994976, 1355.1529363087118, 9.788911423259846, 293.6042855679528, 19.453954744797613, 272.108727991203, 4.10980384102464, 294.5644180893233, 1627.2616642999149
2015-Jan-02 07:00:00, 3.681713907509606, 294.6366055182324, 21.151554365487243, 1355.4180424377525, 9.819786668952514, 293.59897402500786, 19.445477770005084, 272.9669872468629, 4.112641006966789, 294.5637579735618, 1628.3850296846153
2015-Jan-02 08:00:00, 3.6824653347735494, 294.6362916191674, 21.15133453905372, 1355.6946793782413, 9.84865539313364, 293.5940154083557, 19.43755294421976, 273.7694699209823, 4.115366426015451, 294.56311798929784, 1629.4641492992237
2015-Jan-02 09:00:00, 3.6832442677879214, 294.6359736277145, 21.151106941748708, 1355.9814425238992, 9.874806461013717, 293.5895384765744, 19.430375721184646, 274.49640813798885, 4.117926625057394, 294.56250801693136, 1630.4778506618882
2015-Jan-02 10:00:00, 3.6840457797732435, 294.63565277113344, 21.150872983257898, 1356.2765180874621, 9.897282606727044, 293.5857145397245, 19.424209078869183, 275.12119215694173, 4.120249817773332, 294.56194122448767, 1631.397710244404
2015-Jan-02 11:00:00, 3.6848629539003364, 294.6353308454808, 21.150634645164246, 1356.5773596475344, 9.914393661468768, 293.5828461717119, 19.41951743101305, 275.5968392579355, 4.122210913614138, 294.5614405243136, 1632.17419890547
2015-Jan-02 12:00:00, 3.685686104426316, 294.6350104333872, 21.1503947046711, 1356.88040141085, 9.924228480245159, 293.5812721072312, 19.416825684751416, 275.87022410243503, 4.123666733743647, 294.56103209879825, 1632.750625513285
2015-Jan-02 13:00:00, 3.6865028415427816, 294.6346948838278, 21.15015671588401, 1357.1810820860453, 9.925554479023376, 293.5812045762418, 19.416471949845402, 275.9070837516092, 4.124519223882159, 294.56073396153215, 1633.0881658376545
2015-Jan-02 14:00:00, 3.6872992919148246, 294.6343879656392, 21.14992465908921, 1357.474294223461, 9.918344651420886, 293.5826374495329, 19.41846292566322, 275.70666749150416, 4.124753588681239, 294.56054918645344, 1633.1809617149652
2015-Jan-02 15:00:00, 3.6880621043483326, 294.6340933004674, 21.14970236463597, 1357.7551225988714, 9.903783480082248, 293.5853494134722, 19.422472552202464, 275.30190115542274, 4.124440571593705, 294.5604656034914, 1633.057023754294
2015-Jan-02 16:00:00, 3.688780592124258, 294.63381375817164, 21.14949289746022, 1358.0196329109774, 9.883991713528488, 293.588956350646, 19.427917763790163, 274.75173656726986, 4.123719124596791, 294.56045891383036, 1632.7713694782474
2015-Jan-02 17:00:00, 3.6894482687366117, 294.6335510251024, 21.149298116073624, 1358.2654371612891, 9.861359171158744, 293.5930324045926, 19.434141872424846, 274.12260508889074, 4.122750995285541, 294.5605007879198, 1632.3880422501798
2015-Jan-02 18:00:00, 3.690063214849237, 294.6333055037666, 21.149118567190555, 1358.4918287487721, 9.837805070314008, 293.5972412610357, 19.44061774485954, 273.4678564510996, 4.12166913888266, 294.560567988862, 1631.9596851998717
2015-Jan-02 19:00:00, 3.6906274540318136, 294.6330764926473, 21.148953665118597, 1358.699552647893, 9.814707669139004, 293.601345113515, 19.44696701181499, 272.82580299061993, 4.120572198336032, 294.56064316904434, 1631.5253556385128
2015-Jan-02 20:00:00, 3.6911457666238237, 294.6328625246042, 21.148802032752428, 1358.890368734227, 9.79286831807044, 293.60520911934356, 19.45296984532723, 272.2187203659575, 4.119520877669145, 294.5607154976159, 1631.1090891001845
2015-Jan-02 21:00:00, 3.6916245217534986, 294.63266169674205, 21.148661836860583, 1359.0666217938, 9.772856626452791, 293.60873800732753, 19.458469943774386, 271.662442377979, 4.118561088629245, 294.5607765167037, 1630.729064171779
2015-Jan-02 22:00:00, 3.6920707512821482, 294.6324719326814, 21.148531054323882, 1359.230900596932, 9.755032215997126, 293.6118726357392, 19.463368634423375, 271.16696566493414, 4.117724616860652, 294.5608201436212, 1630.3978662618663
2015-Jan-02 23:00:00, 3.6924912446771936, 294.63229123660295, 21.148407732019052, 1359.3857046769579, 9.73924031750248, 293.61464501920943, 19.46770865680844, 270.7279880068328, 4.117006909507057, 294.56084677027314, 1630.1136926837908
2015-Jan-03 00:00:00, 3.692891764914162, 294.6321179127083, 21.148290211955725, 1359.533155665597, 9.72503915640029, 293.6171366206465, 19.471611592609747, 270.3332291090934, 4.116382309900838, 294.5608605390683, 1629.8663847746902
2015-Jan-03 01:00:00, 3.6932765619191423, 294.6319507009434, 21.148177271114378, 1359.674818167445, 9.711880225583807, 293.6194462484505, 19.475228301721533, 269.96744176345555, 4.115816261327284, 294.56086721531886, 1629.6422599309005
2015-Jan-03 02:00:00, 3.6936482540246445, 294.63178880695705, 21.14806815529232, 1359.8116561181075, 9.699286003875889, 293.62165866093443, 19.478690061709017, 269.6173520036445, 4.115277673635107, 294.56087201095, 1629.429008121752
2015-Jan-03 03:00:00, 3.6940080068880796, 294.63163184975116, 21.14796252772777, 1359.9440986527986, 9.686908790247276, 293.6238347368253, 19.48209241958523, 269.2732945583443, 4.1147432200856136, 294.56087884573947, 1629.217393211143
2015-Jan-03 04:00:00, 3.6943559667367944, 294.6314797369682, 21.147860344515607, 1360.0721996049206, 9.67465587408089, 293.6259894976081, 19.485460775120657, 268.93269229032336, 4.114206527835396, 294.5608886884062, 1629.0048918952439
2015-Jan-03 05:00:00, 3.694691738875271, 294.6313325288914, 21.14776171718222, 1360.1958136678466, 9.662533714234039, 293.62812079022206, 19.488793285151075, 268.59572474063293, 4.113667683346746, 294.56090144384433, 1628.7915384084795
2015-Jan-03 06:00:00, 3.695014744155267, 294.63119033748154, 21.147666810256794, 1360.3147276289278, 9.650564471973633, 293.6302241842504, 19.492083819418667, 268.2630079404013, 4.113127703975978, 294.56091690511425, 1628.577735569329
2015-Jan-03 07:00:00, 3.695324434796632, 294.6310532658448, 21.14757577927321, 1360.4287398236352, 9.638781206546629, 293.63229359892193, 19.495323267158312, 267.93546085898566, 4.112588401344546, 294.5609347411793, 1628.3642006826208
2015-Jan-03 08:00:00, 3.695620194869436, 294.63092143692785, 21.147488799342966, 1360.5376234981907, 9.626911272132036, 293.6343780836287, 19.498586651332857, 267.6055045834371, 4.1120300614999845, 294.56095850989675, 1628.1431280816278
2015-Jan-03 09:00:00, 3.695900708576054, 294.6307951734144, 21.147406246754485, 1360.640894243461, 9.613999424039166, 293.6366485898152, 19.502136801914958, 267.2465855567292, 4.111384397491513, 294.5610005130453, 1627.8874798001902
2015-Jan-03 10:00:00, 3.6961631021648125, 294.6306752399127, 21.147328945340803, 1360.7374940916181, 9.598665983114541, 293.6393500892301, 19.506353288309015, 266.82035194143526, 4.110551876114017, 294.56107865994284, 1627.5578460330535
2015-Jan-03 11:00:00, 3.6964024068015315, 294.63056299370595, 21.14725832088078, 1360.8255937730155, 9.5795824911083, 293.6427160266196, 19.511601510824732, 266.2898757208506, 4.109434612160826, 294.56121060171284, 1627.1154694938662
2015-Jan-03 12:00:00, 3.696611592153528, 294.63046037204697, 21.147196391221883, 1360.9026050800949, 9.555746011978963, 293.64692019452167, 19.518157318484327, 265.62727763049907, 4.107955657138445, 294.56141034081196, 1626.529882710594
2015-Jan-03 13:00:00, 3.6967821598087283, 294.6303697218577, 21.147145595900383, 1360.9653993338372, 9.526670502717923, 293.65204371162673, 19.526154423876903, 264.81904681722204, 4.10607298632844, 294.56168575438164, 1625.7844461510592
