Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2197.290829355209
2100-Jan-01 01:00:00, 2218.835298572397
2100-Jan-01 02:00:00, 2233.5722197830037
2100-Jan-01 03:00:00, 2245.5413918616628
2100-Jan-01 04:00:00, 2256.023296104628
2100-Jan-01 05:00:00, 2265.540192128632
2100-Jan-01 06:00:00, 2274.3420953226464
2100-Jan-01 07:00:00, 2282.5627325610994
2100-Jan-01 08:00:00, 2290.2786868949624
2100-Jan-01 09:00:00, 2297.537764131773
2100-Jan-01 10:00:00, 2304.3705202233605
2100-Jan-01 11:00:00, 2310.798251676654
2100-Jan-01 12:00:00, 2316.8372559051013
2100-Jan-01 13:00:00, 2322.501238577264
2100-Jan-01 14:00:00, 2327.804325106136
2100-Jan-01 15:00:00, 2332.7627386672884
2100-Jan-01 16:00:00, 2337.3955934845453
2100-Jan-01 17:00:00, 2341.7250618760604
2100-Jan-01 18:00:00, 2345.7777984076683
2100-Jan-01 19:00:00, 2349.5838306446904
2100-Jan-01 20:00:00, 2353.175550670245
2100-Jan-01 21:00:00, 2356.586726405252
2100-Jan-01 22:00:00, 2359.851797741402
2100-Jan-01 23:00:00, 2363.003699912699
2100-Jan-02 00:00:00, 2366.072515858492
2100-Jan-02 01:00:00, 2369.0847686954708
2100-Jan-02 02:00:00, 2372.063296244183
2100-Jan-02 03:00:00, 2375.024063074304
2100-Jan-02 04:00:00, 2377.9761244739343
2100-Jan-02 05:00:00, 2380.922036268714
2100-Jan-02 06:00:00, 2383.857033700168
2100-Jan-02 07:00:00, 2386.7706352725327
2100-Jan-02 08:00:00, 2389.648034530573
2100-Jan-02 09:00:00, 2392.471343853304
2100-Jan-02 10:00:00, 2395.2205123052872
2100-Jan-02 11:00:00, 2397.8756732857382
2100-Jan-02 12:00:00, 2400.416928270028
2100-Jan-02 13:00:00, 2402.8292880872173
2100-Jan-02 14:00:00, 2405.1004242083277
2100-Jan-02 15:00:00, 2407.2241300332817
2100-Jan-02 16:00:00, 2409.2002588489036
2100-Jan-02 17:00:00, 2411.0361451191493
2100-Jan-02 18:00:00, 2412.7434375332487
2100-Jan-02 19:00:00, 2414.3390832431687
2100-Jan-02 20:00:00, 2415.843869791108
2100-Jan-02 21:00:00, 2417.2831251457847
2100-Jan-02 22:00:00, 2418.681702837124
2100-Jan-02 23:00:00, 2420.0658039068976
2100-Jan-03 00:00:00, 2421.4589744092546
2100-Jan-03 01:00:00, 2422.8815719763265
2100-Jan-03 02:00:00, 2424.3488262237456
2100-Jan-03 03:00:00, 2425.87005114717
2100-Jan-03 04:00:00, 2427.448558943129
2100-Jan-03 05:00:00, 2429.0820878249565
2100-Jan-03 06:00:00, 2430.761777329371
2100-Jan-03 07:00:00, 2432.4735667725263
2100-Jan-03 08:00:00, 2434.19944301151
2100-Jan-03 09:00:00, 2435.918595326944
2100-Jan-03 10:00:00, 2437.608280225461
2100-Jan-03 11:00:00, 2439.2461379209217
2100-Jan-03 12:00:00, 2440.8116748169637
2100-Jan-03 13:00:00, 2442.2870772879332
2100-Jan-03 14:00:00, 2443.659246509278
2100-Jan-03 15:00:00, 2444.9189271209275
2100-Jan-03 16:00:00, 2446.063373254788
2100-Jan-03 17:00:00, 2447.0976325526653
2100-Jan-03 18:00:00, 2448.0314874904566
2100-Jan-03 19:00:00, 2448.880360619258
2100-Jan-03 20:00:00, 2449.665474127575
2100-Jan-03 21:00:00, 2450.4103500498513
2100-Jan-03 22:00:00, 2451.139974856468
2100-Jan-03 23:00:00, 2451.8783872833724
2100-Jan-04 00:00:00, 2452.6473389847556
2100-Jan-04 01:00:00, 2453.4656336357166
2100-Jan-04 02:00:00, 2454.347296887182
2100-Jan-04 03:00:00, 2455.300717276768
2100-Jan-04 04:00:00, 2456.3284522678455
2100-Jan-04 05:00:00, 2457.427580167197
2100-Jan-04 06:00:00, 2458.5886318272583
2100-Jan-04 07:00:00, 2459.7969676096545
2100-Jan-04 08:00:00, 2461.0340163948276
2100-Jan-04 09:00:00, 2462.278427173433
2100-Jan-04 10:00:00, 2463.506933167098
2100-Jan-04 11:00:00, 2464.6966694239304
2100-Jan-04 12:00:00, 2465.8266560015413
2100-Jan-04 13:00:00, 2466.8786359488213
2100-Jan-04 14:00:00, 2467.8390367569655
2100-Jan-04 15:00:00, 2468.6999174926987
2100-Jan-04 16:00:00, 2469.4592089445123
2100-Jan-04 17:00:00, 2470.1203805070068
2100-Jan-04 18:00:00, 2470.6935266632445
2100-Jan-04 19:00:00, 2471.1939500525277
2100-Jan-04 20:00:00, 2471.6408880320814
2100-Jan-04 21:00:00, 2472.0563264047496
2100-Jan-04 22:00:00, 2472.4641095123266
2100-Jan-04 23:00:00, 2472.8876081546528
2100-Jan-05 00:00:00, 2473.348242681274
2100-Jan-05 01:00:00, 2473.8646654595123
2100-Jan-05 02:00:00, 2474.4508265726026
2100-Jan-05 03:00:00, 2475.1150590958036
2100-Jan-05 04:00:00, 2475.859858994121
2100-Jan-05 05:00:00, 2476.6822274790657
2100-Jan-05 06:00:00, 2477.5726007358576
2100-Jan-05 07:00:00, 2478.516229056267
2100-Jan-05 08:00:00, 2479.4944188966647
2100-Jan-05 09:00:00, 2480.4856881048536
2100-Jan-05 10:00:00, 2481.4666328389985
2100-Jan-05 11:00:00, 2482.414247789745
2100-Jan-05 12:00:00, 2483.307412525697
2100-Jan-05 13:00:00, 2484.1277291899623
2100-Jan-05 14:00:00, 2484.8614874813084
2100-Jan-05 15:00:00, 2485.500611658387
2100-Jan-05 16:00:00, 2486.042902386463
2100-Jan-05 17:00:00, 2486.491702107258
2100-Jan-05 18:00:00, 2486.8569834278505
2100-Jan-05 19:00:00, 2487.1539312892137
2100-Jan-05 20:00:00, 2487.4016686954546
2100-Jan-05 21:00:00, 2487.6220709151207
2100-Jan-05 22:00:00, 2487.838874642809
2100-Jan-05 23:00:00, 2488.075345758362
2100-Jan-06 00:00:00, 2488.352801904118
2100-Jan-06 01:00:00, 2488.6897950036446
2100-Jan-06 02:00:00, 2489.100176356809
2100-Jan-06 03:00:00, 2489.5938974283713
2100-Jan-06 04:00:00, 2490.174432136142
2100-Jan-06 05:00:00, 2490.837519415192
2100-Jan-06 06:00:00, 2491.574174871801
2100-Jan-06 07:00:00, 2492.3697952280377
2100-Jan-06 08:00:00, 2493.2039677424987
2100-Jan-06 09:00:00, 2494.0539146501105
2100-Jan-06 10:00:00, 2494.8953145037494
2100-Jan-06 11:00:00, 2495.704706302901
