Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 3156.8491375167323
2100-Jan-01 01:00:00, 3202.700037999041
2100-Jan-01 02:00:00, 3233.3372610753786
2100-Jan-01 03:00:00, 3257.7847644324484
2100-Jan-01 04:00:00, 3278.9125098901113
2100-Jan-01 05:00:00, 3297.9045911371313
2100-Jan-01 06:00:00, 3315.334267887095
2100-Jan-01 07:00:00, 3331.508357933231
2100-Jan-01 08:00:00, 3346.600130432258
2100-Jan-01 09:00:00, 3360.715828389052
2100-Jan-01 10:00:00, 3373.922000882443
2100-Jan-01 11:00:00, 3386.2649156790853
2100-Jan-01 12:00:00, 3397.780561562399
2100-Jan-01 13:00:00, 3408.500054276771
2100-Jan-01 14:00:00, 3418.457133056106
2100-Jan-01 15:00:00, 3427.691655912552
2100-Jan-01 16:00:00, 3436.250885394832
2100-Jan-01 17:00:00, 3444.1891538621594
2100-Jan-01 18:00:00, 3451.5716387105394
2100-Jan-01 19:00:00, 3458.4705413618767
2100-Jan-01 20:00:00, 3464.962334146768
2100-Jan-01 21:00:00, 3471.125360914385
2100-Jan-01 22:00:00, 3477.0382700021664
2100-Jan-01 23:00:00, 3482.774224210717
2100-Jan-02 00:00:00, 3488.3980049752313
2100-Jan-02 01:00:00, 3493.9648320557867
2100-Jan-02 02:00:00, 3499.5206235200967
2100-Jan-02 03:00:00, 3505.0932055249427
2100-Jan-02 04:00:00, 3510.6936171198004
2100-Jan-02 05:00:00, 3516.31787085013
2100-Jan-02 06:00:00, 3521.9448120061843
2100-Jan-02 07:00:00, 3527.5412506700513
2100-Jan-02 08:00:00, 3533.065644524575
2100-Jan-02 09:00:00, 3538.471156730216
2100-Jan-02 10:00:00, 3543.7077092791296
2100-Jan-02 11:00:00, 3548.7281507045336
2100-Jan-02 12:00:00, 3553.486554328479
2100-Jan-02 13:00:00, 3557.9519391928297
2100-Jan-02 14:00:00, 3562.099853337218
2100-Jan-02 15:00:00, 3565.922175554922
2100-Jan-02 16:00:00, 3569.4255148050393
2100-Jan-02 17:00:00, 3572.6346295261865
2100-Jan-02 18:00:00, 3575.5826429307467
2100-Jan-02 19:00:00, 3578.3145512153833
2100-Jan-02 20:00:00, 3580.8828944094685
2100-Jan-02 21:00:00, 3583.3501818643035
2100-Jan-02 22:00:00, 3585.7745082288275
2100-Jan-02 23:00:00, 3588.216498569121
2100-Jan-03 00:00:00, 3590.7278034084175
2100-Jan-03 01:00:00, 3593.351084848483
2100-Jan-03 02:00:00, 3596.115200717162
2100-Jan-03 03:00:00, 3599.0340302592285
2100-Jan-03 04:00:00, 3602.1069966175264
2100-Jan-03 05:00:00, 3605.3207313331554
2100-Jan-03 06:00:00, 3608.6462841274565
2100-Jan-03 07:00:00, 3612.0436943256054
2100-Jan-03 08:00:00, 3615.4653332508856
2100-Jan-03 09:00:00, 3618.858778227035
2100-Jan-03 10:00:00, 3622.1687692042515
2100-Jan-03 11:00:00, 3625.343323064673
2100-Jan-03 12:00:00, 3628.336902174055
2100-Jan-03 13:00:00, 3631.111825909361
2100-Jan-03 14:00:00, 3633.6431115034993
2100-Jan-03 15:00:00, 3635.9151482633997
2100-Jan-03 16:00:00, 3637.928912771847
2100-Jan-03 17:00:00, 3639.704413974479
2100-Jan-03 18:00:00, 3641.271117159261
2100-Jan-03 19:00:00, 3642.6711478869324
2100-Jan-03 20:00:00, 3643.9595377675814
2100-Jan-03 21:00:00, 3645.1941613681147
2100-Jan-03 22:00:00, 3646.434525927308
2100-Jan-03 23:00:00, 3647.735559846369
2100-Jan-04 00:00:00, 3649.1449211025288
2100-Jan-04 01:00:00, 3650.7020180534505
2100-Jan-04 02:00:00, 3652.4334150695413
2100-Jan-04 03:00:00, 3654.3513673109696
2100-Jan-04 04:00:00, 3656.4540271959613
2100-Jan-04 05:00:00, 3658.7269169378155
2100-Jan-04 06:00:00, 3661.140044500659
2100-Jan-04 07:00:00, 3663.6524366623407
2100-Jan-04 08:00:00, 3666.2154697395545
2100-Jan-04 09:00:00, 3668.7757431208443
2100-Jan-04 10:00:00, 3671.2770392659454
2100-Jan-04 11:00:00, 3673.66644204691
2100-Jan-04 12:00:00, 3675.8975087719127
2100-Jan-04 13:00:00, 3677.9316842571516
2100-Jan-04 14:00:00, 3679.74314328287
2100-Jan-04 15:00:00, 3681.3203691289027
2100-Jan-04 16:00:00, 3682.6659871310785
2100-Jan-04 17:00:00, 3683.7952981277986
2100-Jan-04 18:00:00, 3684.7391550118195
2100-Jan-04 19:00:00, 3685.5394182631185
2100-Jan-04 20:00:00, 3686.2456139338283
2100-Jan-04 21:00:00, 3686.9120504002826
2100-Jan-04 22:00:00, 3687.5958505711365
2100-Jan-04 23:00:00, 3688.3508275660424
2100-Jan-05 00:00:00, 3689.224308256665
2100-Jan-05 01:00:00, 3690.2557160076467
