Timestamp, Slab Core Average Heat Flux [W/m2], Slab Core Average Temperature [K], Slab Core Average Effective Temperature [C], Slab Core Total Heat Transfer Rate [W], Slab Perimeter Average Heat Flux [W/m2], Slab Perimeter Average Temperature [K], Slab Perimeter Average Effective Temperature [C], Slab Perimeter Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 1.880271551904612, 294.93343774801787, 21.66539491321987, 692.2194527216384, 7.89021535212582, 293.9338755993645, 19.977150347492735, 219.329440242155, 2.302203280377833, 294.86326288463863, 911.5488929637934
2015-Jan-01 01:00:00, 1.8807489915347384, 294.9333414560839, 21.665256412230747, 692.395221481815, 7.871594342599925, 293.93716027560896, 19.9823025687312, 218.81181994742403, 2.301339901868652, 294.8634039556143, 911.2070414292391
2015-Jan-01 02:00:00, 1.881202274738163, 294.93325318807837, 21.665124999093962, 692.5620970858652, 7.855398575414247, 293.94000653773645, 19.9867834248667, 218.3616156890358, 2.30062432845018, 294.8635217080663, 910.923712774901
2015-Jan-01 03:00:00, 1.881637354848703, 294.93317083636737, 21.66499892499246, 692.7222712456578, 7.841814444390851, 293.9423834382711, 19.99054132478551, 217.98400877711106, 2.3000751813895186, 294.8636120096421, 910.7062800227689
2015-Jan-01 04:00:00, 1.8820600145760995, 294.93309236598475, 21.66487649145057, 692.8778728580363, 7.830910440290027, 293.94428072949063, 19.993557309614516, 217.6809030937931, 2.2997026458529093, 294.8636722487941, 910.5587759518294
2015-Jan-01 05:00:00, 1.8824756278259713, 294.93301589674945, 21.66475612028472, 693.0308803191547, 7.822665977582598, 293.9457036811658, 19.99583707967923, 217.45172640975866, 2.299510273248198, 294.863701047308, 910.4826067289133
2015-Jan-01 06:00:00, 1.8828890114223478, 294.93293975346404, 21.66463639707092, 693.183066936326, 7.816995256168761, 293.9466688444512, 19.99740439390331, 217.29409368391288, 2.2994965185836347, 294.8636980095783, 910.4771606202389
2015-Jan-01 07:00:00, 1.8833043546020969, 294.9328624880738, 21.664516091843154, 693.3359749714906, 7.813769841109884, 293.94720005080393, 19.998294820454134, 217.2044347268577, 2.2996562601358743, 294.86366346231364, 910.5404096983483
2015-Jan-01 08:00:00, 1.883725197513234, 294.9327828859128, 21.66439416537355, 693.4909077253974, 7.812821791954176, 293.947327979197, 19.998554875310447, 217.17808118879015, 2.299980999154021, 294.86359842996035, 910.6689889141876
2015-Jan-01 09:00:00, 1.8841544234041407, 294.93269996603925, 21.664269771436636, 693.6489266620752, 7.813927259527226, 293.947093255062, 19.998246571168636, 217.20881058883595, 2.3004577009999942, 294.86350485257714, 910.8577372509111
