Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2325.1106639364539
2100-Jan-01 01:00:00, 2325.0463135197847
2100-Jan-01 02:00:00, 2325.0714170093452
2100-Jan-01 03:00:00, 2325.1957609121555
2100-Jan-01 04:00:00, 2325.4217427982276
2100-Jan-01 05:00:00, 2325.7430829429786
2100-Jan-01 06:00:00, 2326.1485558050094
2100-Jan-01 07:00:00, 2326.620817879289
2100-Jan-01 08:00:00, 2327.136258755032
2100-Jan-01 09:00:00, 2327.6691210762565
2100-Jan-01 10:00:00, 2328.192286286856
2100-Jan-01 11:00:00, 2328.680036369447
2100-Jan-01 12:00:00, 2329.1094558191253
2100-Jan-01 13:00:00, 2329.4610714551495
2100-Jan-01 14:00:00, 2329.7209417433451
2100-Jan-01 15:00:00, 2329.8815272332376
2100-Jan-01 16:00:00, 2329.9418026820626
2100-Jan-01 17:00:00, 2329.9067638121624
2100-Jan-01 18:00:00, 2329.7886692921024
2100-Jan-01 19:00:00, 2329.6052758682122
2100-Jan-01 20:00:00, 2329.378390817245
2100-Jan-01 21:00:00, 2329.1325478040817
2100-Jan-01 22:00:00, 2328.8940517956817
2100-Jan-01 23:00:00, 2328.6883064233989
2100-Jan-02 00:00:00, 2328.5382410233447
2100-Jan-02 01:00:00, 2328.4634895881359
2100-Jan-02 02:00:00, 2328.4802481566403
2100-Jan-02 03:00:00, 2328.5974513826754
2100-Jan-02 04:00:00, 2328.8168998199562
2100-Jan-02 05:00:00, 2329.1337698786579
2100-Jan-02 06:00:00, 2329.5356272309
2100-Jan-02 07:00:00, 2330.0043902893285
2100-Jan-02 08:00:00, 2330.5178913644895
2100-Jan-02 09:00:00, 2331.0512493632164
2100-Jan-02 10:00:00, 2331.5778400362665
2100-Jan-02 11:00:00, 2332.0719660824825
2100-Jan-02 12:00:00, 2332.5083868421175
2100-Jan-02 13:00:00, 2332.86810881063
2100-Jan-02 14:00:00, 2333.1353423913856
2100-Jan-02 15:00:00, 2333.3015942092175
2100-Jan-02 16:00:00, 2333.3653046359868
2100-Jan-02 17:00:00, 2333.3334237099803
2100-Jan-02 18:00:00, 2333.2175049070638
2100-Jan-02 19:00:00, 2333.0349822473772
2100-Jan-02 20:00:00, 2332.8073816939923
2100-Jan-02 21:00:00, 2332.5612314450518
2100-Jan-02 22:00:00, 2332.3220819997546
2100-Jan-02 23:00:00, 2332.1169714470184
2100-Jan-03 00:00:00, 2331.9696216793241
2100-Jan-03 01:00:00, 2331.9000813251064
2100-Jan-03 02:00:00, 2331.9225126805277
2100-Jan-03 03:00:00, 2332.0444401017926
2100-Jan-03 04:00:00, 2332.2667668685731
2100-Jan-03 05:00:00, 2332.5843570088946
2100-Jan-03 06:00:00, 2332.9848405282041
2100-Jan-03 07:00:00, 2333.4503764840192
2100-Jan-03 08:00:00, 2333.9590918528429
2100-Jan-03 09:00:00, 2334.4863925703012
2100-Jan-03 10:00:00, 2335.0059086752785
2100-Jan-03 11:00:00, 2335.4921577416239
2100-Jan-03 12:00:00, 2335.9221254495383
2100-Jan-03 13:00:00, 2336.2760836110492
2100-Jan-03 14:00:00, 2336.539791525875
2100-Jan-03 15:00:00, 2336.7033693482613
2100-Jan-03 16:00:00, 2336.7643688516664
2100-Jan-03 17:00:00, 2336.7290709805038
2100-Jan-03 18:00:00, 2336.6087257693489
2100-Jan-03 19:00:00, 2336.4207279328793
2100-Jan-03 20:00:00, 2336.1887477813934
2100-Jan-03 21:00:00, 2335.9385809209725
2100-Jan-03 22:00:00, 2335.6973611197477
2100-Jan-03 23:00:00, 2335.4907912515191
2100-Jan-04 00:00:00, 2335.3417527049205
2100-Jan-04 01:00:00, 2335.2696659722378
2100-Jan-04 02:00:00, 2335.2884222050125
2100-Jan-04 03:00:00, 2335.405530445636
2100-Jan-04 04:00:00, 2335.622008798769
2100-Jan-04 05:00:00, 2335.9328826174064
2100-Jan-04 06:00:00, 2336.3259461807725
2100-Jan-04 07:00:00, 2336.7835070750853
2100-Jan-04 08:00:00, 2337.2838185491987
2100-Jan-04 09:00:00, 2337.802391032516
2100-Jan-04 10:00:00, 2338.3129390639397
2100-Jan-04 11:00:00, 2338.790048435716
2100-Jan-04 12:00:00, 2339.2107592278667
2100-Jan-04 13:00:00, 2339.555386810322
2100-Jan-04 14:00:00, 2339.8097257411696
2100-Jan-04 15:00:00, 2339.965977786454
2100-Jan-04 16:00:00, 2340.0228872204239
2100-Jan-04 17:00:00, 2339.9852548692897
2100-Jan-04 18:00:00, 2339.8651794458333
2100-Jan-04 19:00:00, 2339.6802884551166
2100-Jan-04 20:00:00, 2339.4522855795449
2100-Jan-04 21:00:00, 2339.2056221325506
2100-Jan-04 22:00:00, 2338.9665377737206
2100-Jan-04 23:00:00, 2338.760383966227
2100-Jan-05 00:00:00, 2338.6100486135165
2100-Jan-05 01:00:00, 2338.5351321402477
2100-Jan-05 02:00:00, 2338.5497637449189
2100-Jan-05 03:00:00, 2338.6616899465112
2100-Jan-05 04:00:00, 2338.8721412465197
2100-Jan-05 05:00:00, 2339.1763228473333
2100-Jan-05 06:00:00, 2339.5621769676127
2100-Jan-05 07:00:00, 2340.0121308889879
2100-Jan-05 08:00:00, 2340.5045342707072
2100-Jan-05 09:00:00, 2341.0149743352918
2100-Jan-05 10:00:00, 2341.5172273800436
2100-Jan-05 11:00:00, 2341.9859284227819
2100-Jan-05 12:00:00, 2342.3981568671952
