Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 3406.1705613781428
2100-Jan-01 01:00:00, 3406.0559369635021
2100-Jan-01 02:00:00, 3406.0939562392332
2100-Jan-01 03:00:00, 3406.3007459960922
2100-Jan-01 04:00:00, 3406.6798221670074
2100-Jan-01 05:00:00, 3407.2199044057211
2100-Jan-01 06:00:00, 3407.9014612366295
2100-Jan-01 07:00:00, 3408.6946586203903
2100-Jan-01 08:00:00, 3409.5590633988954
2100-Jan-01 09:00:00, 3410.4508036212123
2100-Jan-01 10:00:00, 3411.3238666137167
2100-Jan-01 11:00:00, 3412.134782254172
2100-Jan-01 12:00:00, 3412.8449812716913
2100-Jan-01 13:00:00, 3413.4218242460561
2100-Jan-01 14:00:00, 3413.8421589176805
2100-Jan-01 15:00:00, 3414.0937559323688
2100-Jan-01 16:00:00, 3414.175440938282
2100-Jan-01 17:00:00, 3414.096205555697
2100-Jan-01 18:00:00, 3413.87734753728
2100-Jan-01 19:00:00, 3413.549397218359
2100-Jan-01 20:00:00, 3413.1496202131325
2100-Jan-01 21:00:00, 3412.7197774333035
2100-Jan-01 22:00:00, 3412.3045222869468
2100-Jan-01 23:00:00, 3411.9468213472651
2100-Jan-02 00:00:00, 3411.6853013908144
2100-Jan-02 01:00:00, 3411.5529110676521
2100-Jan-02 02:00:00, 3411.5767262739632
2100-Jan-02 03:00:00, 3411.7713637396482
2100-Jan-02 04:00:00, 3412.139281057996
2100-Jan-02 05:00:00, 3412.6717396085992
2100-Jan-02 06:00:00, 3413.3471020573947
2100-Jan-02 07:00:00, 3414.1342474632779
2100-Jan-02 08:00:00, 3414.9952714352958
2100-Jan-02 09:00:00, 3415.8878052699501
2100-Jan-02 10:00:00, 3416.7666465866159
2100-Jan-02 11:00:00, 3417.5883333457714
2100-Jan-02 12:00:00, 3418.3102705064416
2100-Jan-02 13:00:00, 3418.900682867662
2100-Jan-02 14:00:00, 3419.3332545445046
2100-Jan-02 15:00:00, 3419.5941333643887
2100-Jan-02 16:00:00, 3419.6812733121719
2100-Jan-02 17:00:00, 3419.6070727739207
2100-Jan-02 18:00:00, 3419.3915925946608
2100-Jan-02 19:00:00, 3419.0647861251982
2100-Jan-02 20:00:00, 3418.6634520590692
2100-Jan-02 21:00:00, 3418.23280739149
2100-Jan-02 22:00:00, 3417.8161756770755
2100-Jan-02 23:00:00, 3417.459325908384
2100-Jan-03 00:00:00, 3417.2022426048648
2100-Jan-03 01:00:00, 3417.0785466816087
2100-Jan-03 02:00:00, 3417.111771147026
2100-Jan-03 03:00:00, 3417.3141170807075
2100-Jan-03 04:00:00, 3417.6865492473285
2100-Jan-03 05:00:00, 3418.2198294834561
2100-Jan-03 06:00:00, 3418.8924552432072
2100-Jan-03 07:00:00, 3419.6737321694764
2100-Jan-03 08:00:00, 3420.5262652626998
2100-Jan-03 09:00:00, 3421.4081741137466
2100-Jan-03 10:00:00, 3422.2746945559657
2100-Jan-03 11:00:00, 3423.0827290372226
2100-Jan-03 12:00:00, 3423.7935164990909
2100-Jan-03 13:00:00, 3424.3739693287503
2100-Jan-03 14:00:00, 3424.8004189988142
2100-Jan-03 15:00:00, 3425.0566038334387
2100-Jan-03 16:00:00, 3425.1389345638545
2100-Jan-03 17:00:00, 3425.0586913327743
2100-Jan-03 18:00:00, 3424.8354373727425
2100-Jan-03 19:00:00, 3424.4990746604603
2100-Jan-03 20:00:00, 3424.090115369524
2100-Jan-03 21:00:00, 3423.652480756014
2100-Jan-03 22:00:00, 3423.2322013398534
2100-Jan-03 23:00:00, 3422.8727221679142
2100-Jan-04 00:00:00, 3422.612568274059
2100-Jan-04 01:00:00, 3422.4843111007563
2100-Jan-04 02:00:00, 3422.5110400662215
2100-Jan-04 03:00:00, 3422.7049465230684
2100-Jan-04 04:00:00, 3423.0672005504293
2100-Jan-04 05:00:00, 3423.5888444340235
2100-Jan-04 06:00:00, 3424.2486571894215
2100-Jan-04 07:00:00, 3425.0161944246502
2100-Jan-04 08:00:00, 3425.8542765942871
2100-Jan-04 09:00:00, 3426.7212042365795
2100-Jan-04 10:00:00, 3427.5723505294072
2100-Jan-04 11:00:00, 3428.364732870079
2100-Jan-04 12:00:00, 3429.0596816735551
2100-Jan-04 13:00:00, 3429.6241818440603
2100-Jan-04 14:00:00, 3430.0346229291722
2100-Jan-04 15:00:00, 3430.2783318985603
2100-Jan-04 16:00:00, 3430.3537435571607
2100-Jan-04 17:00:00, 3430.269520685737
2100-Jan-04 18:00:00, 3430.0466917327221
2100-Jan-04 19:00:00, 3429.7155727906843
2100-Jan-04 20:00:00, 3429.3132545895451
2100-Jan-04 21:00:00, 3428.8813599812461
