Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 33500.147108404693
2100-Jan-01 01:00:00, 33498.951716973286
2100-Jan-01 02:00:00, 33499.891550194479
2100-Jan-01 03:00:00, 33503.02038106323
2100-Jan-01 04:00:00, 33508.216424175575
2100-Jan-01 05:00:00, 33515.166583082042
2100-Jan-01 06:00:00, 33523.490184392998
2100-Jan-01 07:00:00, 33532.697755574169
2100-Jan-01 08:00:00, 33542.191370959401
2100-Jan-01 09:00:00, 33551.385241254407
2100-Jan-01 10:00:00, 33559.709539574564
2100-Jan-01 11:00:00, 33566.675956836414
2100-Jan-01 12:00:00, 33571.896965039377
2100-Jan-01 13:00:00, 33575.086152077834
2100-Jan-01 14:00:00, 33576.103255794391
2100-Jan-01 15:00:00, 33574.959293804852
2100-Jan-01 16:00:00, 33571.804099872927
2100-Jan-01 17:00:00, 33566.9021149408
2100-Jan-01 18:00:00, 33560.66252117508
2100-Jan-01 19:00:00, 33553.579303267426
2100-Jan-01 20:00:00, 33546.192963113848
2100-Jan-01 21:00:00, 33539.06054856025
2100-Jan-01 22:00:00, 33532.737941355299
2100-Jan-01 23:00:00, 33527.713685566116
2100-Jan-02 00:00:00, 33524.382905642167
2100-Jan-02 01:00:00, 33523.041624940051
2100-Jan-02 02:00:00, 33523.896455298585
2100-Jan-02 03:00:00, 33526.966035343292
2100-Jan-02 04:00:00, 33532.110590923461
2100-Jan-02 05:00:00, 33539.060079639741
2100-Jan-02 06:00:00, 33547.39263562487
2100-Jan-02 07:00:00, 33556.600503983078
2100-Jan-02 08:00:00, 33566.131048661926
2100-Jan-02 09:00:00, 33575.417512801199
2100-Jan-02 10:00:00, 33583.896648213711
2100-Jan-02 11:00:00, 33591.074505769837
2100-Jan-02 12:00:00, 33596.494740999813
2100-Jan-02 13:00:00, 33599.893791900096
2100-Jan-02 14:00:00, 33601.081175857413
2100-Jan-02 15:00:00, 33600.051289040923
2100-Jan-02 16:00:00, 33596.949102500766
2100-Jan-02 17:00:00, 33592.101805209997
2100-Jan-02 18:00:00, 33585.893622816257
2100-Jan-02 19:00:00, 33578.811412786599
2100-Jan-02 20:00:00, 33571.390969034634
2100-Jan-02 21:00:00, 33564.248413500354
2100-Jan-02 22:00:00, 33557.910124691218
2100-Jan-02 23:00:00, 33552.910696740451
2100-Jan-03 00:00:00, 33549.659308049217
2100-Jan-03 01:00:00, 33548.455258387301
2100-Jan-03 02:00:00, 33549.441431015461
2100-Jan-03 03:00:00, 33552.603474960437
2100-Jan-03 04:00:00, 33557.78621868926
2100-Jan-03 05:00:00, 33564.719947965539
2100-Jan-03 06:00:00, 33572.991059510801
2100-Jan-03 07:00:00, 33582.102151564701
2100-Jan-03 08:00:00, 33591.510207958723
2100-Jan-03 09:00:00, 33600.656396928716
2100-Jan-03 10:00:00, 33608.983614212353
