Timestamp, Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Wall Average Temperature [K], Wall Average Effective Temperature [C], Wall Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Foundation Average Temperature [K], Foundation Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 1.6888312519191233, 295.01888825956536, 675.53250076764937, 7.0183023477275919, 294.18605334915145, 19.974871072537098, 1369.9726182764259, 3.4366685467810405, 294.74575422980593, 2045.5051190440754
2015-Jan-01 01:00:00, 1.6890442554664447, 295.01883010526672, 675.61770218657784, 7.0307171938166011, 294.18372769664307, 19.970999352365425, 1372.3959962330005, 3.440883229871603, 294.74495243362128, 2048.0136984195783
2015-Jan-01 02:00:00, 1.6892571709186222, 295.01877197863348, 675.7028683674489, 7.0487354253881378, 294.18036250788055, 19.965381270382977, 1375.9131550357645, 3.446935523190882, 294.74380973284889, 2051.6160234032131
2015-Jan-01 03:00:00, 1.6894699944789422, 295.01871388085198, 675.78799779157691, 7.0709272619074968, 294.17622189506801, 19.958462757284053, 1380.2450015243433, 3.4543565176678768, 294.74241274572927, 2056.0329993159203
2015-Jan-01 04:00:00, 1.6896827224029412, 295.01865581308789, 675.87308896117645, 7.0956568669990618, 294.17161018964151, 19.950754038549974, 1385.0722204382168, 3.4626097268134965, 294.74086128066727, 2060.9453093993934
2015-Jan-01 05:00:00, 1.6898953510476542, 295.01859777647076, 675.95814041906169, 7.1215046154823796, 294.16679355710079, 19.942697950495926, 1390.1177009421604, 3.4712295721794724, 294.73924262925794, 2066.075841361222
2015-Jan-01 06:00:00, 1.6901078769245441, 295.01853977207713, 676.04315076981766, 7.147617081143081, 294.16193299220021, 19.934560727445444, 1395.2148542391294, 3.4799361643295481, 294.73760959157983, 2071.2580050089473
2015-Jan-01 07:00:00, 1.6903202967543967, 295.01848180091292, 676.12811870175869, 7.1734096470234361, 294.15713954434875, 19.92652473834562, 1400.2495630989747, 3.4885377718426303, 294.73599858773861, 2076.3776818007336
2015-Jan-01 08:00:00, 1.6905326075247544, 295.01842386389563, 676.21304300990175, 7.1934334778953231, 294.15345416955978, 19.920289715731769, 1404.1582148851669, 3.4952474090978973, 294.73475100715103, 2080.3712578950685
2015-Jan-01 09:00:00, 1.6907448065449733, 295.01836596183659, 676.29792261798934, 7.2016240602233497, 294.15203130423737, 19.917746642148529, 1405.7570165555978, 3.4980761746868061, 294.7342454558497, 2082.0549391735872
