Timestamp, Slab Core Average Heat Flux [W/m2], Slab Core Average Temperature [K], Slab Core Average Effective Temperature [C], Slab Core Total Heat Transfer Rate [W], Slab Perimeter Average Heat Flux [W/m2], Slab Perimeter Average Temperature [K], Slab Perimeter Average Effective Temperature [C], Slab Perimeter Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 1.8499741101590206, 295.01379093786693, 21.673935008986007, 681.06549013429026, 18.373896261880695, 292.15409872486913, 17.118454421629679, 510.75112684978268, 3.0100460286978019, 294.81302452166733, 1191.8166169840729
2015-Jan-01 01:00:00, 1.8503877429207907, 295.01371355679049, 21.673815178325128, 681.21776848136744, 18.310213263347752, 292.16473599445999, 17.135627239352857, 508.9808891822633, 3.0059597188094438, 294.81369936910187, 1190.1986576636307
2015-Jan-01 02:00:00, 1.8507650209799689, 295.01364314016791, 21.673706043065351, 681.3566628933919, 18.256765725200875, 292.1736488688, 17.150025234779378, 507.49517325425415, 3.0025581931906675, 294.8142596298382, 1188.8518361476461
2015-Jan-01 03:00:00, 1.8511072840780283, 295.01357943000255, 21.673607207717396, 681.48266659439219, 18.213789197060137, 292.18079948675563, 17.161586373198759, 506.30052679151606, 2.9998592344287021, 294.81470240592881, 1187.7831933859084
2015-Jan-01 04:00:00, 1.8514168971017273, 295.01352197179204, 21.673517975079392, 681.59665021425997, 18.181106162118791, 292.18621931028599, 17.170360334456461, 505.39201524408799, 2.9978525787075436, 294.8150294835857, 1186.9886654583479
2015-Jan-01 05:00:00, 1.851697072608208, 295.01347014861295, 21.673437398535214, 681.69979645160299, 18.158251593598788, 292.18998797284371, 17.176474475965279, 504.75671196062086, 2.9965085655594619, 294.81524587991152, 1186.4565084122239
2015-Jan-01 06:00:00, 1.8519516713711681, 295.0134232194074, 21.67336434081011, 681.79352664508554, 18.144568415062789, 292.19221721620079, 17.180107972796407, 504.37635176066442, 2.9957846542627089, 294.81535875077327, 1186.1698784057498
2015-Jan-01 07:00:00, 1.8521850005330194, 295.01338035771477, 21.673297533417667, 681.87942646341605, 18.13930554233082, 292.19303438161955, 17.181465247174287, 504.23005626949544, 2.995632119256411, 294.81537626780255, 1186.1094827329116
2015-Jan-01 08:00:00, 1.8524016233652045, 295.01334068816459, 21.673235632675812, 681.95917586886253, 18.141635069739412, 292.1925795661914, 17.180771361054497, 504.29481165572417, 2.9959970798284576, 294.81530745268566, 1186.2539875245866
2015-Jan-01 09:00:00, 1.8526061873272361, 295.01330331944894, 21.673177270325255, 682.03448581741793, 18.150582046823342, 292.19101753053525, 17.178291130578486, 504.54351658811225, 2.9968154101753623, 294.81516304380807, 1186.5780024055302
2015-Jan-01 10:00:00, 1.8528032704270201, 295.0132673737761, 21.673121098750471, 682.10704169655935, 18.164959140486186, 292.18854873303775, 17.17434686569095, 504.9431659974951, 2.998008009467231, 294.8149562983059, 1187.0502076940545
2015-Jan-01 11:00:00, 1.8529972423188417, 295.0132320134914, 21.673065831855467, 682.17845218865773, 18.183353770633357, 292.18541145933125, 17.169321819840036, 505.45449347761939, 2.9994797695468134, 294.81470316631902, 1187.632945666277
2015-Jan-01 12:00:00, 1.8531921379531331, 295.01319646528543, 21.673010282238977, 682.25020275530881, 18.204235596377391, 292.18186359880752, 17.163630935583342, 506.03495914899543, 3.0011270035836182, 294.81442103410882, 1188.2851619043042
2015-Jan-01 13:00:00, 1.8533915458514012, 295.01316004159349, 21.672953394059675, 682.32361450589758, 18.226105518722054, 292.1781574490538, 17.157680357435481, 506.6428915832733, 3.0028478030158534, 294.81412697508591, 1188.9665060891709
2015-Jan-01 14:00:00, 1.8535985184285588, 295.01312215776352, 21.672894269407664, 682.3998111828846, 18.247711598373968, 292.17450326438842, 17.151808821565396, 507.24348981087491, 3.0045571128087936, 294.81383520667515, 1189.6433009937596
2015-Jan-01 15:00:00, 1.853815515280991, 295.01308234290025, 21.672832184968399, 682.47969828338387, 18.268240348822797, 292.17103704758443, 17.146235815826458, 507.81414081897435, 3.0062001085703889, 294.81355483919754, 1190.2938391023581
2015-Jan-01 16:00:00, 1.8540443899465426, 295.01304024237209, 21.672766595888731, 682.56395818486965, 18.28742393158878, 292.16780261445757, 17.141032643296569, 508.34739932740894, 3.0077597099477655, 294.81328861903432, 1190.9113575122785
2015-Jan-01 17:00:00, 1.8542864258155785, 295.01299561089405, 21.672697125174011, 682.65306336578533, 18.305535637557174, 292.16475255141654, 17.136123843562245, 508.85086218039788, 3.0092562967814862, 294.81303298942112, 1191.5039255461832
2015-Jan-01 18:00:00, 1.8545424180717573, 295.01294829678807, 21.672623539539529, 682.74730657192947, 18.32323127822535, 292.16177517914139, 17.131330433820494, 509.34275939603367, 3.0107366500704873, 294.81277996881454, 1192.0900659679633
2015-Jan-01 19:00:00, 1.8548127884900392, 295.01289821994845, 21.67254571559431, 682.84684307918849, 18.341298157179487, 292.15873703891526, 17.126438157330028, 509.84497616339553, 3.0122564351017713, 294.8125201131831, 1192.691819242584
