Timestamp, Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Wall Average Temperature [K], Wall Average Effective Temperature [C], Wall Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Foundation Average Temperature [K], Foundation Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, -0.042383151362967213, 0.73934123781424732, -6644.5545711533459, -0.032332476779937148, 3.6517541547141641, 0.22492280896909181, -204.83080448436331, -0.04070091747567265, 1.2268069956724998, -6849.3853756377093
2015-Jan-01 01:00:00, -0.00039330769743218163, 0.74054514516533132, -61.66022050748802, -0.0091586251570513772, 3.6852845223233555, 0.25488580790421506, -58.02118321023994, -0.0018604046511394078, 1.2334215514783937, -119.68140371772796
2015-Jan-01 02:00:00, -0.012325419257055424, 0.74043034260068541, -1932.2989969407399, -0.018223147652901662, 3.6764679786791743, 0.24746465135939502, -115.44621277814898, -0.013312552855262205, 1.2318502930707567, -2047.7452097188889
2015-Jan-01 03:00:00, -0.015467593436733403, 0.74027715117467419, -2424.9086103726954, -0.018921443480240999, 3.6734241023415541, 0.24452827025822627, -119.87001541645303, -0.016045682353733302, 1.2312132726165914, -2544.7786257891485
2015-Jan-01 04:00:00, -0.017921191977371718, 0.74008078383863984, -2809.5678175032558, -0.019578854284446678, 3.6707123558007875, 0.24191772513822804, -124.03480566183623, -0.018198643573641753, 1.2305958931283238, -2933.6026231650922
2015-Jan-01 05:00:00, -0.019250802077239209, 0.73989087539155241, -3018.0154336624823, -0.019759573318106915, 3.6688031847103626, 0.24003637382631793, -125.17968625054611, -0.019335957776510742, 1.2301182227150231, -3143.1951199130285
2015-Jan-01 06:00:00, -0.0030500013975558117, 0.74040418527754648, -478.1593646635049, -0.0093421824254020722, 3.6822436131878593, 0.25187315546336209, -59.184044416361807, -0.004103156592522212, 1.2327952119421453, -537.34340907986666
2015-Jan-01 07:00:00, 0.0042379901498048669, 0.74088351293670873, 664.4045078486904, -0.0052445070298035917, 3.6893866666424016, 0.25838541525094549, -33.224692353452816, 0.0026508550814139356, 1.2343898821841381, 631.17981549523756
2015-Jan-01 08:00:00, 0.0061959738401805116, 0.74121742572456373, 971.36444503488019, -0.0038294270950273344, 3.6919141639358233, 0.26069507599683178, -24.259961212603152, 0.0045179701352951887, 1.2350909466650886, 947.10448382227707
2015-Jan-01 09:00:00, 0.0069633281564069633, 0.74147382189951971, 1091.6652595239084, -0.0026642760879873307, 3.6933943253587538, 0.26199587477989089, -16.87856510917003, 0.0053519057608667937, 1.2355521708198212, 1074.7866944147383
2015-Jan-01 10:00:00, 0.0070812390763249373, 0.74167382625756106, 1110.1505659896857, -0.0018735211972233012, 3.6943011321514772, 0.26278095324397521, -11.869021252460396, 0.0055824340896231941, 1.2358704763921164, 1098.2815447372252
2015-Jan-01 11:00:00, 0.0073333817746214598, 0.74185148950016, 1149.6798568675927, -0.0011608115752084894, 3.6951858078612791, 0.26355591486650931, -7.3539051902221173, 0.0059116642789179899, 1.2361664760032094, 1142.3259516773705
2015-Jan-01 12:00:00, 0.0068650200849347245, 0.7419835412627136, 1076.2531600297475, -0.0010072887588074891, 3.6955551823667157, 0.26390165616263339, -6.3813164768936357, 0.0055473906463543651, 1.2363382497124844, 1069.8718435528538
2015-Jan-01 13:00:00, 0.0062264717058589745, 0.74208363754571027, 976.14570188548134, -0.0010693768715922855, 3.6957102019210444, 0.26406623352341485, -6.774653435802926, 0.0050053274321919076, 1.2364475387902008, 969.37104844967837
2015-Jan-01 14:00:00, 0.0056194021598006466, 0.7421632547071435, 880.97329026546311, -0.00119047854981568, 3.6957885343974461, 0.26416320831876738, -7.5418496621772864, 0.0044795968657865993, 1.236526940927192, 873.43144060328586
2015-Jan-01 15:00:00, 0.0051051611550284219, 0.74222992395910481, 800.35393306685387, -0.0012806973688038103, 3.695843584644122, 0.26423214679576063, -8.1133986158421898, 0.0040363266683963069, 1.2365916654455669, 792.24053445101163
2015-Jan-01 16:00:00, 0.0046458540704841702, 0.74228653207792439, 728.34675828092588, -0.0013222632480295942, 3.6958660107902923, 0.26426097156818734, -8.3767243282169463, 0.003646939110735607, 1.2366425523491338, 719.97003395270895
2015-Jan-01 17:00:00, 0.0042482872242065811, 0.74233582878561311, 666.01881614302829, -0.0012662719287024036, 3.695865452577983, 0.2642517940861146, -8.0220114164908054, 0.0033252866630126957, 1.2366835045785314, 657.99680472653745
2015-Jan-01 18:00:00, 0.0038899963160370526, 0.74237900128181811, 609.84829990905439, -0.0011095330648829779, 3.6958343004424568, 0.2641965136648855, -7.0290485887862575, 0.0030531989771490882, 1.2367142369730173, 602.81925132026811
2015-Jan-01 19:00:00, 0.003574009701487997, 0.74241746548336207, 560.3099754427019, -0.00085873727369885128, 3.6957828244912103, 0.26410643036154208, -5.4402218490601673, 0.0028320776934561876, 1.2367376474215417, 554.86975359364169
2015-Jan-01 20:00:00, 0.0032730955892317439, 0.74245129928377118, 513.13461976908218, -0.00054383998286629113, 3.6957037240174806, 0.26397885478970801, -3.4453030604320229, 0.0026342351513617551, 1.2367525788227711, 509.68931670865015
2015-Jan-01 21:00:00, 0.0030170816546864713, 0.74248220539528642, 472.99842167249375, -0.00017175654238210748, 3.6956255125956905, 0.26384336506859452, -1.08810194130906, 0.0024833491542565547, 1.2367652213629501, 471.9103197311847
2015-Jan-01 22:00:00, 0.0028002064825475167, 0.74251101690033505, 438.99814396627573, 0.00024537150324357575, 3.695551708796037, 0.26370534883040264, 1.5544631099250072, 0.0023725904112952253, 1.2367768576086169, 440.55260707620073
2015-Jan-01 23:00:00, 0.028308663770336522, 0.74361924878825758, 4438.0480263859272, 0.011583849115990523, 3.7116713432583723, 0.2780795449208367, 73.385319337061688, 0.025509344208466938, 1.2403976263315433, 4511.4333457229886
2015-Jan-02 00:00:00, 0.013815349741715244, 0.74353407543152128, 2165.8805993979208, 0.0060956761631769255, 3.705518105393165, 0.27277115307381994, 38.616968965224878, 0.012523267664498641, 1.2392968093319736, 2204.4975683631455
2015-Jan-02 01:00:00, -0.0097664929531778438, 0.7427004986185396, -1531.1271887365294, -0.0051500021976504115, 3.6874244290730842, 0.25640862966504213, -32.62599090136959, -0.0089938067891622737, 1.2355743195361817, -1563.7531796378989
2015-Jan-02 02:00:00, -0.019379669388645715, 0.74199006729311212, -3038.2184118635446, -0.00940621935725903, 3.6773578029456115, 0.24699720302759373, -59.58972741919041, -0.017710360977808724, 1.233297893030818, -3097.8081392827348
2015-Jan-02 03:00:00, -0.019834290371610393, 0.74157828622018274, -3109.4909301487137, -0.0092631112858965244, 3.674930318154737, 0.24454768826694559, -58.6831175858362, -0.018064936927745717, 1.2325487331010705, -3168.1740477345497
2015-Jan-02 04:00:00, -0.020158481884078563, 0.74125843978525818, -3160.3155650998015, -0.0095411426932772575, 3.673137922694274, 0.24279809279283102, -60.44448579877352, -0.018381402382387852, 1.2319824184464261, -3220.7600508985752
2015-Jan-02 05:00:00, -0.022199717557720988, 0.74091555173116574, -3480.327206281183, -0.010795374866477228, 3.6701477598371199, 0.24000100567627874, -68.390223664612975, -0.020290913170608247, 1.2311964421850796, -3548.7174299457961
2015-Jan-02 06:00:00, -0.0067433418748542731, 0.74128116940227984, -1057.1772423360421, -0.0017544640074919425, 3.6820903562769951, 0.25055184977786188, -11.114777149285041, -0.0059083273354102383, 1.2334997592450667, -1068.2920194853273
2015-Jan-02 07:00:00, -0.0001242245621237679, 0.74161230396242372, -19.475118191192902, 0.0018596963391253184, 3.6887225541333191, 0.2566276859808283, 11.781438824879434, 0.00020783463870123895, 1.2348855356718094, -7.6936793663134679
2015-Jan-02 08:00:00, 0.0033036189982389688, 0.74189926039599841, 517.91988113648847, 0.0037054253743865799, 3.6921609240941455, 0.2597819255325895, 23.474392808142046, 0.0033708714295561464, 1.2356999606434036, 541.39427394463053
2015-Jan-02 09:00:00, 0.0039820604063006623, 0.74208675379915567, 624.28150867546628, 0.0043065908119001659, 3.6933949206948595, 0.26092337909019531, 27.282860715880894, 0.0040363787549096914, 1.236062612751337, 651.56436939134721
2015-Jan-02 10:00:00, 0.0040793800539889059, 0.74222236475820313, 639.53864952306651, 0.0044384941955841386, 3.6941018293195778, 0.2616099825879708, 28.118487271127126, 0.00413948686307993, 1.2362938447838741, 667.65713679419366
2015-Jan-02 11:00:00, 0.0037965768480264926, 0.74231876641185035, 595.20260384251196, 0.0039258728011305546, 3.6945042663938148, 0.26209133228899084, 24.870958375135512, 0.0038182177868515284, 1.2364414691839127, 620.07356221764746
2015-Jan-02 12:00:00, 0.0035278578831599758, 0.74239435192883541, 553.0745937974749, 0.0030871488358335947, 3.694872304001724, 0.26258848255580014, 19.557523659899154, 0.0034540941086267213, 1.2365660039344739, 572.63211745737408
2015-Jan-02 13:00:00, 0.0032540835269471006, 0.74245517857834964, 510.15403240599016, 0.0020918480504393613, 3.6951957328207814, 0.2630651273745484, 13.25215268681233, 0.0030595541063151354, 1.2366707836803534, 523.4061850928025
2015-Jan-02 14:00:00, 0.0029509048474442418, 0.74250363428248656, 462.62365262099053, 0.0010718481645788549, 3.6954491514531438, 0.26347556417115864, 6.7903094257229339, 0.0026363973184271717, 1.2367535451000571, 469.41396204671344
2015-Jan-02 15:00:00, 0.0026670806728911235, 0.74254344721028254, 418.12754613093466, 0.0001438902690814185, 3.6956496409798114, 0.26381890297385985, 0.91156516631930451, 0.0022447611194800657, 1.2368202513092228, 419.03911129725395
2015-Jan-02 16:00:00, 0.0024034540203467258, 0.74257669249862768, 376.79787566258227, -0.00061037951483800966, 3.69579232270193, 0.26407769652938201, -3.8668403882570708, 0.0018990129640107812, 1.2368718135449408, 372.93103527432521
2015-Jan-02 17:00:00, 0.0021796633499590627, 0.74260564695146525, 341.71343115841324, -0.001116922475712454, 3.6958899181268321, 0.26425326887068556, -7.0758615494873149, 0.0016278965662963041, 1.2369122567957, 334.6375696089259
2015-Jan-02 18:00:00, 0.0019859636722580603, 0.74263135521057244, 311.3464566057919, -0.001364707917216284, 3.6959404428027631, 0.26434193748730861, -8.6456172990448739, 0.0014251442718840864, 1.2369421187080769, 302.70083930674701
2015-Jan-02 19:00:00, 0.0018227166638514517, 0.74265479438034543, 285.75365330889002, -0.0013906402446187381, 3.6959560197634125, 0.26436150645472151, -8.8099022537716518, 0.0012848803386631227, 1.2369642419388542, 276.94375105511835
2015-Jan-02 20:00:00, 0.0016720170405880685, 0.74267602585740233, 262.12794737564207, -0.0012447289435963283, 3.6959344623681085, 0.26431748756216944, -7.8855335648153595, 0.0011838260346321223, 1.2369783116189104, 254.24241381082672
2015-Jan-02 21:00:00, 0.001540060676679917, 0.74269568614417469, 241.44068763202634, -0.0009516754683668835, 3.6958874834627156, 0.26422539618240809, -6.0289984315269312, 0.0011230057868049795, 1.2369868181561154, 235.41168920049941
2015-Jan-02 22:00:00, 0.0014024716524662119, 0.74271319043828954, 219.87037607235996, -0.00058189109099099031, 3.695808522012566, 0.26408951034931688, -3.686362201732944, 0.0010703384982036332, 1.2369881764748905, 216.18401387062701
2015-Jan-02 23:00:00, -0.040651804727860355, 0.74101243930815475, -6373.1253161640152, -0.024093734740096847, 3.6599399335808451, 0.2318403208793367, -152.63721067323945, -0.037880394091539343, 1.2295685759989272, -6525.7625268372549
2015-Jan-03 00:00:00, -0.034341430066956412, 0.74048942006090412, -5383.8258551655572, -0.019425606701097029, 3.6608721387612673, 0.23205391725860444, -123.06396058874022, -0.031844890823181198, 1.2292891252629867, -5506.8898157542972
2015-Jan-03 01:00:00, -0.0098813273577601658, 0.74102378115145129, -1549.130179155025, -0.0057627211814015884, 3.679080619003384, 0.24815914118435542, -36.507652155433249, -0.009191974735599925, 1.2327816959661557, -1585.6378313104583
2015-Jan-03 02:00:00, -0.016576681988188773, 0.74082348902711381, -2598.7842936902348, -0.010753934618972573, 3.6738569378885901, 0.24370380444116369, -68.127693846925851, -0.015602098355942898, 1.2317406129954926, -2666.9119875371607
