Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2937.9823834859067
2100-Jan-01 01:00:00, 2937.9895552664502
2100-Jan-01 02:00:00, 2938.4637159606923
2100-Jan-01 03:00:00, 2939.397103904641
2100-Jan-01 04:00:00, 2940.7409612820275
2100-Jan-01 05:00:00, 2942.4053947057796
2100-Jan-01 06:00:00, 2944.2953698560127
2100-Jan-01 07:00:00, 2946.2943482356332
2100-Jan-01 08:00:00, 2948.2656269757858
2100-Jan-01 09:00:00, 2950.0854413467214
2100-Jan-01 10:00:00, 2951.6381708396366
2100-Jan-01 11:00:00, 2952.8327984689272
2100-Jan-01 12:00:00, 2953.6039101422407
2100-Jan-01 13:00:00, 2953.9093968110128
2100-Jan-01 14:00:00, 2953.7416157626062
2100-Jan-01 15:00:00, 2953.1257568374904
2100-Jan-01 16:00:00, 2952.1150261824996
2100-Jan-01 17:00:00, 2950.7836963958339
2100-Jan-01 18:00:00, 2949.2361228429277
2100-Jan-01 19:00:00, 2947.5887013349297
2100-Jan-01 20:00:00, 2945.9618289112736
2100-Jan-01 21:00:00, 2944.4738919190845
2100-Jan-01 22:00:00, 2943.2385997705774
2100-Jan-01 23:00:00, 2942.3484648966778
2100-Jan-02 00:00:00, 2941.8716196583255
2100-Jan-02 01:00:00, 2941.8528367054182
2100-Jan-02 02:00:00, 2942.3177079995471
2100-Jan-02 03:00:00, 2943.2459220390474
2100-Jan-02 04:00:00, 2944.5847541490962
2100-Jan-02 05:00:00, 2946.2569475359073
2100-Jan-02 06:00:00, 2948.1542152333182
2100-Jan-02 07:00:00, 2950.1566148708225
2100-Jan-02 08:00:00, 2952.1409904158468
2100-Jan-02 09:00:00, 2953.9869677414645
2100-Jan-02 10:00:00, 2955.5794709790093
2100-Jan-02 11:00:00, 2956.8250841625909
2100-Jan-02 12:00:00, 2957.6393125705208
2100-Jan-02 13:00:00, 2957.9895537800712
2100-Jan-02 14:00:00, 2957.8539530145999
2100-Jan-02 15:00:00, 2957.2558429915794
2100-Jan-02 16:00:00, 2956.2486230758172
2100-Jan-02 17:00:00, 2954.9247962094241
2100-Jan-02 18:00:00, 2953.3792736336691
2100-Jan-02 19:00:00, 2951.7272841578779
2100-Jan-02 20:00:00, 2950.088275683112
2100-Jan-02 21:00:00, 2948.5973020587371
2100-Jan-02 22:00:00, 2947.3572211295618
2100-Jan-02 23:00:00, 2946.4740612548676
2100-Jan-03 00:00:00, 2946.0174634509854
2100-Jan-03 01:00:00, 2946.0318434700648
2100-Jan-03 02:00:00, 2946.5244995162438
2100-Jan-03 03:00:00, 2947.4687677082429
2100-Jan-03 04:00:00, 2948.8098455447339
2100-Jan-03 05:00:00, 2950.4721308648627
2100-Jan-03 06:00:00, 2952.3502832230556
2100-Jan-03 07:00:00, 2954.3272189874206
2100-Jan-03 08:00:00, 2956.2820886208301
2100-Jan-03 09:00:00, 2958.0962190898381
2100-Jan-03 10:00:00, 2959.6557312778546
2100-Jan-03 11:00:00, 2960.868023574234
2100-Jan-03 12:00:00, 2961.6649282414478
2100-Jan-03 13:00:00, 2962.0016724467341
2100-Jan-03 14:00:00, 2961.8684717840156
2100-Jan-03 15:00:00, 2961.2731567308733
2100-Jan-03 16:00:00, 2960.2645677804571
2100-Jan-03 17:00:00, 2958.932686706642
2100-Jan-03 18:00:00, 2957.3726405911948
2100-Jan-03 19:00:00, 2955.7010606425883
2100-Jan-03 20:00:00, 2954.0547423163785
2100-Jan-03 21:00:00, 2952.5575397077173
2100-Jan-03 22:00:00, 2951.3251590817617
2100-Jan-03 23:00:00, 2950.4487001162088
2100-Jan-04 00:00:00, 2949.9936563358542
2100-Jan-04 01:00:00, 2950.002211237349
2100-Jan-04 02:00:00, 2950.4820789665691
2100-Jan-04 03:00:00, 2951.4081365948623
2100-Jan-04 04:00:00, 2952.7272420921549
2100-Jan-04 05:00:00, 2954.3651826673249
2100-Jan-04 06:00:00, 2956.2176597915764
2100-Jan-04 07:00:00, 2958.1683321695878
2100-Jan-04 08:00:00, 2960.0968530194805
2100-Jan-04 09:00:00, 2961.8848844248296
2100-Jan-04 10:00:00, 2963.418762107458
2100-Jan-04 11:00:00, 2964.6060177269173
2100-Jan-04 12:00:00, 2965.3785595731824
2100-Jan-04 13:00:00, 2965.6916541584269
2100-Jan-04 14:00:00, 2965.5355313441314
2100-Jan-04 15:00:00, 2964.9338038399478
2100-Jan-04 16:00:00, 2963.9385635737149
2100-Jan-04 17:00:00, 2962.6233198080859
2100-Jan-04 18:00:00, 2961.0919153187806
2100-Jan-04 19:00:00, 2959.4604128381839
2100-Jan-04 20:00:00, 2957.8489943982941
2100-Jan-04 21:00:00, 2956.3759163734903
2100-Jan-04 22:00:00, 2955.1548137914251
2100-Jan-04 23:00:00, 2954.278162356848
2100-Jan-05 00:00:00, 2953.8140835663376
2100-Jan-05 01:00:00, 2953.8073565113605
2100-Jan-05 02:00:00, 2954.2678041444688
2100-Jan-05 03:00:00, 2955.1718741643854
2100-Jan-05 04:00:00, 2956.4675359213538
2100-Jan-05 05:00:00, 2958.081342571983
2100-Jan-05 06:00:00, 2959.9095128383155
2100-Jan-05 07:00:00, 2961.8360455854363
2100-Jan-05 08:00:00, 2963.7408154885111
2100-Jan-05 09:00:00, 2965.5056232844177
2100-Jan-05 10:00:00, 2967.0168869973836
2100-Jan-05 11:00:00, 2968.1821813031652
2100-Jan-05 12:00:00, 2968.9334343680725
2100-Jan-05 13:00:00, 2969.225912957947
2100-Jan-05 14:00:00, 2969.0498366649545
2100-Jan-05 15:00:00, 2968.4287995913946
2100-Jan-05 16:00:00, 2967.4148717008493
2100-Jan-05 17:00:00, 2966.0815363453307
2100-Jan-05 18:00:00, 2964.5326102463746
2100-Jan-05 19:00:00, 2962.8841280925399
2100-Jan-05 20:00:00, 2961.2562455390062
2100-Jan-05 21:00:00, 2959.7671933889751
2100-Jan-05 22:00:00, 2958.5305814033736
2100-Jan-05 23:00:00, 2957.6388613354802
2100-Jan-06 00:00:00, 2957.1601320322984
2100-Jan-06 01:00:00, 2957.1391507177759
2100-Jan-06 02:00:00, 2957.5857218111573
2100-Jan-06 03:00:00, 2958.4920576481409
2100-Jan-06 04:00:00, 2959.8093771749755
2100-Jan-06 05:00:00, 2961.4477639243178
2100-Jan-06 06:00:00, 2963.3121623660081
2100-Jan-06 07:00:00, 2965.286014556847
2100-Jan-06 08:00:00, 2967.2325986827668
2100-Jan-06 09:00:00, 2969.0281314959898
2100-Jan-06 10:00:00, 2970.5569770118177
2100-Jan-06 11:00:00, 2971.7281026241021
2100-Jan-06 12:00:00, 2972.4760784490672
2100-Jan-06 13:00:00, 2972.7587825658807
2100-Jan-06 14:00:00, 2972.568558784611
2100-Jan-06 15:00:00, 2971.9305836685348
2100-Jan-06 16:00:00, 2970.8980526593855
2100-Jan-06 17:00:00, 2969.5452271764361
2100-Jan-06 18:00:00, 2967.9764512484353
2100-Jan-06 19:00:00, 2966.3081110923554
2100-Jan-06 20:00:00, 2964.660594466804
2100-Jan-06 21:00:00, 2963.1522783527321
2100-Jan-06 22:00:00, 2961.8968636465593
