Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2606.844608150051
2100-Jan-01 01:00:00, 2606.7094888077022
2100-Jan-01 02:00:00, 2606.7441000398085
2100-Jan-01 03:00:00, 2606.9600678974357
2100-Jan-01 04:00:00, 2607.3550165005263
2100-Jan-01 05:00:00, 2607.9107129852446
2100-Jan-01 06:00:00, 2608.601492268876
2100-Jan-01 07:00:00, 2609.3915178180118
2100-Jan-01 08:00:00, 2610.2346599553562
2100-Jan-01 09:00:00, 2611.083182461613
2100-Jan-01 10:00:00, 2611.8886513370107
2100-Jan-01 11:00:00, 2612.6071489476294
2100-Jan-01 12:00:00, 2613.2013834402915
2100-Jan-01 13:00:00, 2613.6413345392448
2100-Jan-01 14:00:00, 2613.9080189768356
2100-Jan-01 15:00:00, 2613.9945254891904
2100-Jan-01 16:00:00, 2613.9056417798552
2100-Jan-01 17:00:00, 2613.6564405419535
2100-Jan-01 18:00:00, 2613.2746466306603
2100-Jan-01 19:00:00, 2612.7966142313776
2100-Jan-01 20:00:00, 2612.2644464055106
2100-Jan-01 21:00:00, 2611.7235600269582
2100-Jan-01 22:00:00, 2611.2210696609427
2100-Jan-01 23:00:00, 2610.8006270987671
2100-Jan-02 00:00:00, 2610.4998758520424
2100-Jan-02 01:00:00, 2610.3494230514225
2100-Jan-02 02:00:00, 2610.3730577928181
2100-Jan-02 03:00:00, 2610.5802137158034
2100-Jan-02 04:00:00, 2610.9672405701117
2100-Jan-02 05:00:00, 2611.5189934568552
2100-Jan-02 06:00:00, 2612.2070370138308
2100-Jan-02 07:00:00, 2612.9941120720946
2100-Jan-02 08:00:00, 2613.8372464156869
2100-Jan-02 09:00:00, 2614.6902801579204
2100-Jan-02 10:00:00, 2615.505500440675
2100-Jan-02 11:00:00, 2616.238788615658
2100-Jan-02 12:00:00, 2616.8479472106105
2100-Jan-02 13:00:00, 2617.3043089102925
2100-Jan-02 14:00:00, 2617.5851642188304
2100-Jan-02 15:00:00, 2617.6820336568089
2100-Jan-02 16:00:00, 2617.599000636968
2100-Jan-02 17:00:00, 2617.3554416831494
2100-Jan-02 18:00:00, 2616.9774237013189
2100-Jan-02 19:00:00, 2616.5007056564832
2100-Jan-02 20:00:00, 2615.9669412571502
2100-Jan-02 21:00:00, 2615.4257597757673
2100-Jan-02 22:00:00, 2614.9223987805549
2100-Jan-02 23:00:00, 2614.5038714053553
2100-Jan-03 00:00:00, 2614.2091358902394
2100-Jan-03 01:00:00, 2614.0693244959439
2100-Jan-03 02:00:00, 2614.1037926402723
2100-Jan-03 03:00:00, 2614.3193427221286
2100-Jan-03 04:00:00, 2614.7108709109334
2100-Jan-03 05:00:00, 2615.2629428092164
2100-Jan-03 06:00:00, 2615.9475014743771
2100-Jan-03 07:00:00, 2616.7279183887899
2100-Jan-03 08:00:00, 2617.561878192389
2100-Jan-03 09:00:00, 2618.4038077806513
2100-Jan-03 10:00:00, 2619.2064826805299
2100-Jan-03 11:00:00, 2619.9261759279525
2100-Jan-03 12:00:00, 2620.525192763032
2100-Jan-03 13:00:00, 2620.9728899623165
2100-Jan-03 14:00:00, 2621.2496460588554
2100-Jan-03 15:00:00, 2621.3437883186948
2100-Jan-03 16:00:00, 2621.2576538414282
2100-Jan-03 17:00:00, 2621.0094442917771
2100-Jan-03 18:00:00, 2620.6248042099596
2100-Jan-03 19:00:00, 2620.1395603368119
2100-Jan-03 20:00:00, 2619.5998446035014
2100-Jan-03 21:00:00, 2619.0534074212951
2100-Jan-03 22:00:00, 2618.5487060276128
2100-Jan-03 23:00:00, 2618.1296862935537
2100-Jan-04 00:00:00, 2617.8336689500616
2100-Jan-04 01:00:00, 2617.6907003533415
2100-Jan-04 02:00:00, 2617.719784288357
2100-Jan-04 03:00:00, 2617.927846473764
2100-Jan-04 04:00:00, 2618.3101090830833
2100-Jan-04 05:00:00, 2618.8515074503803
2100-Jan-04 06:00:00, 2619.5243259924168
2100-Jan-04 07:00:00, 2620.2922245720151
2100-Jan-04 08:00:00, 2621.1131207078997
2100-Jan-04 09:00:00, 2621.9416247052354
2100-Jan-04 10:00:00, 2622.7306544136363
2100-Jan-04 11:00:00, 2623.4365921838307
2100-Jan-04 12:00:00, 2624.0218266063207
2100-Jan-04 13:00:00, 2624.4557776205916
2100-Jan-04 14:00:00, 2624.7188712423349
2100-Jan-04 15:00:00, 2624.8036650482795
2100-Jan-04 16:00:00, 2624.7145026390549
2100-Jan-04 17:00:00, 2624.4660989881304
2100-Jan-04 18:00:00, 2624.0858962504926
2100-Jan-04 19:00:00, 2623.6100277478427
2100-Jan-04 20:00:00, 2623.080425037615
2100-Jan-04 21:00:00, 2622.5423722495284
2100-Jan-04 22:00:00, 2622.042881357389
2100-Jan-04 23:00:00, 2621.6255252277456
2100-Jan-05 00:00:00, 2621.3278869075762
2100-Jan-05 01:00:00, 2621.180527445732
2100-Jan-05 02:00:00, 2621.2030054056527
2100-Jan-05 03:00:00, 2621.4027487070834
2100-Jan-05 04:00:00, 2621.7754000445202
2100-Jan-05 05:00:00, 2622.3062330905086
2100-Jan-05 06:00:00, 2622.9677986898641
2100-Jan-05 07:00:00, 2623.7239639024401
2100-Jan-05 08:00:00, 2624.5328062408144
2100-Jan-05 09:00:00, 2625.3490590476054
2100-Jan-05 10:00:00, 2626.1257345600679
2100-Jan-05 11:00:00, 2626.8192873262333
2100-Jan-05 12:00:00, 2627.3921610005746
2100-Jan-05 13:00:00, 2627.8138173516536
2100-Jan-05 14:00:00, 2628.0647139085977
2100-Jan-05 15:00:00, 2628.1374317318396
2100-Jan-05 16:00:00, 2628.0363316452381
2100-Jan-05 17:00:00, 2627.7761409644677
2100-Jan-05 18:00:00, 2627.3843103031013
2100-Jan-05 19:00:00, 2626.8969784543606
2100-Jan-05 20:00:00, 2626.3560801334634
2100-Jan-05 21:00:00, 2625.8069008414395
2100-Jan-05 22:00:00, 2625.2964525437483
2100-Jan-05 23:00:00, 2624.8683071062683
2100-Jan-06 00:00:00, 2624.560045845501
2100-Jan-06 01:00:00, 2624.4022275411312
2100-Jan-06 02:00:00, 2624.4144081551558
2100-Jan-06 03:00:00, 2624.6082083047418
2100-Jan-06 04:00:00, 2624.9812477866021
2100-Jan-06 05:00:00, 2625.5152906103226
2100-Jan-06 06:00:00, 2626.1846687198617
2100-Jan-06 07:00:00, 2626.953543256825
2100-Jan-06 08:00:00, 2627.7757828638605
2100-Jan-06 09:00:00, 2628.6036493072515
2100-Jan-06 10:00:00, 2629.3887063669977
2100-Jan-06 11:00:00, 2630.0870335113445
