Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 4246.8356361089182
2100-Jan-01 01:00:00, 4246.5741840258315
2100-Jan-01 02:00:00, 4246.630994751773
2100-Jan-01 03:00:00, 4247.0147110083008
2100-Jan-01 04:00:00, 4247.707966217602
2100-Jan-01 05:00:00, 4248.6648783820292
2100-Jan-01 06:00:00, 4249.8290638322724
2100-Jan-01 07:00:00, 4251.1278988338581
2100-Jan-01 08:00:00, 4252.4725100015676
2100-Jan-01 09:00:00, 4253.7754056001395
2100-Jan-01 10:00:00, 4254.9513402127413
2100-Jan-01 11:00:00, 4255.9269699636316
2100-Jan-01 12:00:00, 4256.6438651732979
2100-Jan-01 13:00:00, 4257.0586515397299
2100-Jan-01 14:00:00, 4257.1496282968792
2100-Jan-01 15:00:00, 4256.9176521262998
2100-Jan-01 16:00:00, 4256.384362303902
2100-Jan-01 17:00:00, 4255.5886298357791
2100-Jan-01 18:00:00, 4254.5909087725522
2100-Jan-01 19:00:00, 4253.4645438405005
2100-Jan-01 20:00:00, 4252.2900334112855
2100-Jan-01 21:00:00, 4251.1505274210522
2100-Jan-01 22:00:00, 4250.1291336695822
2100-Jan-01 23:00:00, 4249.2991711634322
2100-Jan-02 00:00:00, 4248.7201657510495
2100-Jan-02 01:00:00, 4248.4369093043724
2100-Jan-02 02:00:00, 4248.4808291329091
2100-Jan-02 03:00:00, 4248.8555791670169
2100-Jan-02 04:00:00, 4249.5411000956028
2100-Jan-02 05:00:00, 4250.4977549451633
2100-Jan-02 06:00:00, 4251.663236420206
2100-Jan-02 07:00:00, 4252.9621597489177
2100-Jan-02 08:00:00, 4254.3122164190154
2100-Jan-02 09:00:00, 4255.6288014938209
2100-Jan-02 10:00:00, 4256.8276991716657
2100-Jan-02 11:00:00, 4257.8347746323652
2100-Jan-02 12:00:00, 4258.5815282267322
2100-Jan-02 13:00:00, 4259.0277511395998
2100-Jan-02 14:00:00, 4259.144425487113
2100-Jan-02 15:00:00, 4258.9298469766291
2100-Jan-02 16:00:00, 4258.4048766711412
2100-Jan-02 17:00:00, 4257.6175297569498
2100-Jan-02 18:00:00, 4256.6247609705442
2100-Jan-02 19:00:00, 4255.4988316951139
2100-Jan-02 20:00:00, 4254.3195277130526
2100-Jan-02 21:00:00, 4253.178618254954
2100-Jan-02 22:00:00, 4252.1550443297238
2100-Jan-02 23:00:00, 4251.3288107501694
2100-Jan-03 00:00:00, 4250.7616141566377
2100-Jan-03 01:00:00, 4250.4987825997696
2100-Jan-03 02:00:00, 4250.5624486388369
2100-Jan-03 03:00:00, 4250.9512854784407
2100-Jan-03 04:00:00, 4251.6428702442099
2100-Jan-03 05:00:00, 4252.5975489293405
2100-Jan-03 06:00:00, 4253.7542070832869
2100-Jan-03 07:00:00, 4255.0389874820257
2100-Jan-03 08:00:00, 4256.3710133086997
2100-Jan-03 09:00:00, 4257.6668651343207
2100-Jan-03 10:00:00, 4258.8432496726173
2100-Jan-03 11:00:00, 4259.8267253590784
2100-Jan-03 12:00:00, 4260.5576900896322
