Timestamp, Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Wall Average Temperature [K], Wall Average Effective Temperature [C], Wall Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Foundation Average Temperature [K], Foundation Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, -15.925198532318342, 292.62719897073413, -6305.5235895506912, -2.1648707568536598, 290.5862995407781, 17.76955843304529, -172.30985426680871, -13.622060588015142, 292.28560297139904, -6477.8334438174998
2015-Jan-01 01:00:00, 0.41501898539097504, 293.10212746015333, 164.32523570638492, -0.34272812622108517, 293.25431704037709, 20.15707640041353, -27.278964942979098, 0.28819089281808913, 293.12760022524003, 137.04627076340583
2015-Jan-01 02:00:00, -4.1717068519015621, 293.06185696684366, -1651.7719330137718, -1.0637079246606107, 292.55492104440168, 19.56866759765245, -84.664341693590146, -3.6515048351337929, 292.97700845325022, -1736.4362747073619
2015-Jan-01 03:00:00, -5.4219984436980893, 293.00487466220608, -2146.8202747905316, -1.124682462969931, 292.31357186521649, 19.336704801940357, -89.517524626937501, -4.7027342186464933, 292.88916770167941, -2236.3377994174689
2015-Jan-01 04:00:00, -6.4023249979875629, 292.93027741647171, -2534.9769562278552, -1.185395861954808, 292.09924602560955, 19.131725146177132, -94.349922541689281, -5.5291403150353293, 292.79118335124059, -2629.3268787695447
2015-Jan-01 05:00:00, -6.9405920187005474, 292.85775035076688, -2748.1017966934264, -1.2083997585093731, 291.94878343251708, 18.984803758978558, -96.180885452679263, -5.9811650549019628, 292.70561180917849, -2844.2826821461058
2015-Jan-01 06:00:00, -0.62407230283127979, 293.05929663043662, -247.09912527005696, -0.39280924873632805, 293.0181725923677, 19.928641410051966, -31.265101711097962, -0.58536459733961022, 293.05241348535134, -278.3642269811549
2015-Jan-01 07:00:00, 1.7659626268632471, 293.22547080601208, 699.22638511245384, -0.077240288473320706, 293.58655293758738, 20.44844326078271, -6.1478325245186127, 1.4574561259547996, 293.28590700868187, 693.07855258793518
2015-Jan-01 08:00:00, 2.3452544846484251, 293.34007056359661, 928.5948584213595, 0.029270894147423347, 293.78745802257737, 20.632952078872279, 2.329775802474217, 1.9576162123118279, 293.41495213977691, 930.92463422383378
2015-Jan-01 09:00:00, 2.5980517726381289, 293.42935624480845, 1028.6890116941518, 0.11539674666799052, 293.905805328204, 20.738041222959396, 9.1848423460271267, 2.1825168314485626, 293.50910201688612, 1037.8738540401789
2015-Jan-01 10:00:00, 2.669267411395102, 293.50096139043433, 1056.8865810503964, 0.1729438451954253, 293.97912841801769, 20.802505547302815, 13.765223012793307, 2.251444695222296, 293.58099470380535, 1070.6518040631897
2015-Jan-01 11:00:00, 2.7676351267237016, 293.56457944054546, 1095.8349149249127, 0.22448624595440841, 294.05074234161032, 20.866185064960405, 17.867668175039167, 2.3419750130339909, 293.64595106503185, 1113.7025830999519
2015-Jan-01 12:00:00, 2.6683548514871704, 293.61484241851321, 1056.5252563225029, 0.23476530600095871, 294.08057839104652, 20.894438762122718, 18.685815555437536, 2.2610322560863061, 293.69279508126016, 1075.2110718779404
2015-Jan-01 13:00:00, 2.5115520925295378, 293.65523185664517, 994.43978256796959, 0.22881531664356014, 294.09302800104433, 20.907804309876212, 18.212234490232305, 2.1294785132377969, 293.72850808439847, 1012.6520170582019
2015-Jan-01 14:00:00, 2.3532118373896798, 293.68883828077668, 931.7455428739604, 0.21971098996307217, 294.09895445042127, 20.915132273784536, 17.487588365956377, 1.9961166550588711, 293.75748156655396, 949.23313123991682
