Timestamp, Slab Core Average Heat Flux [W/m2], Slab Core Average Temperature [K], Slab Core Average Effective Temperature [C], Slab Core Total Heat Transfer Rate [W], Slab Perimeter Average Heat Flux [W/m2], Slab Perimeter Average Temperature [K], Slab Perimeter Average Effective Temperature [C], Slab Perimeter Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 1.8499741306608553, 295.01379093407991, 21.673935003094954, 681.06549768201307, 18.373896279548902, 292.15409872193823, 17.118454416885545, 510.75112734091715, 3.0100460490006995, 294.81302451794039, 1191.8166250229301
2015-Jan-01 01:00:00, 1.8503877634219184, 295.0137135530037, 21.673815172434345, 681.21777602883003, 18.310213281011709, 292.1647359915292, 17.135627234609256, 508.98088967327971, 3.0059597391113866, 294.81369936537516, 1190.1986657021098
2015-Jan-01 02:00:00, 1.8507650414800836, 295.01364313638135, 21.673706037174906, 681.35667044048159, 18.256765742861557, 292.17364886586927, 17.150025230036213, 507.4951737451795, 3.0025582134914384, 294.81425962611172, 1188.8518441856611
2015-Jan-01 03:00:00, 1.8511073045773878, 295.0135794262161, 21.673607201827185, 681.4826741412038, 18.21378921471754, 292.18079948382507, 17.161586368456085, 506.30052728235017, 2.9998592547285399, 294.81470240220244, 1187.7832014235539
2015-Jan-01 04:00:00, 1.8514169175999187, 295.01352196800582, 21.673517969189554, 681.59665776064151, 18.181106179773984, 292.18621930735554, 17.170360329714086, 505.39201573486071, 2.9978525990061407, 294.8150294798595, 1186.9886734955021
2015-Jan-01 05:00:00, 1.8516970931047314, 295.01347014482712, 21.673437392645877, 681.69980399737051, 18.158251611251892, 292.18998796991337, 17.176474471223301, 504.75671245133555, 2.9965085858563607, 294.81524587618571, 1186.456516448706
2015-Jan-01 06:00:00, 1.8519516918669039, 295.01342321562169, 21.673364334921043, 681.79353419056315, 18.144568432714074, 292.19221721327068, 17.180107968054813, 504.37635225132851, 2.9957846745587489, 294.81535874704758, 1186.1698864418918
2015-Jan-01 07:00:00, 1.8521850210280526, 295.01338035392922, 21.673297527528781, 681.87943400863503, 18.139305559980709, 292.19303437868967, 17.181465242433074, 504.2300567601207, 2.9956321395516987, 294.81537626407709, 1186.1094907687557
2015-Jan-01 08:00:00, 1.8524016438590378, 295.01334068437927, 21.67323562678731, 681.95918341363972, 18.141635087388206, 292.19257956326175, 17.180771356313638, 504.29481214631903, 2.9959971001225538, 294.81530744896043, 1186.2539955599586
2015-Jan-01 09:00:00, 1.852606207820289, 295.01330331566379, 21.673177264437005, 682.03449336190772, 18.150582064471365, 292.19101752760588, 17.17829112583793, 504.54351707868568, 2.9968154304686783, 294.81516304008301, 1186.5780104405935
2015-Jan-01 10:00:00, 1.8528032909192738, 295.01326736999113, 21.673121092862466, 682.10704924075503, 18.164959158133925, 292.18854873010861, 17.174346860950632, 504.94316648806068, 2.9980080297597835, 294.81495629458101, 1187.0502157288156
