Timestamp, Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Wall Average Temperature [K], Wall Average Effective Temperature [C], Wall Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Foundation Average Temperature [K], Foundation Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 1.6888312519191144, 295.04574274610786, 675.53250076764573, 7.018302347727329, 294.20526428242971, 19.974871072537155, 1369.9726182763745, 3.4366685467809481, 294.77010195963277, 2045.5051190440204
2015-Jan-01 01:00:00, 1.6890442554664302, 295.04570238278683, 675.61770218657205, 7.0307171938166322, 294.20330369614084, 19.970999352365425, 1372.3959962330066, 3.4408832298716039, 294.76943184576851, 2048.0136984195788
2015-Jan-01 02:00:00, 1.6892571709186399, 295.04566203640098, 675.70286836745595, 7.0487354253885606, 294.20045932980628, 19.965381270382863, 1375.913155035847, 3.4469355231910335, 294.76847190144247, 2051.6160234033032
2015-Jan-01 03:00:00, 1.6894699944789848, 295.04562170767292, 675.78799779159397, 7.0709272619075296, 294.19695701457158, 19.958462757284053, 1380.2450015243496, 3.4543565176679154, 294.76729619004288, 2056.0329993159435
2015-Jan-01 04:00:00, 1.6896827224029516, 295.0455813973154, 675.87308896118066, 7.0956568669991356, 294.19305515625769, 19.950754038549974, 1385.0722204382312, 3.4626097268135272, 294.76598945804375, 2060.9453093994116
2015-Jan-01 05:00:00, 1.68989535104765, 295.04554110602157, 675.95814041905999, 7.1215046154824604, 294.18897805493987, 19.942697950495926, 1390.1177009421763, 3.4712295721794959, 294.76462526668831, 2066.0758413612361
2015-Jan-01 06:00:00, 1.6901078769245437, 295.0455008344552, 676.04315076981743, 7.147617081143177, 294.18486056902742, 19.934560727445387, 1395.2148542391481, 3.4799361643295788, 294.76324784418046, 2071.2580050089655
2015-Jan-01 07:00:00, 1.6903202967543967, 295.04546058324001, 676.12811870175869, 7.1734096470235613, 294.18079507188736, 19.926524738345563, 1400.249563098999, 3.4885377718426707, 294.7618874854308, 2076.3776818007577
2015-Jan-01 08:00:00, 1.6905326075247544, 295.04542035294884, 676.21304300990175, 7.1934334778953817, 294.17764250566228, 19.920289715731769, 1404.1582148851785, 3.4952474090979169, 294.7608265428172, 2080.3712578950804
2015-Jan-01 09:00:00, 1.6907448065449733, 295.04538014409326, 676.29792261798934, 7.2016240602234474, 294.17636028535867, 19.917746642148529, 1405.7570165556169, 3.4980761746868381, 294.76037900762651, 2082.0549391736063
2015-Jan-01 10:00:00, 1.6909568915036914, 295.04533995711228, 676.38275660147656, 7.1972340930999348, 294.17706457778883, 19.919126723457111, 1404.9000949731071, 3.4967789845003083, 294.76058297787176, 2081.2828515745837
2015-Jan-01 11:00:00, 1.6911688605184785, 295.04529979236338, 676.46754420739137, 7.1825588555517328, 294.1793909612731, 19.923712204115475, 1402.0354886036982, 3.4921085900723949, 294.7613189391563, 2078.5030328110897
2015-Jan-01 12:00:00, 1.6913807121840181, 295.04525965011288, 676.55228487360728, 7.1626461597504703, 294.18254131733011, 19.929927908495813, 1398.1485303832917, 3.4857204557407568, 294.76232514312494, 2074.7008152568987
2015-Jan-01 13:00:00, 1.6915924456074731, 295.04521953052955, 676.63697824298924, 7.1412931737078917, 294.18591627035204, 19.936589927247951, 1393.9804275077804, 3.4788598886941693, 294.76340502047128, 2070.6174057507696
