Timestamp, Slab Core Average Heat Flux [W/m2], Slab Core Average Temperature [K], Slab Core Average Effective Temperature [C], Slab Core Total Heat Transfer Rate [W], Slab Perimeter Average Heat Flux [W/m2], Slab Perimeter Average Temperature [K], Slab Perimeter Average Effective Temperature [C], Slab Perimeter Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 0.0055120413850899006, 0.80125290646494685, 0.058731484819342511, 747.06584193724098, inf, inf, inf, 0, 0.029166947517545349, 1.5992864702392966, 747.06584193724098
2015-Jan-01 01:00:00, 0.0055120989657693464, 0.80125290055653486, 0.058731473001640624, 747.07364604388033, inf, inf, inf, 0, 0.029160141297742963, 1.5992876326451502, 747.07364604388033
2015-Jan-01 02:00:00, 0.005512231635155608, 0.80125288027658315, 0.058731439106325688, 747.0916271800553, inf, inf, inf, 0, 0.029170108649333053, 1.5992858894576267, 747.0916271800553
2015-Jan-01 03:00:00, 0.0055124623767594536, 0.80125284124494167, 0.058731376394535739, 747.12290037967477, inf, inf, inf, 0, 0.029193997109504512, 1.5992817348656498, 747.12290037967477
2015-Jan-01 04:00:00, 0.0055128061016665279, 0.80125278062199679, 0.058731280496388275, 747.16948659323134, inf, inf, inf, 0, 0.029229250583632967, 1.5992756118152653, 747.16948659323134
2015-Jan-01 05:00:00, 0.0055132711402057734, 0.80125269682370559, 0.05873114897292981, 747.23251485872913, inf, inf, inf, 0, 0.029273649934161879, 1.5992679049213763, 747.23251485872913
2015-Jan-01 06:00:00, 0.0055138607249658779, 0.80125258923840292, 0.058730980880746797, 747.31242329998145, inf, inf, inf, 0, 0.029325190770919773, 1.5992589616366373, 747.31242329998145
2015-Jan-01 07:00:00, 0.005514574488234723, 0.80125245794095101, 0.058730776332438173, 747.40916207970577, inf, inf, inf, 0, 0.029382403452201916, 1.5992490366511507, 747.40916207970577
2015-Jan-01 08:00:00, 0.0055154093882646372, 0.80125230351596155, 0.058730536224778973, 747.52231893942542, inf, inf, inf, 0, 0.029443521033724104, 1.5992384363342624, 747.52231893942542
2015-Jan-01 09:00:00, 0.0055163595322439444, 0.80125212709159288, 0.058730262290684683, 747.65109520619706, inf, inf, inf, 0, 0.029505816971855718, 1.599227633481751, 747.65109520619706
2015-Jan-01 10:00:00, 0.0055174153605998602, 0.80125193049519117, 0.058729957338564891, 747.79419523838965, inf, inf, inf, 0, 0.029565982430199807, 1.599217201574874, 747.79419523838965
2015-Jan-01 11:00:00, 0.0055185629882436313, 0.80125171637892845, 0.058729625445566244, 747.94973714238256, inf, inf, inf, 0, 0.029620649952733794, 1.599207723863995, 747.94973714238256
2015-Jan-01 12:00:00, 0.005519784637432937, 0.80125148813709535, 0.058729271830442444, 748.1153114398885, inf, inf, inf, 0, 0.02966752504017842, 1.5991995971680479, 748.1153114398885
2015-Jan-01 13:00:00, 0.0055210601428110143, 0.8012512496188231, 0.058728902411820383, 748.2881850510604, inf, inf, inf, 0, 0.029705494928948917, 1.5991930133817041, 748.2881850510604
2015-Jan-01 14:00:00, 0.0055223695423449745, 0.80125100463366994, 0.058728523047886831, 748.4656524532312, inf, inf, inf, 0, 0.029735359703927943, 1.5991878328997589, 748.4656524532312
2015-Jan-01 15:00:00, 0.0055236961784993228, 0.80125075635996168, 0.058728138626468203, 748.64545599358075, inf, inf, inf, 0, 0.029759556301338471, 1.5991836327927067, 748.64545599358075
2015-Jan-01 16:00:00, 0.0055250294001977195, 0.80125050682944143, 0.058727752272387648, 748.82615209526386, inf, inf, inf, 0, 0.029781510550373678, 1.5991798192438722, 748.82615209526386
2015-Jan-01 17:00:00, 0.0055263661261564824, 0.80125025662928229, 0.058727364889039242, 749.00732314135303, inf, inf, inf, 0, 0.029804872680996287, 1.5991757600094223, 749.00732314135303
2015-Jan-01 18:00:00, 0.0055277105364585372, 0.80125000496129006, 0.058726975249242246, 749.18953567279914, inf, inf, inf, 0, 0.029832199869816087, 1.5991710126913516, 749.18953567279914
2015-Jan-01 19:00:00, 0.005529071873514195, 0.80124975006178989, 0.058726580640807838, 749.3740423451178, inf, inf, inf, 0, 0.029864331103131882, 1.5991654327931364, 749.3740423451178
2015-Jan-01 20:00:00, 0.0055304615520146176, 0.80124948975321408, 0.058726177714721321, 749.56239023048545, inf, inf, inf, 0, 0.029901062441073035, 1.5991590563284184, 749.56239023048545
2015-Jan-01 21:00:00, 0.0055318904751636509, 0.8012492219561701, 0.05872576327263495, 749.75605707745126, inf, inf, inf, 0, 0.029941352221737279, 1.5991520642258321, 749.75605707745126
2015-Jan-01 22:00:00, 0.0055333670251043517, 0.80124894507274591, 0.058725334856408906, 749.95617894656425, inf, inf, inf, 0, 0.029983684705945379, 1.5991447192703976, 749.95617894656425
2015-Jan-01 23:00:00, 0.0055348962756794117, 0.80124865813651946, 0.058724890978911329, 750.16344351309681, inf, inf, inf, 0, 0.030026959845087697, 1.5991372118860381, 750.16344351309681
2015-Jan-02 00:00:00, 0.0055364801736697434, 0.80124836077778072, 0.058724431070641375, 750.3781146309318, inf, inf, inf, 0, 0.030070320035686559, 1.5991296904040941, 750.3781146309318
2015-Jan-02 01:00:00, 0.0055381181445178125, 0.80124805310781055, 0.058723955301844898, 750.60011442831922, inf, inf, inf, 0, 0.030113074480259263, 1.5991222742399809, 750.60011442831922
2015-Jan-02 02:00:00, 0.0055398078247301504, 0.80124773557904594, 0.058723464367514973, 750.82912257289695, inf, inf, inf, 0, 0.030154777787004271, 1.5991150402879453, 750.82912257289695
2015-Jan-02 03:00:00, 0.0055415455781056425, 0.80124740888653856, 0.058722959335873307, 751.06464623787758, inf, inf, inf, 0, 0.03019487144337496, 1.599108085104018, 751.06464623787758
2015-Jan-02 04:00:00, 0.0055433267887780094, 0.80124707391202787, 0.058722441562368242, 751.3060598190998, inf, inf, inf, 0, 0.030232781757717733, 1.5991015078640214, 751.3060598190998
2015-Jan-02 05:00:00, 0.0055451461759047325, 0.80124673166389182, 0.058721912597331248, 751.55264758589556, inf, inf, inf, 0, 0.030268169399011648, 1.5990953671131136, 751.55264758589556
2015-Jan-02 06:00:00, 0.005546998290505061, 0.80124638318235708, 0.058721374040197033, 751.80367101924662, inf, inf, inf, 0, 0.030301044850398504, 1.5990896608217133, 751.80367101924662
2015-Jan-02 07:00:00, 0.0055488780482212023, 0.80124602943787204, 0.05872082738320298, 752.05844101873276, inf, inf, inf, 0, 0.030331621959140118, 1.5990843518224596, 752.05844101873276
2015-Jan-02 08:00:00, 0.005550780477522224, 0.80124567137919345, 0.058720274085315348, 752.31628377574441, inf, inf, inf, 0, 0.030359257676679526, 1.5990795515207403, 752.31628377574441
2015-Jan-02 09:00:00, 0.0055526994056887616, 0.80124531018411327, 0.058719715957809171, 752.57636268049089, inf, inf, inf, 0, 0.030382064110771771, 1.5990755868607389, 752.57636268049089
2015-Jan-02 10:00:00, 0.005554625853381609, 0.80124494756571063, 0.058719155635279539, 752.83746073238478, inf, inf, inf, 0, 0.030397530157101126, 1.5990728924278195, 752.83746073238478
2015-Jan-02 11:00:00, 0.0055565458680192203, 0.80124458618559735, 0.058718597211240009, 753.09768689027601, inf, inf, inf, 0, 0.030401447808025919, 1.5990721965513832, 753.09768689027601
2015-Jan-02 12:00:00, 0.0055584384291194793, 0.80124423005333945, 0.058718046852509635, 753.35419217624985, inf, inf, inf, 0, 0.03038868140097328, 1.5990743879072453, 753.35419217624985
