Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2574.5475342023533
2100-Jan-01 01:00:00, 2574.4901198796993
2100-Jan-01 02:00:00, 2574.521477853752
2100-Jan-01 03:00:00, 2574.6513152415041
2100-Jan-01 04:00:00, 2574.8820323787872
2100-Jan-01 05:00:00, 2575.2073880277012
2100-Jan-01 06:00:00, 2575.6162255595982
2100-Jan-01 07:00:00, 2576.0913578015725
2100-Jan-01 08:00:00, 2576.609345656007
2100-Jan-01 09:00:00, 2577.1446073963211
2100-Jan-01 10:00:00, 2577.6702438818811
2100-Jan-01 11:00:00, 2578.1607247236425
2100-Jan-01 12:00:00, 2578.5933073086157
2100-Jan-01 13:00:00, 2578.9486688975066
2100-Jan-01 14:00:00, 2579.2129684717215
2100-Jan-01 15:00:00, 2579.3787244333903
2100-Jan-01 16:00:00, 2579.4449190213495
2100-Jan-01 17:00:00, 2579.4165047469519
2100-Jan-01 18:00:00, 2579.3056373746504
2100-Jan-01 19:00:00, 2579.1299494639807
2100-Jan-01 20:00:00, 2578.9110788309545
2100-Jan-01 21:00:00, 2578.6733695584867
2100-Jan-01 22:00:00, 2578.4429281467355
2100-Jan-01 23:00:00, 2578.2449746485495
2100-Jan-02 00:00:00, 2578.1022620056424
2100-Jan-02 01:00:00, 2578.0342766270287
2100-Jan-02 02:00:00, 2578.0570993020547
2100-Jan-02 03:00:00, 2578.1796153170853
2100-Jan-02 04:00:00, 2578.4035962644684
2100-Jan-02 05:00:00, 2578.7242574966631
2100-Jan-02 06:00:00, 2579.1292682168128
2100-Jan-02 07:00:00, 2579.6006732076276
2100-Jan-02 08:00:00, 2580.1164767736682
2100-Jan-02 09:00:00, 2580.6519895776278
2100-Jan-02 10:00:00, 2581.1807870670323
2100-Jan-02 11:00:00, 2581.6773576130063
2100-Jan-02 12:00:00, 2582.1166622334913
2100-Jan-02 13:00:00, 2582.4798261175592
2100-Jan-02 14:00:00, 2582.7512103112799
2100-Jan-02 15:00:00, 2582.9223530923277
2100-Jan-02 16:00:00, 2582.991720020977
2100-Jan-02 17:00:00, 2582.9662032203391
2100-Jan-02 18:00:00, 2582.8572820695067
2100-Jan-02 19:00:00, 2582.6822318001969
2100-Jan-02 20:00:00, 2582.4624241779047
2100-Jan-02 21:00:00, 2582.2241806120951
2100-Jan-02 22:00:00, 2581.9928816887955
2100-Jan-02 23:00:00, 2581.7953295344132
2100-Jan-03 00:00:00, 2581.655097734937
2100-Jan-03 01:00:00, 2581.5920709468619
2100-Jan-03 02:00:00, 2581.6203130138542
2100-Jan-03 03:00:00, 2581.7472897296466
2100-Jan-03 04:00:00, 2581.9738988808836
2100-Jan-03 05:00:00, 2582.2950479819169
2100-Jan-03 06:00:00, 2582.6984694816256
2100-Jan-03 07:00:00, 2583.1664465899216
2100-Jan-03 08:00:00, 2583.6772750559871
2100-Jan-03 09:00:00, 2584.2065494895223
2100-Jan-03 10:00:00, 2584.728096920257
2100-Jan-03 11:00:00, 2585.2166182648307
2100-Jan-03 12:00:00, 2585.649272199792
2100-Jan-03 13:00:00, 2586.0064845133465
2100-Jan-03 14:00:00, 2586.2741186195663
2100-Jan-03 15:00:00, 2586.4423785961026
2100-Jan-03 16:00:00, 2586.5088152741578
2100-Jan-03 17:00:00, 2586.4796699572466
2100-Jan-03 18:00:00, 2586.3661218716379
2100-Jan-03 19:00:00, 2586.1854054908795
2100-Jan-03 20:00:00, 2585.9610159743738
2100-Jan-03 21:00:00, 2585.7185704186472
2100-Jan-03 22:00:00, 2585.4849803107104
2100-Jan-03 23:00:00, 2585.2857598262685
2100-Jan-04 00:00:00, 2585.1436146876126
2100-Jan-04 01:00:00, 2585.0778201864364
2100-Jan-04 02:00:00, 2585.1021735433337
2100-Jan-04 03:00:00, 2585.2241260390524
2100-Jan-04 04:00:00, 2585.4446894909961
2100-Jan-04 05:00:00, 2585.758931498171
2100-Jan-04 06:00:00, 2586.1547473037417
2100-Jan-04 07:00:00, 2586.6145669657785
2100-Jan-04 08:00:00, 2587.1168114189595
2100-Jan-04 09:00:00, 2587.637178534113
2100-Jan-04 10:00:00, 2588.1495794804769
2100-Jan-04 11:00:00, 2588.6287827118308
2100-Jan-04 12:00:00, 2589.0520014144472
2100-Jan-04 13:00:00, 2589.3997047173398
2100-Jan-04 14:00:00, 2589.6577916627766
2100-Jan-04 15:00:00, 2589.8185243555299
2100-Jan-04 16:00:00, 2589.8806575166022
2100-Jan-04 17:00:00, 2589.8489507312083
2100-Jan-04 18:00:00, 2589.7354013759814
2100-Jan-04 19:00:00, 2589.5575136113002
2100-Jan-04 20:00:00, 2589.3368221371111
2100-Jan-04 21:00:00, 2589.0975888769835
2100-Jan-04 22:00:00, 2588.8658550697096
2100-Jan-04 23:00:00, 2588.6667888091247
2100-Jan-05 00:00:00, 2588.523101402001
2100-Jan-05 01:00:00, 2588.4542463650423
2100-Jan-05 02:00:00, 2588.474256083261
2100-Jan-05 03:00:00, 2588.5908165725386
2100-Jan-05 04:00:00, 2588.8051497558567
2100-Jan-05 05:00:00, 2589.1125008856652
2100-Jan-05 06:00:00, 2589.5009119623187
2100-Jan-05 07:00:00, 2589.9529318445752
2100-Jan-05 08:00:00, 2590.447077347093
2100-Jan-05 09:00:00, 2590.9591229850716
2100-Jan-05 10:00:00, 2591.463040840596
2100-Jan-05 11:00:00, 2591.9336484928726
2100-Jan-05 12:00:00, 2592.3481982129811
2100-Jan-05 13:00:00, 2592.6871900710512
2100-Jan-05 14:00:00, 2592.9365479979574
2100-Jan-05 15:00:00, 2593.0885546231457
2100-Jan-05 16:00:00, 2593.1419813358243
2100-Jan-05 17:00:00, 2593.1016016495537
2100-Jan-05 18:00:00, 2592.9794242427806
2100-Jan-05 19:00:00, 2592.7929627794397
2100-Jan-05 20:00:00, 2592.5637596169581
2100-Jan-05 21:00:00, 2592.3160828979967
2100-Jan-05 22:00:00, 2592.075978847362
2100-Jan-05 23:00:00, 2591.8686193602416
2100-Jan-06 00:00:00, 2591.7167190342188
2100-Jan-06 01:00:00, 2591.6397331015951
2100-Jan-06 02:00:00, 2591.6516954812396
2100-Jan-06 03:00:00, 2591.7623140424976
2100-Jan-06 04:00:00, 2591.9739880908032
2100-Jan-06 05:00:00, 2592.2804733105741
2100-Jan-06 06:00:00, 2592.6706087029197
2100-Jan-06 07:00:00, 2593.1272015977656
2100-Jan-06 08:00:00, 2593.6268062101635
2100-Jan-06 09:00:00, 2594.143833618004
2100-Jan-06 10:00:00, 2594.6513774122773
2100-Jan-06 11:00:00, 2595.1239001721492
2100-Jan-06 12:00:00, 2595.5386528633271
2100-Jan-06 13:00:00, 2595.876307083794
2100-Jan-06 14:00:00, 2596.123017286935
2100-Jan-06 15:00:00, 2596.271298480211
2100-Jan-06 16:00:00, 2596.3201307688105
2100-Jan-06 17:00:00, 2596.2744658964525
2100-Jan-06 18:00:00, 2596.1464598915313
2100-Jan-06 19:00:00, 2595.9537469327606
2100-Jan-06 20:00:00, 2595.7179666954958
2100-Jan-06 21:00:00, 2595.4634661006075
2100-Jan-06 22:00:00, 2595.2163544430532
2100-Jan-06 23:00:00, 2595.0018543564756
2100-Jan-07 00:00:00, 2594.8427212156303
2100-Jan-07 01:00:00, 2594.7584429136868
2100-Jan-07 02:00:00, 2594.7651009438
2100-Jan-07 03:00:00, 2594.8715799971142
2100-Jan-07 04:00:00, 2595.0796500520205
2100-Jan-07 05:00:00, 2595.3825018356993
2100-Jan-07 06:00:00, 2595.7686436370691
2100-Jan-07 07:00:00, 2596.2207608949757
2100-Jan-07 08:00:00, 2596.7174302001067
2100-Jan-07 09:00:00, 2597.2322731689246
2100-Jan-07 10:00:00, 2597.7398334495915
2100-Jan-07 11:00:00, 2598.2132205738517
2100-Jan-07 12:00:00, 2598.628760272677
2100-Jan-07 13:00:00, 2598.9664677893747
2100-Jan-07 14:00:00, 2599.2121929858722
2100-Jan-07 15:00:00, 2599.3584073363177
2100-Jan-07 16:00:00, 2599.4041831302097
2100-Jan-07 17:00:00, 2599.3546154714118
2100-Jan-07 18:00:00, 2599.2220110983999
2100-Jan-07 19:00:00, 2599.0241418594333
2100-Jan-07 20:00:00, 2598.7827658892029
2100-Jan-07 21:00:00, 2598.5223283591404
2100-Jan-07 22:00:00, 2598.2690192918972
2100-Jan-07 23:00:00, 2598.0481261289588
2100-Jan-08 00:00:00, 2597.8844799920894
2100-Jan-08 01:00:00, 2597.7967650883984
2100-Jan-08 02:00:00, 2597.8004502205936
2100-Jan-08 03:00:00, 2597.9038686702283
2100-Jan-08 04:00:00, 2598.1084703299666
2100-Jan-08 05:00:00, 2598.4093542398718
2100-Jan-08 06:00:00, 2598.7941915541719
2100-Jan-08 07:00:00, 2599.2450816000114
2100-Jan-08 08:00:00, 2599.7400991926315
2100-Jan-08 09:00:00, 2600.2546237384536
2100-Jan-08 10:00:00, 2600.7622904307555
2100-Jan-08 11:00:00, 2601.2376374973087
2100-Jan-08 12:00:00, 2601.6556658967088
2100-Jan-08 13:00:00, 2601.9975338581839
2100-Jan-08 14:00:00, 2602.2476282232478
2100-Jan-08 15:00:00, 2602.3975094683415
2100-Jan-08 16:00:00, 2602.4456613464254
2100-Jan-08 17:00:00, 2602.3989923119734
2100-Jan-08 18:00:00, 2602.2689958335804
2100-Jan-08 19:00:00, 2602.0729596456958
2100-Jan-08 20:00:00, 2601.8322667967968
2100-Jan-08 21:00:00, 2601.5732493158075
2100-Jan-08 22:00:00, 2601.3212968667503
2100-Jan-08 23:00:00, 2601.1032198693574
2100-Jan-09 00:00:00, 2600.9425983161386
2100-Jan-09 01:00:00, 2600.8593218226506
2100-Jan-09 02:00:00, 2600.8674575083664
2100-Jan-09 03:00:00, 2600.974472260652
