Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2937.9919333222265
2100-Jan-01 01:00:00, 2937.9991046380846
2100-Jan-01 02:00:00, 2938.4732647106225
2100-Jan-01 03:00:00, 2939.40665249351
2100-Jan-01 04:00:00, 2940.7505090536392
2100-Jan-01 05:00:00, 2942.4149419498945
2100-Jan-01 06:00:00, 2944.3049164905015
2100-Jan-01 07:00:00, 2946.303894685632
2100-Jan-01 08:00:00, 2948.275173239179
2100-Jan-01 09:00:00, 2950.094986703549
2100-Jan-01 10:00:00, 2951.6477155713096
2100-Jan-01 11:00:00, 2952.842342895874
2100-Jan-01 12:00:00, 2953.613454274805
2100-Jan-01 13:00:00, 2953.91894031945
2100-Jan-01 14:00:00, 2953.7511588907673
2100-Jan-01 15:00:00, 2953.1352992950356
2100-Jan-01 16:00:00, 2952.1245681249225
2100-Jan-01 17:00:00, 2950.793238222748
2100-Jan-01 18:00:00, 2949.245663869566
2100-Jan-01 19:00:00, 2947.598242227337
2100-Jan-01 20:00:00, 2945.9713693987887
2100-Jan-01 21:00:00, 2944.483431687281
2100-Jan-01 22:00:00, 2943.248139200703
2100-Jan-01 23:00:00, 2942.3580039229128
2100-Jan-02 00:00:00, 2941.8811581304803
2100-Jan-02 01:00:00, 2941.8623744977854
2100-Jan-02 02:00:00, 2942.3272451981306
2100-Jan-02 03:00:00, 2943.255459162436
2100-Jan-02 04:00:00, 2944.5942903274836
2100-Jan-02 05:00:00, 2946.2664836021477
2100-Jan-02 06:00:00, 2948.1637508407803
2100-Jan-02 07:00:00, 2950.166149740863
2100-Jan-02 08:00:00, 2952.150524966414
2100-Jan-02 09:00:00, 2953.996501795979
2100-Jan-02 10:00:00, 2955.5890042402198
2100-Jan-02 11:00:00, 2956.834617109267
2100-Jan-02 12:00:00, 2957.648844891357
2100-Jan-02 13:00:00, 2957.9990860782323
2100-Jan-02 14:00:00, 2957.863484602708
2100-Jan-02 15:00:00, 2957.265374080392
2100-Jan-02 16:00:00, 2956.258154333528
2100-Jan-02 17:00:00, 2954.9343269908086
2100-Jan-02 18:00:00, 2953.388803629152
2100-Jan-02 19:00:00, 2951.736813559172
2100-Jan-02 20:00:00, 2950.097804541149
2100-Jan-02 21:00:00, 2948.6068304520013
2100-Jan-02 22:00:00, 2947.3667491520787
2100-Jan-02 23:00:00, 2946.483588928536
2100-Jan-03 00:00:00, 2946.0269905413647
2100-Jan-03 01:00:00, 2946.04136994419
2100-Jan-03 02:00:00, 2946.534025770684
2100-Jan-03 03:00:00, 2947.478293451416
2100-Jan-03 04:00:00, 2948.8193705481876
2100-Jan-03 05:00:00, 2950.4816555246884
2100-Jan-03 06:00:00, 2952.3598070577154
2100-Jan-03 07:00:00, 2954.336742317104
2100-Jan-03 08:00:00, 2956.291611850944
2100-Jan-03 09:00:00, 2958.1057419243607
2100-Jan-03 10:00:00, 2959.6652534740956
2100-Jan-03 11:00:00, 2960.8775453805456
2100-Jan-03 12:00:00, 2961.6744497143623
2100-Jan-03 13:00:00, 2962.0111931033093
2100-Jan-03 14:00:00, 2961.8779918899077
2100-Jan-03 15:00:00, 2961.2826764860597
2100-Jan-03 16:00:00, 2960.2740872717027
2100-Jan-03 17:00:00, 2958.942205635778
2100-Jan-03 18:00:00, 2957.382158935481
2100-Jan-03 19:00:00, 2955.710579020298
2100-Jan-03 20:00:00, 2954.064259932531
2100-Jan-03 21:00:00, 2952.5670568897954
2100-Jan-03 22:00:00, 2951.3346757026966
2100-Jan-03 23:00:00, 2950.4582163489654
2100-Jan-04 00:00:00, 2950.0031721290516
2100-Jan-04 01:00:00, 2950.0117263823427
2100-Jan-04 02:00:00, 2950.4915934051414
2100-Jan-04 03:00:00, 2951.4176508796627
2100-Jan-04 04:00:00, 2952.73675594348
2100-Jan-04 05:00:00, 2954.3746956168216
2100-Jan-04 06:00:00, 2956.2271725320584
2100-Jan-04 07:00:00, 2958.177844370666
