Timestamp, Foundation Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 692.7858243883437
2100-Jan-01 01:00:00, 692.80323817744
2100-Jan-01 02:00:00, 692.818699708853
2100-Jan-01 03:00:00, 692.8335501665517
2100-Jan-01 04:00:00, 692.8491794996258
2100-Jan-01 05:00:00, 692.8669256957032
2100-Jan-01 06:00:00, 692.8879863691437
2100-Jan-01 07:00:00, 692.913335707589
2100-Jan-01 08:00:00, 692.9436494888903
2100-Jan-01 09:00:00, 692.9792575464196
2100-Jan-01 10:00:00, 693.0201189143529
2100-Jan-01 11:00:00, 693.0658268815503
2100-Jan-01 12:00:00, 693.1156407881643
2100-Jan-01 13:00:00, 693.1685378275132
2100-Jan-01 14:00:00, 693.2232845312111
2100-Jan-01 15:00:00, 693.2785225163435
2100-Jan-01 16:00:00, 693.3328605601909
2100-Jan-01 17:00:00, 693.3849653621406
2100-Jan-01 18:00:00, 693.4336531474898
2100-Jan-01 19:00:00, 693.4779698055885
2100-Jan-01 20:00:00, 693.5172540598094
2100-Jan-01 21:00:00, 693.551180583611
2100-Jan-01 22:00:00, 693.5797831305607
2100-Jan-01 23:00:00, 693.6034509464916
2100-Jan-02 00:00:00, 693.6229007234343
2100-Jan-02 01:00:00, 693.6391294081673
2100-Jan-02 02:00:00, 693.6533551503505
2100-Jan-02 03:00:00, 693.6669359008623
2100-Jan-02 04:00:00, 693.6812773873214
2100-Jan-02 05:00:00, 693.6977385643763
2100-Jan-02 06:00:00, 693.717534306122
2100-Jan-02 07:00:00, 693.7416498064435
2100-Jan-02 08:00:00, 693.7707737893836
2100-Jan-02 09:00:00, 693.8052534153859
2100-Jan-02 10:00:00, 693.8450706547686
2100-Jan-02 11:00:00, 693.8898459438751
2100-Jan-02 12:00:00, 693.9388574088606
2100-Jan-02 13:00:00, 693.9910959061158
2100-Jan-02 14:00:00, 694.0453279743206
2100-Jan-02 15:00:00, 694.1001812434071
2100-Jan-02 16:00:00, 694.1542391375918
2100-Jan-02 17:00:00, 694.2061451900568
2100-Jan-02 18:00:00, 694.2546922546437
2100-Jan-02 19:00:00, 694.2989036173757
2100-Jan-02 20:00:00, 694.3380959175549
2100-Jan-02 21:00:00, 694.3719312394082
2100-Jan-02 22:00:00, 694.4004338407664
2100-Jan-02 23:00:00, 694.4239941866606
2100-Jan-03 00:00:00, 694.4433414507209
2100-Jan-03 01:00:00, 694.4594939087301
2100-Jan-03 02:00:00, 694.4736872608462
2100-Jan-03 03:00:00, 694.4872867557801
2100-Jan-03 04:00:00, 694.5016921561404
2100-Jan-03 05:00:00, 694.5182449997029
2100-Jan-03 06:00:00, 694.5381356924771
2100-Jan-03 07:00:00, 694.5623232505665
2100-Jan-03 08:00:00, 694.5914721902452
2100-Jan-03 09:00:00, 694.6259095423637
2100-Jan-03 10:00:00, 694.6656021055637
2100-Jan-03 11:00:00, 694.7101599690534
2100-Jan-03 12:00:00, 694.7588646608975
2100-Jan-03 13:00:00, 694.8107162472534
2100-Jan-03 14:00:00, 694.8645018826816
2100-Jan-03 15:00:00, 694.9188701848125
2100-Jan-03 16:00:00, 694.9724204228637
2100-Jan-03 17:00:00, 695.0238038542225
2100-Jan-03 18:00:00, 695.0718127483212
2100-Jan-03 19:00:00, 695.1154637978516
2100-Jan-03 20:00:00, 695.1540733845795
2100-Jan-03 21:00:00, 695.1873053939743
2100-Jan-03 22:00:00, 695.2151956285641
2100-Jan-03 23:00:00, 695.2381465523999
2100-Jan-04 00:00:00, 695.2568949180735
2100-Jan-04 01:00:00, 695.2724598350796
2100-Jan-04 02:00:00, 695.2860706015368
2100-Jan-04 03:00:00, 695.2990812393718
2100-Jan-04 04:00:00, 695.3128783909151
2100-Jan-04 05:00:00, 695.3287907989826
2100-Jan-04 06:00:00, 695.3479981317748
2100-Jan-04 07:00:00, 695.3714512252154
2100-Jan-04 08:00:00, 695.3998089994002
2100-Jan-04 09:00:00, 695.4333954379948
2100-Jan-04 10:00:00, 695.4721762523325
2100-Jan-04 11:00:00, 695.5157621108527
2100-Jan-04 12:00:00, 695.5634362896203
2100-Jan-04 13:00:00, 695.614201499764
2100-Jan-04 14:00:00, 695.6668480847845
2100-Jan-04 15:00:00, 695.7200375977294
2100-Jan-04 16:00:00, 695.7723941527431
2100-Jan-04 17:00:00, 695.8225952799066
2100-Jan-04 18:00:00, 695.8694639960223
2100-Jan-04 19:00:00, 695.9120495735895
2100-Jan-04 20:00:00, 695.9496914580836
2100-Jan-04 21:00:00, 695.9820631018105
2100-Jan-04 22:00:00, 696.0091955936862
2100-Jan-04 23:00:00, 696.031474552501
2100-Jan-05 00:00:00, 696.0496124936748
2100-Jan-05 01:00:00, 696.064601854984
2100-Jan-05 02:00:00, 696.0776467854344
2100-Jan-05 03:00:00, 696.0900796462927
2100-Jan-05 04:00:00, 696.1032698731906
2100-Jan-05 05:00:00, 696.1185335516869
2100-Jan-05 06:00:00, 696.1370417281923
2100-Jan-05 07:00:00, 696.1597399623108
2100-Jan-05 08:00:00, 696.1872847636794
2100-Jan-05 09:00:00, 696.219999705245
2100-Jan-05 10:00:00, 696.2578515925912
2100-Jan-05 11:00:00, 696.3004533185627
2100-Jan-05 12:00:00, 696.3470910139134
2100-Jan-05 13:00:00, 696.3967707316491
2100-Jan-05 14:00:00, 696.4482862815623
2100-Jan-05 15:00:00, 696.50030285981
2100-Jan-05 16:00:00, 696.551448102584
2100-Jan-05 17:00:00, 696.6004030789823
2100-Jan-05 18:00:00, 696.6459940741771
2100-Jan-05 19:00:00, 696.6872735755537
2100-Jan-05 20:00:00, 696.7235840257279
2100-Jan-05 21:00:00, 696.7546017287802
2100-Jan-05 22:00:00, 696.7803603939209
2100-Jan-05 23:00:00, 696.80124812431
2100-Jan-06 00:00:00, 696.8179797707496
2100-Jan-06 01:00:00, 696.8315498538044
2100-Jan-06 02:00:00, 696.8431645594044
2100-Jan-06 03:00:00, 696.8541673685293
2100-Jan-06 04:00:00, 696.8659504401593
2100-Jan-06 05:00:00, 696.879853783952
2100-Jan-06 06:00:00, 696.8970767302989
2100-Jan-06 07:00:00, 696.9185950641132
2100-Jan-06 08:00:00, 696.9450859833548
2100-Jan-06 09:00:00, 696.9768804073979
2100-Jan-06 10:00:00, 697.0139383820498
2100-Jan-06 11:00:00, 697.0558539414045
2100-Jan-06 12:00:00, 697.1018871146799
2100-Jan-06 13:00:00, 697.151015530901
2100-Jan-06 14:00:00, 697.2020061386343
2100-Jan-06 15:00:00, 697.2535008487087
2100-Jan-06 16:00:00, 697.3041086966937
2100-Jan-06 17:00:00, 697.3524965759109
2100-Jan-06 18:00:00, 697.3974809452213
2100-Jan-06 19:00:00, 697.4381079134625
2100-Jan-06 20:00:00, 697.4737164548036
2100-Jan-06 21:00:00, 697.5039815380671
2100-Jan-06 22:00:00, 697.5289372392872
2100-Jan-06 23:00:00, 697.548973150525
2100-Jan-07 00:00:00, 697.564806414349
2100-Jan-07 01:00:00, 697.5774343816365
2100-Jan-07 02:00:00, 697.5880756084724
2100-Jan-07 03:00:00, 697.5980884855794
2100-Jan-07 04:00:00, 697.6088791149172
2100-Jan-07 05:00:00, 697.6217974497789
2100-Jan-07 06:00:00, 697.6380469730864
2100-Jan-07 07:00:00, 697.6586023368833
2100-Jan-07 08:00:00, 697.6841455521522
2100-Jan-07 09:00:00, 697.7150133091541
2100-Jan-07 10:00:00, 697.7511798551449
2100-Jan-07 11:00:00, 697.7922525219602
2100-Jan-07 12:00:00, 697.8374991398991
2100-Jan-07 13:00:00, 697.8858972668909
2100-Jan-07 14:00:00, 697.9362059842315
2100-Jan-07 15:00:00, 697.9870539059622
2100-Jan-07 16:00:00, 698.03703442329
2100-Jan-07 17:00:00, 698.0847991305459
2100-Jan-07 18:00:00, 698.1291510271963
2100-Jan-07 19:00:00, 698.1691254058176
2100-Jan-07 20:00:00, 698.2040531320338
2100-Jan-07 21:00:00, 698.2336036767382
2100-Jan-07 22:00:00, 698.2578078214475
2100-Jan-07 23:00:00, 698.2770536497843
2100-Jan-08 00:00:00, 698.292067496463
2100-Jan-08 01:00:00, 698.3038592801789
2100-Jan-08 02:00:00, 698.3136598764681
2100-Jan-08 03:00:00, 698.3228365655164
2100-Jan-08 04:00:00, 698.3327988829664
2100-Jan-08 05:00:00, 698.3449045915677
2100-Jan-08 06:00:00, 698.3603641578619
2100-Jan-08 07:00:00, 698.3801569968596
2100-Jan-08 08:00:00, 698.4049660338303
2100-Jan-08 09:00:00, 698.4351333669144
2100-Jan-08 10:00:00, 698.4706369625361
2100-Jan-08 11:00:00, 698.5110944406258
2100-Jan-08 12:00:00, 698.5557820873152
2100-Jan-08 13:00:00, 698.6036898561001
2100-Jan-08 14:00:00, 698.6535840820748
2100-Jan-08 15:00:00, 698.7040927062113
2100-Jan-08 16:00:00, 698.7537999234584
2100-Jan-08 17:00:00, 698.8013502584337
2100-Jan-08 18:00:00, 698.8455378512733
2100-Jan-08 19:00:00, 698.8853873364066
2100-Jan-08 20:00:00, 698.9202168626156
2100-Jan-08 21:00:00, 698.9496900289071
2100-Jan-08 22:00:00, 698.9738327039549
2100-Jan-08 23:00:00, 698.99303691225
2100-Jan-09 00:00:00, 699.0080334148429
2100-Jan-09 01:00:00, 699.0198420056848
2100-Jan-09 02:00:00, 699.0296999079766
2100-Jan-09 03:00:00, 699.0389736906238
2100-Jan-09 04:00:00, 699.0490645122333
2100-Jan-09 05:00:00, 699.0613149828777
2100-Jan-09 06:00:00, 699.076916613974
2100-Jan-09 07:00:00, 699.096829283347
2100-Jan-09 08:00:00, 699.121718278674
2100-Jan-09 09:00:00, 699.1519111894282
2100-Jan-09 10:00:00, 699.1873752437513
2100-Jan-09 11:00:00, 699.227720866317
2100-Jan-09 12:00:00, 699.272229756783
2100-Jan-09 13:00:00, 699.3199020133152
2100-Jan-09 14:00:00, 699.3695248301124
2100-Jan-09 15:00:00, 699.4197467245458
2100-Jan-09 16:00:00, 699.4691669087748
2100-Jan-09 17:00:00, 699.516436538335
2100-Jan-09 18:00:00, 699.5603478231707
2100-Jan-09 19:00:00, 699.5999173498681
2100-Jan-09 20:00:00, 699.6344616113059
2100-Jan-09 21:00:00, 699.6636445385313
2100-Jan-09 22:00:00, 699.6875020631595
2100-Jan-09 23:00:00, 699.706436883165
2100-Jan-10 00:00:00, 699.7211860374015
2100-Jan-10 01:00:00, 699.7327688780963
2100-Jan-10 02:00:00, 699.7424150897016
2100-Jan-10 03:00:00, 699.7514789817537
2100-Jan-10 04:00:00, 699.7613474767599
2100-Jan-10 05:00:00, 699.773349601434
2100-Jan-10 06:00:00, 699.7886652173476
2100-Jan-10 07:00:00, 699.8082452507758
2100-Jan-10 08:00:00, 699.8327487024505
2100-Jan-10 09:00:00, 699.8624994830568
2100-Jan-10 10:00:00, 699.897463154941
2100-Jan-10 11:00:00, 699.9372501694767
2100-Jan-10 12:00:00, 699.9811435143298
2100-Jan-10 13:00:00, 700.0281455459715
2100-Jan-10 14:00:00, 700.0770461831211
2100-Jan-10 15:00:00, 700.1264971871648
2100-Jan-10 16:00:00, 700.17510110189
2100-Jan-10 17:00:00, 700.2215125370126
2100-Jan-10 18:00:00, 700.2645270836989
2100-Jan-10 19:00:00, 700.3031647277769
2100-Jan-10 20:00:00, 700.3367450952193
2100-Jan-10 21:00:00, 700.3649352126217
2100-Jan-10 22:00:00, 700.3877738941671
2100-Jan-10 23:00:00, 700.4056665660361
2100-Jan-11 00:00:00, 700.4193527988521
2100-Jan-11 01:00:00, 700.4298543083502
2100-Jan-11 02:00:00, 700.4384029795688
2100-Jan-11 03:00:00, 700.4463551478324
2100-Jan-11 04:00:00, 700.455099625267
2100-Jan-11 05:00:00, 700.4659671074293
2100-Jan-11 06:00:00, 700.48013907423
2100-Jan-11 07:00:00, 700.4985678234558
2100-Jan-11 08:00:00, 700.5219136580814
2100-Jan-11 09:00:00, 700.5505016706359
2100-Jan-11 10:00:00, 700.5842984501402
2100-Jan-11 11:00:00, 700.622915402036
2100-Jan-11 12:00:00, 700.6656363538845
2100-Jan-11 13:00:00, 700.711464436556
2100-Jan-11 14:00:00, 700.7591902359297
2100-Jan-11 15:00:00, 700.8074755545822
2100-Jan-11 16:00:00, 700.8549446435871
