Timestamp, Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Wall Average Temperature [K], Wall Average Effective Temperature [C], Wall Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Foundation Average Temperature [K], Foundation Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 1.6888312519191331, 295.04574274610786, 675.53250076765323, 7.018302347727345, 294.20526428242971, 19.974871072537155, 1369.9726182763777, 3.4366685467809654, 294.77010195963277, 2045.5051190440308
2015-Jan-01 01:00:00, 1.6890442554664538, 295.04570238278683, 675.61770218658148, 7.0307171938166171, 294.20330369614084, 19.970999352365425, 1372.3959962330036, 3.4408832298716145, 294.76943184576851, 2048.0136984195851
2015-Jan-01 02:00:00, 1.6892571709186595, 295.04566203640098, 675.70286836746379, 7.048735425388541, 294.20045932980628, 19.965381270382863, 1375.9131550358431, 3.4469355231910392, 294.76847190144247, 2051.6160234033068
2015-Jan-01 03:00:00, 1.6894699944789608, 295.04562170767292, 675.7879977915843, 7.0709272619076131, 294.19695701457158, 19.958462757283996, 1380.245001524366, 3.454356517667927, 294.76729619004288, 2056.0329993159503
2015-Jan-01 04:00:00, 1.6896827224029602, 295.0455813973154, 675.87308896118407, 7.0956568669991684, 294.19305515625769, 19.950754038549974, 1385.0722204382375, 3.4626097268135441, 294.76598945804375, 2060.9453093994216
2015-Jan-01 05:00:00, 1.6898953510476542, 295.04554110602157, 675.95814041906169, 7.1215046154822641, 294.18897805493987, 19.942697950495983, 1390.1177009421378, 3.4712295721794342, 294.76462526668831, 2066.0758413611993
2015-Jan-01 06:00:00, 1.6901078769245437, 295.0455008344552, 676.04315076981743, 7.1476170811430526, 294.18486056902742, 19.934560727445444, 1395.2148542391237, 3.4799361643295375, 294.76324784418046, 2071.2580050089409
2015-Jan-01 07:00:00, 1.6903202967543967, 295.04546058324001, 676.12811870175869, 7.1734096470236111, 294.18079507188736, 19.926524738345563, 1400.2495630990088, 3.4885377718426867, 294.7618874854308, 2076.3776818007673
2015-Jan-01 08:00:00, 1.6905326075247544, 295.04542035294884, 676.21304300990175, 7.1934334778953666, 294.17764250566228, 19.920289715731769, 1404.1582148851755, 3.4952474090979115, 294.7608265428172, 2080.3712578950772
2015-Jan-01 09:00:00, 1.6907448065449717, 295.04538014409326, 676.29792261798866, 7.2016240602233905, 294.17636028535867, 19.917746642148529, 1405.7570165556058, 3.4980761746868185, 294.76037900762651, 2082.0549391735944
2015-Jan-01 10:00:00, 1.6909568915036974, 295.04533995711228, 676.38275660147895, 7.1972340930999854, 294.17706457778883, 19.919126723457111, 1404.9000949731171, 3.4967789845003288, 294.76058297787176, 2081.282851574596
2015-Jan-01 11:00:00, 1.6911688605184785, 295.04529979236338, 676.46754420739137, 7.1825588555515152, 294.17939096127316, 19.923712204115532, 1402.0354886036557, 3.4921085900723234, 294.7613189391563, 2078.503032811047
2015-Jan-01 12:00:00, 1.6913807121840181, 295.04525965011288, 676.55228487360728, 7.1626461597501763, 294.18254131733016, 19.929927908495927, 1398.1485303832344, 3.4857204557406609, 294.76232514312494, 2074.7008152568415
