Timestamp, Slab Core Average Heat Flux [W/m2], Slab Core Average Temperature [K], Slab Core Average Effective Temperature [C], Slab Core Total Heat Transfer Rate [W], Slab Perimeter Average Heat Flux [W/m2], Slab Perimeter Average Temperature [K], Slab Perimeter Average Effective Temperature [C], Slab Perimeter Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 1.8884855168493853, 294.91680079401084, 21.662539396956447, 695.2434129113175, 8.34681643314861, 293.85500152774114, 19.851029997565888, 232.02187701927159, 2.341896533182995, 294.8422565362605, 927.265289930589
2015-Jan-01 01:00:00, 1.8885581683825712, 294.91685688988065, 21.66252002762502, 695.2701594759243, 8.344400483197441, 293.855301415016, 19.851689657134386, 231.95471928950187, 2.3417944709483525, 294.8423297476529, 927.2248787654262
2015-Jan-01 02:00:00, 1.8886597721368175, 294.91690140038645, 21.662492128760448, 695.3075647619254, 8.348320407970508, 293.8544894310744, 19.850599691578452, 232.06368398411396, 2.342164142232161, 294.8423141274496, 927.3712487460393
2015-Jan-01 03:00:00, 1.88879897543772, 294.91693130958134, 21.662453159751692, 695.3588122706536, 8.357470257786646, 293.85276297097084, 19.848065762970233, 232.31802830158975, 2.342935943405059, 294.8422207296788, 927.6768405722433
2015-Jan-01 04:00:00, 1.8889813007010234, 294.9169447427142, 21.662401498913653, 695.4259350720669, 8.370901684117436, 293.8502902986696, 19.844349983652762, 232.69139038200396, 2.344048429797976, 294.84205962428047, 928.1173254540709
2015-Jan-01 05:00:00, 1.8892097908345091, 294.9169407226821, 21.66233625361184, 695.5100534085877, 8.387801756334333, 293.8472151198527, 19.83967704230878, 233.1611726647379, 2.345447358404543, 294.84183999169403, 928.6712260733257
2015-Jan-01 06:00:00, 1.889485621207193, 294.91691894172374, 21.662257080196753, 695.6115999907449, 8.407453596385364, 293.84366398693, 19.834245078717288, 233.7074476250227, 2.347083493220373, 294.8415704304528, 929.3190476157677
2015-Jan-01 07:00:00, 1.8898086669555796, 294.91687955328393, 21.662164017205555, 695.7305288502097, 8.429306097218149, 293.8397335078099, 19.828206388806166, 234.3148957822209, 2.3489180273451584, 294.8412578656455, 930.0454246324306
2015-Jan-01 08:00:00, 1.8901778061654404, 294.9168230604414, 21.662057396119167, 695.8664269557621, 8.452653319541136, 293.8355494127177, 19.82175609399644, 234.96389368339103, 2.3509003567356936, 294.84091159199806, 930.8303206391531
2015-Jan-01 09:00:00, 1.8905907895497605, 294.916750365583, 21.6619378797713, 696.0184662354011, 8.476401253662278, 293.8313085811444, 19.81519655599857, 235.6240304306465, 2.3529515844074, 294.8405462705883, 931.6424966660476
2015-Jan-01 10:00:00, 1.8910438519015382, 294.9166629129187, 21.661806576544677, 696.1852605332134, 8.49918133933448, 293.82725709752674, 19.808905872672142, 236.25726326602233, 2.3549721288945187, 294.84018052074055, 932.4425237992357
2015-Jan-01 11:00:00, 1.8915314133569396, 294.9165627969197, 21.661665128223717, 696.3647556298042, 8.51961368800399, 293.8236415687847, 19.803265059664113, 236.82523453125637, 2.3568599261629353, 294.83983360307013, 933.1899901610606
2015-Jan-01 12:00:00, 1.8920462418278663, 294.9164527004279, 21.661515662125453, 696.5542890416294, 8.536746677031891, 293.8206288220987, 19.79853657263135, 237.30149135384767, 2.358541442616467, 294.83951972427116, 933.855780395477
2015-Jan-01 13:00:00, 1.8925801378629956, 294.91633564258433, 21.661360589738308, 696.7508421516699, 8.550219094497988, 293.8182777831201, 19.794819650650652, 237.67599289147068, 2.359983695350548, 294.8392458284349, 934.4268350431405
2015-Jan-01 14:00:00, 1.893125050798776, 294.9162145702036, 21.661202278450958, 696.9514511189251, 8.56042024154339, 293.8165115238515, 19.792006207861448, 237.9595608007665, 2.3612065300246763, 294.8390092547167, 934.9110119196916
2015-Jan-01 15:00:00, 1.89367435084577, 294.9160918949194, 21.66104267760926, 697.1536751952958, 8.568378468993016, 293.81513923561187, 19.789811771995858, 238.18078081745156, 2.3622759782875336, 294.83879884960146, 935.3344560127474
2015-Jan-01 16:00:00, 1.894223892797967, 294.91596910924574, 21.660883005756602, 697.355988328743, 8.575489476091802, 293.8139065865276, 19.787850620865072, 238.3784500998387, 2.363286171856891, 294.8385981452978, 935.7344384285817
2015-Jan-01 17:00:00, 1.8947725771335169, 294.9158465889305, 21.660723585853532, 697.5579857317705, 8.583176314497539, 293.8125574924443, 19.78572971443043, 238.59212613902412, 2.3643359946032247, 294.8383895126316, 936.1501118707946
2015-Jan-01 18:00:00, 1.8953221724580238, 294.91572366580215, 21.6605638975862, 697.7603185141621, 8.592430521730892, 293.8109169368429, 19.78317543462811, 238.84937134739846, 2.365496702455648, 294.8381600432003, 936.6096898615606
2015-Jan-01 19:00:00, 1.895876452279032, 294.9155989497184, 21.660402831285865, 697.9643758876645, 8.603617689847558, 293.80892447541925, 19.780087182830414, 239.16034832475844, 2.3667974706110537, 294.83790420092873, 937.124724212423
2015-Jan-01 20:00:00, 1.8964400841990483, 294.9154707384927, 21.660239014661443, 698.1718762238871, 8.616698519977724, 293.8065919587487, 19.776476162817687, 239.52396465489818, 2.3682398799792477, 294.8376212351101, 937.6958408787852
2015-Jan-01 21:00:00, 1.8970175994607061, 294.9153373936964, 21.660071115739527, 698.3844876937349, 8.631314527877796, 293.80398770811627, 19.77244166684244, 239.93025531849, 2.369802976081756, 294.83731441887966, 938.3147430122249
2015-Jan-01 22:00:00, 1.8976126395948951, 294.9151976130386, 21.659898064333618, 698.6035509219257, 8.646956042209464, 293.80120573373483, 19.768124629114425, 240.3650526503499, 2.371454363009959, 294.8369891414182, 938.9686035722756
2015-Jan-01 23:00:00, 1.8982276401040101, 294.91505054178145, 21.65971914498425, 698.8299625354035, 8.663219965331239, 293.79831884324597, 19.76363641009459, 240.81715148355593, 2.3731680055673507, 294.8366497194998, 939.6471140189594
2015-Jan-02 00:00:00, 1.8988638600842245, 294.9148957569755, 21.659533988191185, 699.0641860687375, 8.679784278281533, 293.7953844371894, 19.759065911946948, 241.2776004479058, 2.3749224669191236, 294.8362997897078, 940.3417865166433
2015-Jan-02 01:00:00, 1.8995215689165599, 294.91473319593587, 21.659342515412504, 699.30632069419, 8.696373824539158, 293.79245122218725, 19.754489063094468, 241.73875083888672, 2.3766986800047536, 294.8359427132361, 941.0450715330768
2015-Jan-02 02:00:00, 1.9002002875010933, 294.9145630660086, 21.65914486815433, 699.5561900317662, 8.712784612812309, 293.78955484438575, 19.749962113308584, 242.19493217808335, 2.3784818780281682, 294.8355811854329, 941.7511222098495
2015-Jan-02 03:00:00, 1.900898985002818, 294.9143857714614, 21.658941350072553, 699.8134145809394, 8.728804708106193, 293.7867326430445, 19.745543507757418, 242.6402531708097, 2.38025622350065, 294.8352182036093, 942.4536677517491
2015-Jan-02 04:00:00, 1.9016162231663183, 294.914201860567, 21.6587323845186, 700.0774648499053, 8.744238502313982, 293.7840190030597, 19.7412871711872, 243.06927637148763, 2.3820066463552805, 294.83485669155874, 943.1467412213929
2015-Jan-02 05:00:00, 1.90235029966747, 294.91401197294823, 21.658518472395656, 700.3477141303181, 8.758964473807183, 293.78143472966724, 19.737226553997402, 243.47862376449072, 2.383723032281421, 294.8344987046429, 943.8263378948088
2015-Jan-02 06:00:00, 1.9030994195782356, 294.91381677769175, 21.658300141789937, 700.6235016218258, 8.77295778897444, 293.7789831023767, 19.733368407799844, 243.86760503379656, 2.38540196890638, 294.8341450952148, 944.4911066556224
2015-Jan-02 07:00:00, 1.903861852114741, 294.9136169156645, 21.65807790179406, 700.9041901386639, 8.78624097450412, 293.77665915287105, 19.729706430045837, 244.23684636839113, 2.387043428456749, 294.8337961103453, 945.1410365070551
