Timestamp, Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Wall Average Temperature [K], Wall Average Effective Temperature [C], Wall Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Foundation Average Temperature [K], Foundation Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 0.0042220750389939214, 0.73761435744216086, 675.5320062390274, 0.0359544154752501, 1.5071991001589451, 0.10233028283779737, 1369.9725310300735, 0.014628917870239226, 0.99000505263422445, 2045.5045372691009
2015-Jan-01 01:00:00, 0.0042226075480483929, 0.73761425653382051, 675.61720768774296, 0.036018016121397441, 1.5071890561717047, 0.10231044820563465, 1372.3959089942514, 0.014650134015652112, 0.99000169082366418, 2048.0131166819942
2015-Jan-01 02:00:00, 0.0042231398368650207, 0.73761415566781796, 675.70237389840338, 0.036110322635785556, 1.5071744846227211, 0.10228166704776966, 1375.9130678042422, 0.014680764303177668, 0.98999684419603873, 2051.6154417026455
2015-Jan-01 03:00:00, 0.0042236718959539586, 0.73761405484595954, 675.78750335263339, 0.036224010323043135, 1.5071565424338567, 0.10224622384523049, 1380.2449142993253, 0.01471840654139718, 0.98999089217317315, 2056.0324176519589
2015-Jan-01 04:00:00, 0.0042242037159517685, 0.7376139540700275, 675.87259455228286, 0.036350698873879282, 1.5071365534054335, 0.10220673245807248, 1385.0721332193771, 0.014760312343014014, 0.98998426890583258, 2060.9447277716599
2015-Jan-01 05:00:00, 0.0042247352877507506, 0.73761385334175489, 675.95764604012004, 0.036483115618306104, 1.5071156666157153, 0.10216546151496968, 1390.1176137289422, 0.014804096578954387, 0.98997735124343, 2066.0752597690621
2015-Jan-01 06:00:00, 0.0042252666026300813, 0.73761375266280083, 676.04265642081293, 0.036616888495805959, 1.507094572937705, 0.10212377492127184, 1395.214767031234, 0.01484832539555335, 0.98997036576371022, 2071.2574234520471
2015-Jan-01 07:00:00, 0.0042257976523925409, 0.73761365203472462, 676.12762438280663, 0.036749022542452804, 1.5070737455956231, 0.10208260694413032, 1400.2494758959806, 0.014892016567949938, 0.98996346766491172, 2076.3771002787871
2015-Jan-01 08:00:00, 0.0042263284295054257, 0.73761355145895879, 676.21254872086809, 0.036851603643360764, 1.5070575951537561, 0.10205066522975986, 1404.1581276871207, 0.014926015462006368, 0.98995810342338142, 2080.3706764079889
2015-Jan-01 09:00:00, 0.0042268589272442076, 0.73761345093678143, 676.29742835907325, 0.036893563593952336, 1.5070510264021324, 0.10203763718877212, 1405.7569293629094, 0.014940133038368915, 0.98995588160014913, 2082.0543577219828
