Timestamp, Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Wall Average Temperature [K], Wall Average Effective Temperature [C], Wall Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Foundation Average Temperature [K], Foundation Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, -15.925199436195724, 292.62719909531421, -6305.5239474376058, -2.16487083519656, 290.58629955440585, 17.769558458733115, -172.3098605024021, -13.622061353718506, 292.28560307740838, -6477.8338079400082
2015-Jan-01 01:00:00, 0.41501832442100312, 293.10212759222316, 164.32497399776375, -0.34272820075490945, 293.25431705368658, 20.157076425196749, -27.2789708753944, 0.28819033000299876, 293.12760033743234, 137.04600312236934
2015-Jan-01 02:00:00, -4.1717076693858459, 293.06185709541325, -1651.7722566936575, -1.0637080014717648, 292.55492105816842, 19.568667623243471, -84.664347807266338, -3.6515055286477458, 292.97700856260468, -1736.4366045009237
2015-Jan-01 03:00:00, -5.4219992709649452, 293.00487478932604, -2146.8206023437906, -1.1246825403395901, 292.31357187908299, 19.336704827717085, -89.517530785067109, -4.7027349203991387, 292.88916780984357, -2236.3381331288579
2015-Jan-01 04:00:00, -6.4023258301313675, 292.93027754241791, -2534.9772857121243, -1.1853959394204157, 292.09924603948599, 19.131725171978644, -94.349928707455788, -5.529141020864702, 292.79118345842915, -2629.3272144195803
2015-Jan-01 05:00:00, -6.9405928509356372, 292.85775047580825, -2748.1021262138393, -1.2083998360205475, 291.94878344641177, 18.984803784805251, -96.180891622072593, -5.9811657608149673, 292.70561191561666, -2844.2830178359118
2015-Jan-01 06:00:00, -0.6240730382005697, 293.05929676284285, -247.09941643681358, -0.39280932479124486, 293.01817260670856, 19.92864143610069, -31.265107764582496, -0.5853652223560093, 293.05241359799635, -278.36452420139608
2015-Jan-01 07:00:00, 1.7659619266930862, 293.22547093834959, 699.22610788266252, -0.077240363498998987, 293.58655295251918, 20.448443287263899, -6.1478384960823442, 1.4574555304183365, 293.28590712136861, 693.07826938658013
2015-Jan-01 08:00:00, 2.3452537723877014, 293.34007069645099, 928.5945764043546, 0.029270818769628199, 293.78745803788127, 20.632952105779793, 2.3297698028842393, 1.9576156066495269, 293.41495225295625, 930.92434620723884
2015-Jan-01 09:00:00, 2.5980510545303628, 293.4293563780239, 1028.6887273620318, 0.11539667117680108, 293.90580534338073, 20.738041249757146, 9.1848363374116904, 2.18251622089889, 293.50910213034484, 1037.8735636994436
2015-Jan-01 10:00:00, 2.6692666902835613, 293.50096152396065, 1056.8862955289433, 0.17294376925313312, 293.97912843254636, 20.802505573521955, 13.765216968272981, 2.251444082096103, 293.58099481741448, 1070.6515124972163
2015-Jan-01 11:00:00, 2.767634402709946, 293.56457957431059, 1095.8346282543382, 0.22448616990204301, 294.05074235606679, 20.866185091124294, 17.867662121757718, 2.3419743974729186, 293.64595117882766, 1113.702290376096
2015-Jan-01 12:00:00, 2.6683541270375679, 293.61484255254055, 1056.5249694793565, 0.23476522982509965, 294.08057840551777, 20.894438788320485, 18.685809492326783, 2.2610316401416672, 293.6927951952768, 1075.2107789716833
2015-Jan-01 13:00:00, 2.5115513684276412, 293.65523199094986, 994.43949586249596, 0.22881524043650414, 294.09302801555236, 20.907804336115476, 18.212228424638475, 2.1294778975774449, 293.72850819865221, 1012.6517242871345
2015-Jan-01 14:00:00, 2.3532111137862919, 293.68883841536052, 931.74525636586941, 0.21971091378004165, 294.09895446496057, 20.915132300051425, 17.48758230227482, 1.9961160398176105, 293.75748168104536, 949.23283866814427
2015-Jan-01 15:00:00, 2.213111982321196, 293.71782837639495, 876.27352227502138, 0.21446459253241473, 294.10284440518899, 20.919829855793125, 17.070008714219483, 1.8785879276752926, 293.78227052047396, 893.34353098924089
2015-Jan-01 16:00:00, 2.083556952684821, 293.74313312401631, 824.97668639198525, 0.21215849417607982, 294.10439171685948, 20.921732166846937, 16.886458047073649, 1.7703312164209586, 293.80359886193037, 841.86314443905894
2015-Jan-01 17:00:00, 1.9678991692766734, 293.76562746046744, 779.1824138675189, 0.21567456794142092, 294.10455460958758, 20.92135379731053, 17.166315011365505, 1.6746201840571164, 293.82235546798518, 796.34872887888446
2015-Jan-01 18:00:00, 1.8609409430066268, 293.78573811009636, 736.83269888760151, 0.22465518248865327, 294.10287045035653, 20.918287167718915, 17.881114441752281, 1.5870672472439762, 293.83881820659821, 754.7138133293538
2015-Jan-01 19:00:00, 1.7641137395358248, 293.80393025774038, 698.4943249981751, 0.23957292139980893, 294.09999330833114, 20.913113598006589, 19.068470966216292, 1.5089433785398616, 293.8534838771634, 717.5627959643914
2015-Jan-01 20:00:00, 1.6704270310078781, 293.82029360875856, 661.39941849189313, 0.2584289497480492, 294.09509446307942, 20.905312067178841, 20.569290119715408, 1.4340935358108131, 293.86628846331729, 681.96870861160858
2015-Jan-01 21:00:00, 1.5885619685572936, 293.83535780080717, 628.98524912410596, 0.2809804051201989, 294.09039460291712, 20.897140649644086, 22.364241608795098, 1.3697052114244441, 293.87804464269914, 651.34949073290102
2015-Jan-01 22:00:00, 1.5174168685483616, 293.84941350409616, 600.81560932483637, 0.3063535943663897, 294.08615969730351, 20.888999810655605, 24.383785051494407, 1.3147148817036929, 293.88903895122519, 625.19939437633082
2015-Jan-01 23:00:00, 8.0821020967382324, 294.13000023366413, 3200.078499537623, 1.2000074848978581, 295.3761994443268, 22.041471019378889, 95.512914194631065, 6.930209969206488, 294.33858310574919, 3295.5914137322538
2015-Jan-02 00:00:00, 4.7759669857129561, 294.13803952812953, 1891.0265030739502, 0.75575115057762221, 294.88595565786676, 21.619615783777874, 60.152953799082567, 4.1030824596118993, 294.26322215790856, 1951.1794568730327
2015-Jan-02 01:00:00, -2.6930527799163184, 293.88352422167935, -1066.3043099403894, -0.15513055163821379, 293.44748643125678, 20.321367134357445, -12.347398873805929, -2.2682674783583079, 293.81054229881681, -1078.6517088141954
2015-Jan-02 02:00:00, -6.5900600405697558, 293.62916184793016, -2609.3099535330384, -0.49835516761614129, 292.64861147125634, 19.575327963725726, -39.665881223251731, -5.570459572664304, 293.46504200895038, -2648.9758347562902
2015-Jan-02 03:00:00, -6.8675113105310688, 293.48103467630801, -2719.1657599860318, -0.49216486494401152, 292.45647220505151, 19.382235766079248, -39.173172756510581, -5.8004362708586052, 293.30954830313692, -2758.3389327425425
2015-Jan-02 04:00:00, -7.0622890097143367, 293.36452558436326, -2796.2872711826467, -0.52094241403393771, 292.31520802749191, 19.245401586985622, -41.463681450455823, -5.9674296577290722, 293.18889582319122, -2837.7509526331023
2015-Jan-02 05:00:00, -7.9131232323242084, 293.23660244767331, -3133.1719417615418, -0.62885082343367515, 292.07894859969593, 19.025753514333644, -50.052500084994193, -6.6939165059066674, 293.04283987550554, -3183.2244418465361
2015-Jan-02 06:00:00, -1.912620845015089, 293.38406565316888, -757.29516537169047, 0.077776653752604577, 293.02856969512055, 19.866596804179267, 6.1905237673166376, -1.5794776177271581, 293.32456443754467, -751.1046416043738
2015-Jan-02 07:00:00, 0.56256267425243123, 293.51343110930117, 222.74461482540957, 0.3569125130467356, 293.55671128590006, 20.351768389952269, 28.407951335840743, 0.52814193244645258, 293.52067513855599, 251.15256616125032
2015-Jan-02 08:00:00, 1.6078150826018764, 293.61411632766755, 636.60844857961399, 0.49717145546938335, 293.83247768646061, 20.605943413921693, 39.571665313661754, 1.4219208566802852, 293.65066460901755, 676.1801138932758
2015-Jan-02 09:00:00, 1.8189452969010969, 293.68184217629346, 720.20467779012813, 0.53872114628153811, 293.93220507711732, 20.699274670356431, 42.878754730435332, 1.6046674928677791, 293.72374672291051, 763.08343252056352
2015-Jan-02 10:00:00, 1.8616689356373479, 293.73244498296373, 737.12094488319872, 0.54567633812063188, 293.9895058948116, 20.755504810034267, 43.43234347858477, 1.6414043797910012, 293.77547061067656, 780.55328836178353
2015-Jan-02 11:00:00, 1.791733485083389, 293.77038463949481, 709.43026132161378, 0.50690369752925579, 294.02148511099597, 20.793452663012715, 40.346289482664417, 1.576684811536293, 293.81241263716925, 749.77655080427826
2015-Jan-02 12:00:00, 1.7190137887656554, 293.80112101805474, 680.63716592466244, 0.44585176903723206, 294.0498713512298, 20.831237200117414, 35.486946786171352, 1.5059180104724519, 293.84275566080032, 716.12411271083374
2015-Jan-02 13:00:00, 1.6407982504414445, 293.82666108387389, 649.6680121667456, 0.37394878859017133, 294.07404599429657, 20.866480544416675, 29.763929814853956, 1.4287590379372042, 293.86806718868041, 679.43194198159961
2015-Jan-02 14:00:00, 1.5509618517318524, 293.84788732353815, 614.09762162410732, 0.29987791949415116, 294.09208223843609, 20.895919213253364, 23.868362784376551, 1.341561398278817, 293.88875950212901, 637.96598440848391
2015-Jan-02 15:00:00, 1.4638540470671271, 293.86595723213145, 579.60760782410728, 0.23272902524306013, 294.10649478149736, 20.920668616399382, 18.523740641944897, 1.2577942207161983, 293.90621725834694, 598.13134846605215
2015-Jan-02 16:00:00, 1.3804321503063959, 293.8815525265515, 546.57701565645812, 0.17618914408896905, 294.11741336769768, 20.940290917637924, 14.023528030600225, 1.1788717073403163, 293.92102978768094, 560.60054368705835
2015-Jan-02 17:00:00, 1.307352993997047, 293.89540672047093, 517.64159340235449, 0.13677099471450738, 294.12510761493667, 20.954053170901886, 10.886095667639115, 1.1114265696081573, 293.93385295914464, 528.52768906999358
2015-Jan-02 18:00:00, 1.2423352971228767, 293.90790024692882, 491.89807626212234, 0.11554304574040852, 294.12933997373375, 20.961553347298604, 9.1964868156879191, 1.0537381915994835, 293.94496377081447, 501.09456307781028
2015-Jan-02 19:00:00, 1.1858663604080704, 293.91937279888145, 469.53940915919981, 0.10994413953460704, 294.13105725240194, 20.964132518194845, 8.7508497219626058, 1.0057836376381208, 293.95480353171553, 478.2902588811624
2015-Jan-02 20:00:00, 1.1327774031849405, 293.92988726852371, 448.51903246274924, 0.11695100353010765, 294.12992586863282, 20.961922502028813, 9.3085512429932553, 0.96275323195541851, 293.96336877403394, 457.82758370574248
2015-Jan-02 21:00:00, 1.0852567597133762, 293.93965935363701, 429.70340904728687, 0.13571340866137313, 294.12673253792474, 20.955840898046006, 10.801918587731111, 0.92632672859390819, 293.97097076976934, 440.50532763501798
2015-Jan-02 22:00:00, 1.0359951963238416, 293.94855489696687, 410.19847481488216, 0.16041790824340155, 294.12134263874663, 20.94664800317463, 12.768238613643634, 0.88944525156570842, 293.97747528395882, 422.96671342852579
2015-Jan-02 23:00:00, -15.265074737911256, 293.29196657258439, -6044.1500092332826, -1.7161099542614593, 291.27274550856947, 18.386922434861845, -136.59136703124707, -12.997313721717159, 292.95399899460551, -6180.7413762645301
2015-Jan-03 00:00:00, -12.829361012545517, 293.09058478658915, -5079.7381482748233, -1.3459245447227219, 291.34663295669787, 18.403823765400659, -107.12697809838359, -10.907318260977076, 292.79869045834346, -5186.8651263732072
2015-Jan-03 01:00:00, -3.2562906465113057, 293.30278783585635, -1289.3162646821481, -0.26611986821082056, 292.7950153041038, 19.685981635331416, -21.181437997505611, -2.7558101425708452, 293.21779929459211, -1310.4977026796537
2015-Jan-03 02:00:00, -5.8914973662004071, 293.2267658171582, -2332.7166405469234, -0.66291308616461653, 292.38038217868421, 19.332430617402906, -52.763638155747394, -5.0163619009094287, 293.0851021660435, -2385.4802787026706
2015-Jan-03 03:00:00, -5.4237312020666844, 293.1991366034971, -2147.506354072118, -0.57101583987529336, 292.4074760815036, 19.345377913823825, -45.449205612601958, -4.6115068811101567, 293.06663224626362, -2192.9555596847199
2015-Jan-03 04:00:00, -7.7296199420679086, 293.06988987465132, -3060.5144911732118, -0.80821573653106393, 291.97127672453882, 18.945692965192677, -64.328798999626841, -6.5711483624842364, 292.88600925251626, -3124.8432901728388
2015-Jan-03 05:00:00, -7.5404331867490857, 292.99801018001216, -2985.606693567267, -0.74762050107692157, 291.91611446302124, 18.88120270985371, -59.505806145521774, -6.4034846416126046, 292.81692764199124, -3045.112499712789
2015-Jan-03 06:00:00, -0.12930379703482403, 293.2334717089559, -51.197361261584518, 0.18237190239754392, 293.17076454377337, 19.992690323646741, 14.51563601429611, -0.077137007014032907, 293.22297608313443, -36.681725247288412
